domain,concept_id,lane,architecture_id,driver_ids,lay_mechanism,planned_cells,valid_cells,invalid_cells,best_cell_id,best_strongest_worst_fractional_improvement,strict_domain_survivors,rar_conditional_cells,rar_robust_cells,baryon_robust_cells,dominant_category
CLUSTERS,GP01-ELLIPTIC,CORE,GP01,GP01,GP01 local or elliptic gain branch; see the bound GP01 package.,1296,1296,0,GP01E-n1-A8-rho10-T10-q2-p2-L0,-21.3904402832,0,0,0,1296,ROBUST_OVER_BARYON_ONLY
CLUSTERS,GP01-L,CORE,GP01,GP01,GP01 local or elliptic gain branch; see the bound GP01 package.,3,3,0,GP01L-n1,-12.1763660307,0,0,0,3,ROBUST_OVER_BARYON_ONLY
CLUSTERS,TW2-A01-D01,CORE,A01_LAPSE,D01_ACC,The local_lapse template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A01-D01-C002,-52.5587262001,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D02,CORE,A01_LAPSE,D02_POT,The local_lapse template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A01-D02-C002,-50.7600400583,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D03,CORE,A01_LAPSE,D03_RAD,The local_lapse template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A01-D03-C002,-43.9361767994,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D04,CORE,A01_LAPSE,D04_RHO,The local_lapse template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A01-D04-C002,-53.7750908902,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D05,CORE,A01_LAPSE,D05_SIG,The local_lapse template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A01-D05-C002,-53.2107534626,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D06,CORE,A01_LAPSE,D06_SLOPE,The local_lapse template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A01-D06-C002,-50.6807492536,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D07,CORE,A01_LAPSE,D07_TIDE,The local_lapse template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A01-D07-C002,-53.7909607765,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A01-D13,CORE,A01_LAPSE,D13_GASF,The local_lapse template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A01-D13-C002,-46.8007430506,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D01,CORE,A02_CLOCK,D01_ACC,The source_clock_rate template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A02-D01-C002,-52.5587262001,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D02,CORE,A02_CLOCK,D02_POT,The source_clock_rate template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A02-D02-C002,-50.7600400583,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D03,CORE,A02_CLOCK,D03_RAD,The source_clock_rate template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A02-D03-C002,-43.9361767994,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D04,CORE,A02_CLOCK,D04_RHO,The source_clock_rate template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A02-D04-C002,-53.7750908902,0,0,0,1,NO_BASELINE_ADVANCE
