domain_id,target,common_inverse_square_scale,per_target_inverse_square_scale,dark_magnitude_min_m_s2,dark_magnitude_median_m_s2,dark_magnitude_max_m_s2,common_scale_residual_max_m_s2,per_target_scale_residual_max_m_s2,dark_radial_absolute_max_m_s2,common_scale_radial_residual_max_m_s2,per_target_scale_radial_residual_max_m_s2,published_outer_bound_m_s2,raw_to_outer_bound,common_residual_to_outer_bound,per_target_residual_to_outer_bound
D00_SUN_SPHERE_ONLY,MERCURY,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,VENUS,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,EARTH,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,MARS,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,JUPITER,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,SATURN,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,URANUS,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D00_SUN_SPHERE_ONLY,NEPTUNE,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.187500000000e-10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,MERCURY,3.666666667141e-07,3.666666667141e-07,9.982823564126e-09,1.338088467929e-08,2.299615189293e-08,6.821889703896e-24,1.413524667870e-23,2.299615189293e-08,9.926167350636e-24,1.654361225106e-23,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,VENUS,3.666666667141e-07,3.666666667141e-07,4.100049885419e-09,4.155171329434e-09,4.212649122681e-09,1.667436202580e-24,1.705276518510e-24,4.212649122681e-09,2.481541837659e-24,2.481541837659e-24,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
