left,right,max_abs_signature_difference,distinguishable
C00_GR_ENDPOINT,C01_EXACT_GRADIENT_PATH,0.000000000000e+00,False
C00_GR_ENDPOINT,C02_POTENTIAL_COLUMN,2.600000000000e+00,True
C00_GR_ENDPOINT,C03_TIDAL_CURVATURE_COLUMN,1.500000000000e+00,True
C00_GR_ENDPOINT,C04_DISPERSIVE_PERSISTENT_MEDIUM,2.950000000000e+00,True
C00_GR_ENDPOINT,C05_ENDPOINT_MEMORY,8.000000000000e-01,True
C00_GR_ENDPOINT,C06_PATH_MEMORY_OPACITY,1.400000000000e+00,True
C00_GR_ENDPOINT,C07_TIME_VARYING_METRIC_PATH,9.000000000000e-02,True
C00_GR_ENDPOINT,C08_CAUSAL_METRIC_MEMORY_PATH,8.000000000000e-01,True
C01_EXACT_GRADIENT_PATH,C02_POTENTIAL_COLUMN,2.600000000000e+00,True
C01_EXACT_GRADIENT_PATH,C03_TIDAL_CURVATURE_COLUMN,1.500000000000e+00,True
C01_EXACT_GRADIENT_PATH,C04_DISPERSIVE_PERSISTENT_MEDIUM,2.950000000000e+00,True
C01_EXACT_GRADIENT_PATH,C05_ENDPOINT_MEMORY,8.000000000000e-01,True
C01_EXACT_GRADIENT_PATH,C06_PATH_MEMORY_OPACITY,1.400000000000e+00,True
C01_EXACT_GRADIENT_PATH,C07_TIME_VARYING_METRIC_PATH,9.000000000000e-02,True
C01_EXACT_GRADIENT_PATH,C08_CAUSAL_METRIC_MEMORY_PATH,8.000000000000e-01,True
C02_POTENTIAL_COLUMN,C03_TIDAL_CURVATURE_COLUMN,2.150000000000e+00,True
C02_POTENTIAL_COLUMN,C04_DISPERSIVE_PERSISTENT_MEDIUM,2.450000000000e+00,True
C02_POTENTIAL_COLUMN,C05_ENDPOINT_MEMORY,2.700000000000e+00,True
C02_POTENTIAL_COLUMN,C06_PATH_MEMORY_OPACITY,2.100000000000e+00,True
C02_POTENTIAL_COLUMN,C07_TIME_VARYING_METRIC_PATH,2.610000000000e+00,True
C02_POTENTIAL_COLUMN,C08_CAUSAL_METRIC_MEMORY_PATH,2.620000000000e+00,True
C03_TIDAL_CURVATURE_COLUMN,C04_DISPERSIVE_PERSISTENT_MEDIUM,2.500000000000e+00,True
C03_TIDAL_CURVATURE_COLUMN,C05_ENDPOINT_MEMORY,1.650000000000e+00,True
C03_TIDAL_CURVATURE_COLUMN,C06_PATH_MEMORY_OPACITY,6.000000000000e-01,True
C03_TIDAL_CURVATURE_COLUMN,C07_TIME_VARYING_METRIC_PATH,1.590000000000e+00,True
C03_TIDAL_CURVATURE_COLUMN,C08_CAUSAL_METRIC_MEMORY_PATH,1.700000000000e+00,True
C04_DISPERSIVE_PERSISTENT_MEDIUM,C05_ENDPOINT_MEMORY,3.150000000000e+00,True
C04_DISPERSIVE_PERSISTENT_MEDIUM,C06_PATH_MEMORY_OPACITY,2.100000000000e+00,True
C04_DISPERSIVE_PERSISTENT_MEDIUM,C07_TIME_VARYING_METRIC_PATH,2.980000000000e+00,True
C04_DISPERSIVE_PERSISTENT_MEDIUM,C08_CAUSAL_METRIC_MEMORY_PATH,2.990000000000e+00,True
C05_ENDPOINT_MEMORY,C06_PATH_MEMORY_OPACITY,1.800000000000e+00,True
C05_ENDPOINT_MEMORY,C07_TIME_VARYING_METRIC_PATH,8.500000000000e-01,True
C05_ENDPOINT_MEMORY,C08_CAUSAL_METRIC_MEMORY_PATH,1.600000000000e+00,True
C06_PATH_MEMORY_OPACITY,C07_TIME_VARYING_METRIC_PATH,1.490000000000e+00,True
C06_PATH_MEMORY_OPACITY,C08_CAUSAL_METRIC_MEMORY_PATH,1.600000000000e+00,True
C07_TIME_VARYING_METRIC_PATH,C08_CAUSAL_METRIC_MEMORY_PATH,7.500000000000e-01,True
