#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T04:55:38 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T04:55:38	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/801/44/clusters&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18010044
#Name: J/ApJ/801/44
#Title: HST lensing analysis of the CLASH sample (Zitrin+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/801/44	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/801/44	    IVOID of underlying data collection
#INFO	creator=Zitrin A.	    First author or institution
#INFO	cites=bibcode:2015ApJ...801...44Z	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/801/44	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18010044	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_801_44_clusters:
#Name: J/ApJ/801/44/clusters
#Title: CLASH cluster sample properties from Postman et al., 2012, J/ApJS/199/25, tables 3 and 4
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Set	(A1)	Cluster sample: X-ray or High magnification (1)	[ucd=meta.id]
#Column	Na	(I3)	Number of arcs for this cluster	[ucd=meta.number]
#Column	Name	(A15)	Cluster name	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[op] individual remarks on Cluster (2)	[ucd=meta.note]
#Column	RAJ2000	(A11)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pos	(A1)	[a] position from optical image (3)	[ucd=meta.note]
#Column	z	(F6.3)	[0.18/0.9] Cluster redshift	[ucd=src.redshift]
#Column	f_z	(A1)	[b] Redshift from X-ray spectrum (4)	[ucd=meta.code]
#Column	HST	(I2)	[18/20] HST cycle	[ucd=meta.id;obs]
#Column	CLASH	(I2)	[15/20] CLASH orbits	[ucd=meta.number]
#Column	PID	(I5)	[12065/12791] Program ID	[ucd=meta.id;obs]
#Column	Orb	(a9)	Archival ACS orbits unless flagged (5)	[ucd=meta.number]
#Column	f_Orb	(A1)	[w] WFPC2 image (5)	[ucd=meta.code]
#Column	ID	(A7)	Internal abbreviated cluster name as in table 2; column added by CDS	[ucd=meta.id]
#Column	kT	(F4.1)	[5.5/15.5] Temperature	[ucd=phys.temperature]
#Column	e_kT	(F5.2)	[0.2/3] kT uncertainty	[ucd=stat.error;phys.energy]
#Column	Lbol	(F4.1)	[6.7/91] Bolometric luminosity in 10^44^erg/s (6)	[ucd=phys.luminosity]
#Column	e_Lbol	(F4.1)	[0.1/3] Lbol uncertainty	[ucd=stat.error]
#Column	Fe/H	(F5.2)	[0.1/0.6] Cluster to solar [Fe/H] ratio (7)	[ucd=phys.abund.Fe;arith.ratio]
#Column	e_Fe/H	(F5.2)	[0.06/0.3] Fe/H uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	ell	(F5.2)	[0/1]? Ellipticity {epsilon} (8)	[ucd=src.ellipticity]
#Column	e_ell	(F5.2)	[0.01/0.03]? ell uncertainty	[ucd=stat.error]
#Column	shift	(F5.2)	[0.07/2.2]? Centroid shift (<w>(10^-2^R_500_)) (8)	[ucd=phys.atmol.lineShift]
#Column	e_shift	(F5.2)	[0.01/0.2]? shift uncertainty	[ucd=stat.error;phys.atmol.lineShift]
#Column	Ref	(A3)	X-ray morphology reference(s) (9)	[ucd=meta.ref]
#Column	SimbadName	(A16)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Set	Na	Name	n_Name	RAJ2000	DEJ2000	pos	z	f_z	HST	CLASH	PID	Orb	f_Orb	ID	kT	e_kT	Lbol	e_Lbol	Fe/H	e_Fe/H	ell	e_ell	shift	e_shift	Ref	SimbadName	NED
 	 	 	 	 	"h:m:s"	"d:m:s"	 	 	 	 	 	 	 	 	 	keV	keV	10+37W	10+37W	[Sun]	[Sun]	 	 	 	 	 	 	
--------	-	---	---------------	-	-----------	-----------	-	------	-	--	--	-----	---------	-	-------	----	-----	----	----	-----	-----	-----	-----	-----	-----	---	----------------	---
       1	X	  7	Abell 209      	 	01 31 52.57	-13 36 38.8	 	 0.206	 	19	20	12451	3        	w	A209   	 7.3	 0.54	12.7	 0.3	 0.18	 0.09	 0.21	 0.01	 0.55	 0.05	1  	Abell 209       	NED
       2	X	 31	Abell 383      	 	02 48 03.36	-03 31 44.7	 	 0.187	 	18	20	12065	3        	w	A383   	 6.5	 0.24	 6.7	 0.2	 0.59	 0.10	 0.04	 0.01	 0.18	 0.02	2  	Abell 383       	NED
       3	X	 19	MACS0329.7-0211	 	03 29 41.68	-02 11 47.7	 	 0.450	 	19	20	12452	2.5      	w	M0329  	 8.0	 0.50	17.0	 0.6	 0.48	 0.10	 0.15	 0.03	 1.38	 0.13	2,3	MCS J0329.6-0211	NED
       4	X	  7	MACS0429.6-0253	 	04 29 36.10	-02 53 08.0	 	 0.399	 	20	20	12788	0.5      	w	M0429  	 6.0	 0.44	11.2	 0.5	 0.34	 0.11	 0.21	 0.02	 0.38	 0.03	2,3	MCS J0429.6-0253	NED
       5	X	 25	MACS0744.9+3927	 	07 44 52.80	+39 27 24.4	 	 0.686	 	18	17	12067	6        	 	M0744  	 8.9	 0.80	29.1	 1.2	 0.37	 0.10	 0.11	 0.02	 1.41	 0.13	2,3	MCS J0744.9+3927	NED
       6	X	 14	Abell 611      	 	08 00 56.83	+36 03 24.1	 	 0.288	 	19	18	12460	2        	 	A611   	 7.9	 0.35	11.7	 0.2	 0.30	 0.07	     	     	     	     	2  	Abell 611       	NED
       7	X	  7	MACS1115.9+0129	 	11 15 52.05	+01 29 56.6	 	 0.352	 	19	20	12453	0.5      	 	M1115  	 8.0	 0.40	21.1	 0.4	 0.32	 0.06	     	     	     	     	2,3	MCS J1115.8+0129	NED
       8	X	  8	Abell 1423     	 	11 57 17.26	+33 36 37.4	 	 0.213	 	20	20	12787	0.5      	w	A1423  	 7.1	 0.65	 7.8	 0.2	 0.23	 0.13	     	     	     	     	4  	Abell 1423      	NED
       9	X	 48	MACS1206.2-0847	 	12 06 12.28	-08 48 02.4	 	 0.440	 	18	20	12069	0.5 + 0.5	w	M1206  	10.8	 0.60	43.0	 1.0	 0.25	 0.09	     	     	     	     	3,4	MCS J1206.2-0847	NED
      10	X	 15	CLJ1226.9+3332 	 	12 26 58.37	+33 32 47.4	 	 0.890	 	20	18	12791	16       	 	CL1226 	13.8	 2.80	34.4	 3.0	 0.36	 0.25	 0.10	 0.03	 1.30	 0.11	2  	ClG J1226.9+3332	NED
      11	X	  8	MACS1311.0-0310	 	13 11 01.67	-03 10 39.5	 	 0.494	 	20	20	12789	0        	 	M1311  	 5.9	 0.40	 9.4	 0.4	 0.42	 0.10	 0.08	 0.02	 0.39	 0.03	2,3	MCS J1311.0-0310	NED
      12	X	 28	RXJ1347.5-1145 	 	13 47 30.59	-11 45 10.1	 	 0.451	 	18	15	12104	6 + 0.5  	w	RXJ1347	15.5	 0.60	90.8	 1.0	 0.20	 0.06	 0.26	 0.01	 0.63	 0.05	2  	RXJ1347.5-1145  	NED
      13	X	 15	MACS1423.8+2404	 	14 23 47.76	+24 04 40.5	 	 0.545	 	20	17	12790	5        	 	M1423  	 6.5	 0.24	14.5	 0.4	 0.35	 0.06	 0.17	 0.03	 0.25	 0.02	2,3	MCS J1423.8+2404	NED
      14	X	  3	RXJ1532.9+3021 	p	15 32 53.78	+30 20 58.7	 	 0.345	 	19	20	12454	0.5      	w	M1532  	 5.5	 0.40	20.5	 0.9	 0.52	 0.12	 0.18	 0.02	 0.07	 0.01	2  	MCS J1532.9+3021	NED
      15	X	 22	MACS1720.3+3536	 	17 20 16.95	+35 36 23.6	 	 0.391	 	19	20	12455	0.5      	w	M1720  	 6.6	 0.40	13.3	 0.5	 0.29	 0.09	 0.17	 0.02	 0.57	 0.05	2,3	MCS J1720.3+3536	NED
      16	X	 34	Abell 2261     	 	17 22 27.25	+32 07 58.6	 	 0.224	 	18	20	12066	0.5      	w	A2261  	 7.6	 0.30	18.0	 0.2	 0.31	 0.06	 0.10	 0.01	 0.71	 0.06	5  	Abell 2261      	NED
