#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:25:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:25:01	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/682/964/table4&-out=SDSS,zFG,zBG,Imag,AI,L(V555),Re,b/a,Mph,Mul,Lens,Name&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/682/964	    IVOID of underlying data collection
#INFO	creator=Bolton A.S.	    First author or institution
#INFO	cites=bibcode:2008ApJ...682..964B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16820964	    Dataset identifier that can be used for citation
#INFO	publication_date=2009-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#Column	SDSS	(a18)	SDSS name (HHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	zFG	(F7.4)	Foreground galaxy redshift (directly from SDSS database)	[ucd=src.redshift]
#Column	zBG	(F7.4)	Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B)	[ucd=src.redshift]
#Column	Imag	(F5.2)	? HST-ACS I_814_ magnitude (2)	[ucd=phot.mag;em.opt.I]
#Column	AI	(F5.2)	I-band Galactic dust extinction values (4)	[ucd=phys.absorption]
#Column	L(V555)	(F5.1)	? Rest-frame luminosity in V555 band (5)	[ucd=phys.luminosity]
#Column	Re	(F5.2)	? Effective radius (6)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	? Ratio of minor to major axes for the de Vaucouleurs image models	[ucd=phys.angSize;arith.ratio]
#Column	Mph	(A1)	[ELU] Foreground-galaxy morphology code (8)	[ucd=meta.code;src.morph]
#Column	Mul	(A1)	[MS] Foreground-galaxy multiplicity code (9)	[ucd=meta.code.multip]
#Column	Lens	(A1)	[AXB] Lens status code (10)	[ucd=meta.code]
#Column	Name	(a10)	System name (JHHMM-DDMM), as in table5	[ucd=meta.id]
SDSS	zFG	zBG	Imag	AI	L(V555)	Re	b/a	Mph	Mul	Lens	Name
 	 	 	mag	mag	GsolLum	arcsec	 	 	 	 	
------------------	-------	-------	-----	-----	-----	-----	-----	-	-	-	----------
000802.96-000408.2	 0.4400	 1.1924	18.65	 0.12	 86.7	 1.71	 0.83	E	S	A	J0008-0004
002817.87-092934.3	 0.0565	 0.7146	13.75	 0.07	 92.8	15.21	 0.48	L	S	X	J0028-0929
002907.77-005550.5	 0.2270	 0.9313	17.09	 0.04	 76.3	 2.16	 0.84	E	S	A	J0029-0055
003753.21-094220.1	 0.1955	 0.6322	16.26	 0.06	120.5	 2.19	 0.73	E	S	A	J0037-0942
004402.90+011312.6	 0.1196	 0.1965	15.73	 0.04	 68.8	 2.61	 0.76	E	S	A	J0044+0113
010933.73+150032.5	 0.2939	 0.5248	17.75	 0.11	 77.2	 1.38	 0.78	E	S	A	J0109+1500
015758.94-005626.1	 0.5132	 0.9243	18.64	 0.05	117.3	 1.06	 0.69	E	S	A	J0157-0056
021652.54-081345.3	 0.3317	 0.5235	16.93	 0.07	206.4	 2.67	 0.79	E	S	A	J0216-0813
025245.21+003958.4	 0.2803	 0.9818	18.04	 0.15	 55.8	 1.39	 0.94	E	S	A	J0252+0039
033012.14-002051.9	 0.3507	 1.0709	18.16	 0.16	 82.3	 1.20	 0.77	E	S	A	J0330-0020
035458.47-064842.8	 0.1301	 0.3808	15.90	 0.14	 76.9	 3.76	 0.88	E	S	X	J0354-0648
040535.41-045552.4	 0.0753	 0.8098	16.45	 0.21	 15.8	 1.36	 0.69	E	S	A	J0405-0455
072804.95+383525.7	 0.2058	 0.6877	16.74	 0.12	 91.2	 1.78	 0.74	E	S	A	J0728+3835
073728.45+321618.6	 0.3223	 0.5812	17.04	 0.08	177.8	 2.82	 0.85	E	S	A	J0737+3216
074251.84+345001.9	 0.0853	 0.7390	17.02	 0.11	 11.0	 1.77	 0.97	E	S	X	J0742+3450
075834.68+303443.3	 0.1156	 0.5013	16.05	 0.10	 50.3	 1.37	 0.81	E	S	B	J0758+3034
080240.82+450452.7	 0.1423	 0.4523	16.16	 0.09	 70.3	 2.71	 0.80	E	S	X	J0802+4504
080358.21+453655.6	 0.1313	 0.2938	16.90	 0.15	 31.6	 1.07	 0.36	L	S	X	J0803+4536
080858.78+470638.9	 0.2195	 1.0251	     	 0.09	     	     	     	E	M	A	J0808+4706
081931.93+453444.8	 0.1943	 0.4462	17.07	 0.08	 57.6	 1.98	 0.78	E	S	B	J0819+4534
082242.32+265243.5	 0.2414	 0.5941	16.99	 0.05	 95.4	 1.82	 0.74	E	S	A	J0822+2652
084128.81+382413.7	 0.1159	 0.6567	15.34	 0.06	 94.6	 4.21	 0.58	L	S	A	J0841+3824
084706.89+031822.6	 0.1192	 0.4146	16.80	 0.05	 25.7	 1.91	 0.69	E	S	X	J0847+0318
090315.19+411609.1	 0.4304	 1.0645	17.95	 0.03	144.7	 1.78	 0.89	E	S	A	J0903+4116
