#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T18:51:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T18:51:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/sample&-out=UGC,Kmag,e_Kmag,Dist,e_Dist,Ak,Kcor,KMag,e_KMag&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_276_59_sample:
#Name: J/ApJS/276/59/sample
#Title: Halpha velocity field parameters (Table 3) and photometric data and inverse Tully-Fisher inclinations (Table 4)
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	[8.62/11.93] 2MASS K band magnitude (4)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	[0.01/0.23] Uncertainty on the Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	Dist	(F5.1)	[1.8/181.4] Distance (5)	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[2.5/2.5] Dist uncertainty	[ucd=stat.error;pos.distance]
#Column	Ak	(F5.2)	[-0.03/0.06] K-band extinction	[ucd=phys.absorption;em.IR.K]
#Column	Kcor	(F5.2)	[-0.1/0.01] K-correction	[ucd=arith.factor;phot.mag]
#Column	KMag	(F6.2)	[-26.07/-16.09] Absolute K band magnitude	[ucd=phys.magAbs;em.IR.K]
#Column	e_KMag	(F5.2)	[0.02/1.95] KMag uncertainty	[ucd=stat.error;phys.magAbs;em.IR.K]
UGC	Kmag	e_Kmag	Dist	e_Dist	Ak	Kcor	KMag	e_KMag
 	mag	mag	Mpc	Mpc	mag	mag	mag	mag
-----	-----	-----	-----	----	-----	-----	------	-----
   16	 9.39	 0.02	 66.6	 2.5	 0.02	-0.04	-24.80	 0.11
   74	10.21	 0.02	 48.7	 2.5	 0.01	-0.03	-23.27	 0.14
  305	11.00	 0.04	133.2	 2.5	 0.03	-0.08	-24.74	 0.10
  311	10.85	 0.04	 94.2	 2.5	 0.02	-0.05	-24.10	 0.12
  448	10.13	 0.02	 55.5	 2.5	 0.02	-0.04	-23.65	 0.10
  463	 9.39	 0.02	 52.5	 2.5	 0.03	-0.04	-24.28	 0.12
  678	11.20	 0.10	 72.5	 2.5	 0.01	-0.04	-23.16	 0.27
 1069	11.46	 0.02	 52.0	 2.5	 0.02	-0.04	-22.17	 0.11
 1081	10.03	 0.03	 37.2	 2.5	 0.02	-0.03	-22.86	 0.15
 1087	10.67	 0.05	 52.5	 2.5	 0.02	-0.04	-22.98	 0.19
 1167	10.77	 0.06	 51.6	 2.5	 0.01	-0.04	-22.85	 0.21
 1212	10.36	 0.04	147.0	 2.5	 0.02	-0.09	-25.58	 0.09
 1497	 9.66	 0.01	 64.1	 2.5	 0.02	-0.04	-24.44	 0.08
 1529	 9.91	 0.04	 56.6	 2.5	 0.03	-0.04	-23.92	 0.15
 1559	11.61	 0.08	 42.9	 2.5	 0.02	-0.03	-21.61	 0.25
 1579	11.40	 0.03	 41.9	 2.5	 0.01	-0.03	-21.76	 0.13
 1635	10.42	 0.03	 43.3	 2.5	 0.02	-0.03	-22.82	 0.15
 1721	10.61	 0.02	 51.5	 2.5	 0.02	-0.04	-23.00	 0.10
 1727	 9.49	 0.01	107.4	 2.5	 0.01	-0.06	-25.74	 0.06
 1862	10.20	 0.13	 15.8	 2.5	 0.01	-0.01	-20.82	 0.57
 1908	10.04	 0.03	111.7	 2.5	 0.03	-0.07	-25.30	 0.07
 2109	10.07	 0.01	 40.7	 2.5	 0.03	-0.03	-23.04	 0.15
 2200	 8.62	 0.01	 50.6	 2.5	 0.02	-0.03	-24.95	 0.11
 3080	10.22	 0.08	 43.4	 2.5	 0.03	-0.03	-23.03	 0.27
 3134	10.34	 0.03	111.4	 2.5	 0.01	-0.07	-24.98	 0.10
 3140	 9.45	 0.02	 59.5	 2.5	 0.03	-0.04	-24.48	 0.10
 3701	11.23	 0.09	 41.1	 2.5	 0.02	-0.02	-21.88	 0.28
 3714	 9.37	 0.01	 42.0	 2.5	 0.02	-0.02	-23.79	 0.12
 3965	10.67	 0.01	 64.6	 2.5	 0.02	-0.04	-23.44	 0.09
 3997	11.70	 0.08	 84.2	 2.5	 0.02	-0.05	-23.00	 0.19
 4036	 9.49	 0.03	 48.1	 2.5	 0.01	-0.03	-23.96	 0.15
 4066	11.23	 0.03	 34.9	 2.5	 0.01	-0.02	-21.52	 0.18
