UGC	N	sigMod	inc	e_inc	f_inc	Vrot	e_Vrot	hrot	e_hrot	f_hrot	Aphi	Arc	Note
1721	25	4.4			l	49.4	2.3	2.6	0.0		0.069	0.090	
3714	63	0.0	37.8	3.5		121.7	1.4	4.8	0.5		0.020	0.089	
4445	45	2.8	22.0	12.9		6.6	1.9	1.2	0.0		0.358	0.762	5
5302	173	4.9	38.2	2.4		112.8	1.2	12.7	0.5		0.042	0.046	1
5577	38	2.5			l	38.2	5.6	14.3	3.0		0.031	0.158	5
6105	271	3.4			l	96.4	0.6	6.1	0.3		0.044	0.039	
6616	45	3.5	37.5	11.0	1	34.9	2.1	8.4	1.6		0.104	0.101	5
7025	141	2.3	37.8	1.5		148.4	0.7	5.9	0.4		0.029	0.035	
8909	33	3.2	47.1	5.3		61.3	2.1	7.0	1.4		0.050	0.123	5
9216	125	2.1	31.4	2.8		104.9	1.1	11.6	0.5		0.032	0.070	
9564	164	4.0	42.3	2.0		85.2	1.0	9.6	0.5		0.043	0.055	
9896	127	1.8	28.4	2.6		118.0	0.7	7.6	0.3		0.028	0.049	
10458	43	2.1	44.2	14.6		17.3	2.3	12.5	3.2		0.143	0.159	
10537	79	4.4			l	65.7	1.2	0.3	0.0		0.068	0.085	1
10586	101	1.5			l	26.6	0.5	3.1	0.7		0.065	0.122	
10897	246	5.0	26.9	6.4		53.8	1.2	14.8	1.0		0.079	0.073	5
