#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,RAJ2000,DEJ2000,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	RAJ2000	DEJ2000	Sabs	e_Sabs	SNR	HRV	Tel
 	 	"h:m:s"	"d:m:s"	Jy.km/s	Jy.km/s	 	km/s	
------	--------	----------	---------	------	------	-----	------	-----
331061	456-013 	00 00 02.3	+15 52 52	  0.90	  0.11	  5.8	  6001	AOlf
331060	478-009b	00 00 03.4	+23 05 15	  2.73	  0.36	 12.5	  4461	AOlf
331405	        	00 00 03.5	+26 00 50	  2.78	  0.32	  8.3	 10405	AOlf
331066	382-016 	00 00 12.7	+01 07 12	  2.60	  0.33	  7.1	  7326	AOlf
331067	517-010 	00 00 22.2	+34 36 58	  0.68	  0.13	  4.1	 12703	AOlf
 12893	456-014 	00 00 28.4	+17 13 13	  3.28	  0.44	  9.2	  1099	AOlf
 12896	478-010 	00 00 31.4	+26 19 31	  2.94	  0.36	  7.1	  7666	AOlf
 12898	        	00 00 37.4	+33 36 02	  5.34	  0.56	 32.6	  4780	AOlf
 12897	499-032 	00 00 38.0	+28 23 03	  0.64	  0.09	  5.4	  8864	AOlf
 12895	        	00 00 38.3	+20 03 32	  4.42	  0.47	 13.6	  6747	AOlf
331071	499-033 	00 00 44.2	+28 24 05	  0.36	  0.05	  4.9	  8610	AOlf
 12900	456-015 	00 00 55.9	+20 20 17	 14.86	  2.26	 21.9	  6804	AOlf
 36544	349 G 17	00 00 57.7	-33 36 47	  3.87	  0.43	  9.7	  6911	Nanc
 12901	499-035 	00 00 58.9	+28 54 41	  5.76	  0.77	 18.0	  6895	AOlf
 12903	408-010 	00 01 08.3	+06 20 14	  4.72	  0.60	  6.1	 14747	AOlf
 12909	I5376   	00 01 19.8	+34 31 32	  8.21	  1.16	  6.6	  5028	AOlf
 12906	N7803   	00 01 20.0	+13 06 40	  4.53	  0.46	 13.0	  5326	AOlf
 12910	        	00 01 28.2	+05 23 20	  3.35	  0.34	 28.9	  3947	AOlf
 12911	N7806   	00 01 30.1	+31 26 31	  1.51	  0.20	  5.7	  4783	AOlf
331079	I1526   	00 01 31.4	+11 20 45	  1.07	  0.14	  5.9	  9141	AOlf
 12912	408-011 	00 01 33.6	+09 00 44	  1.94	  0.21	 11.1	  9252	AOlf
331082	433-016 	00 01 33.8	+15 04 50	  2.63	  0.28	 11.2	  6370	AOlf
331083	499-038 	00 01 35.9	+33 33 47	  1.66	  0.29	  4.1	  7465	AOlf
 12913	M+001018	00 01 36.7	+03 30 21	  6.14	  0.86	  7.2	  6339	AOlf
 12914	478-012 	00 01 38.4	+23 29 00	 19.37	  2.56	 42.0	  4346	AOlf
