agc	W50_km_s	W50_error_km_s
12	242	10
91	420	8
181	339	7
232	255	8
265	195	7
643	279	10
1446	274	4
1971	277	5
1974	439	2
2208	455	3
4210	301	7
4343	183	3
4372	462	14
5807	311	51
6166	359	4
6424	268	2
6647	207	2
6936	108	14
7162	407	9
7780	119	2
9037	294	2
9252	86	4
9332	365	5
9341	213	5
11966	157	18
12080	488	6
12140	377	4
12164	523	17
12722	370	5
12731	520	7
12756	303	4
100336	230	9
100499	122	9
102924	54	4
103044	169	7
103598	101	171
104217	102	4
105447	33	2
110143	327	7
110204	269	11
110264	245	7
110420	351	23
111168	235	69
111931	185	4
116363	194	9
120312	202	33
122194	298	7
125347	79	4
125672	83	2
170310	220	3
170906	151	5
171478	199	3
182608	109	4
188950	84	11
188964	50	3
189084	59	5
190350	101	5
190356	123	5
190450	143	6
191246	169	6
192042	250	10
193056	152	5
193791	155	3
194514	120	7
198494	101	2
200065	224	2
201048	401	11
201251	407	5
201599	234	3
208876	55	10
210452	209	10
210833	169	7
211145	247	33
212865	125	3
213086	62	3
215251	166	4
220292	225	4
221540	98	6
227107	145	12
227513	219	12
231633	203	9
233811	106	12
240140	231	5
240174	296	13
240818	449	9
241411	177	10
244381	191	4
250082	162	50
250447	232	16
250977	270	8
251124	241	8
251631	261	7
252399	147	6
254358	223	4
257937	61	2
311376	120	6
320490	316	10
320880	174	10
323185	321	8
330068	234	9
330098	62	2
330147	201	8
330928	277	12
332376	79	4
332826	168	14
332897	136	2
333527	155	7
336511	140	8
336803	111	6
714259	238	6
717655	139	4
719096	200	8
721215	144	6
722884	349	29
724720	158	6
725169	32	2
731494	197	3
732593	135	2
732953	126	6
733593	83	2
739268	268	8
739272	55	4
739277	97	15
739648	166	7
741525	62	7
746156	41	4
746949	261	20
748774	196	18
