hrs	radius_kpc	radius_error_kpc	velocity_km_s	velocity_error_km_s	bins	side
63	4.720000000000e+00	3.000000000000e-02	1.480000000000e+02	2.000000000000e+00	24	a
63	4.860000000000e+00	5.000000000000e-02	1.510000000000e+02	2.000000000000e+00	24	a
63	5.020000000000e+00	5.000000000000e-02	1.600000000000e+02	3.000000000000e+00	24	a
63	5.210000000000e+00	7.000000000000e-02	1.530000000000e+02	2.000000000000e+00	24	a
63	5.460000000000e+00	8.000000000000e-02	1.600000000000e+02	2.000000000000e+00	24	a
63	5.720000000000e+00	7.000000000000e-02	1.630000000000e+02	2.000000000000e+00	24	a
63	5.960000000000e+00	7.000000000000e-02	1.670000000000e+02	2.000000000000e+00	24	a
63	6.240000000000e+00	8.000000000000e-02	1.660000000000e+02	3.000000000000e+00	24	a
63	6.770000000000e+00	1.900000000000e-01	1.670000000000e+02	2.000000000000e+00	24	a
63	7.400000000000e+00	2.200000000000e-01	1.680000000000e+02	2.000000000000e+00	24	a
63	8.310000000000e+00	3.200000000000e-01	1.630000000000e+02	3.000000000000e+00	21	a
63	4.680000000000e+00	7.000000000000e-02	1.500000000000e+02	3.000000000000e+00	24	r
63	5.110000000000e+00	1.800000000000e-01	1.520000000000e+02	3.000000000000e+00	24	r
63	5.640000000000e+00	1.300000000000e-01	1.590000000000e+02	3.000000000000e+00	24	r
63	6.330000000000e+00	2.700000000000e-01	1.520000000000e+02	2.000000000000e+00	24	r
63	7.280000000000e+00	2.500000000000e-01	1.610000000000e+02	3.000000000000e+00	24	r
63	8.470000000000e+00	5.200000000000e-01	1.540000000000e+02	2.000000000000e+00	22	r
64	1.100000000000e-01	0.000000000000e+00	-4.000000000000e+00	4.000000000000e+00	1	a
64	4.000000000000e-01	0.000000000000e+00	2.300000000000e+01	4.000000000000e+00	1	a
64	6.300000000000e-01	0.000000000000e+00	4.700000000000e+01	4.000000000000e+00	1	a
64	7.100000000000e-01	1.000000000000e-02	3.500000000000e+01	3.000000000000e+00	2	a
64	8.600000000000e-01	0.000000000000e+00	7.600000000000e+01	4.000000000000e+00	1	a
64	1.500000000000e+00	2.800000000000e-01	8.400000000000e+01	3.000000000000e+00	20	a
64	2.140000000000e+00	1.500000000000e-01	9.600000000000e+01	2.000000000000e+00	20	a
64	2.660000000000e+00	1.900000000000e-01	9.800000000000e+01	3.000000000000e+00	20	a
64	3.900000000000e+00	3.300000000000e-01	1.070000000000e+02	2.000000000000e+00	15	a
64	1.000000000000e-01	0.000000000000e+00	2.600000000000e+01	4.000000000000e+00	1	r
64	3.100000000000e-01	0.000000000000e+00	2.200000000000e+01	4.000000000000e+00	1	r
64	5.100000000000e-01	0.000000000000e+00	2.600000000000e+01	4.000000000000e+00	1	r
64	6.500000000000e-01	1.000000000000e-02	5.000000000000e+01	3.000000000000e+00	2	r
64	7.300000000000e-01	0.000000000000e+00	4.100000000000e+01	4.000000000000e+00	1	r
64	8.100000000000e-01	0.000000000000e+00	6.100000000000e+01	4.000000000000e+00	1	r
64	8.700000000000e-01	0.000000000000e+00	4.700000000000e+01	0.000000000000e+00	2	r
64	1.270000000000e+00	1.800000000000e-01	6.900000000000e+01	3.000000000000e+00	20	r
64	1.830000000000e+00	1.400000000000e-01	8.900000000000e+01	2.000000000000e+00	20	r
64	2.390000000000e+00	2.700000000000e-01	9.400000000000e+01	4.000000000000e+00	19	r
65	2.400000000000e-01	0.000000000000e+00	8.000000000000e+00	1.400000000000e+01	1	a
65	3.500000000000e-01	0.000000000000e+00	3.100000000000e+01	1.400000000000e+01	1	a
65	5.400000000000e-01	1.000000000000e-02	3.000000000000e+01	8.000000000000e+00	4	a
65	7.200000000000e-01	3.000000000000e-02	5.100000000000e+01	6.000000000000e+00	2	a
65	8.100000000000e-01	0.000000000000e+00	4.000000000000e+01	1.400000000000e+01	1	a
65	8.900000000000e-01	2.000000000000e-02	2.800000000000e+01	1.000000000000e+00	3	a
65	1.010000000000e+00	0.000000000000e+00	3.900000000000e+01	1.400000000000e+01	1	a
65	1.480000000000e+00	1.900000000000e-01	4.500000000000e+01	2.000000000000e+00	22	a
65	1.880000000000e+00	7.000000000000e-02	6.400000000000e+01	2.000000000000e+00	22	a
65	2.110000000000e+00	8.000000000000e-02	7.000000000000e+01	2.000000000000e+00	22	a
65	2.410000000000e+00	1.000000000000e-01	8.000000000000e+01	3.000000000000e+00	22	a
65	2.870000000000e+00	1.400000000000e-01	8.200000000000e+01	3.000000000000e+00	22	a
65	3.560000000000e+00	4.300000000000e-01	8.300000000000e+01	3.000000000000e+00	22	a
65	4.900000000000e+00	3.500000000000e-01	9.300000000000e+01	2.000000000000e+00	20	a
65	2.000000000000e-01	2.000000000000e-02	4.400000000000e+01	3.000000000000e+00	3	r
65	4.400000000000e-01	0.000000000000e+00	4.200000000000e+01	8.000000000000e+00	2	r
65	5.200000000000e-01	0.000000000000e+00	4.900000000000e+01	1.400000000000e+01	1	r
65	6.400000000000e-01	3.000000000000e-02	4.400000000000e+01	1.400000000000e+01	3	r
65	7.400000000000e-01	1.000000000000e-02	5.900000000000e+01	5.000000000000e+00	3	r
65	8.200000000000e-01	1.000000000000e-02	5.300000000000e+01	3.000000000000e+00	2	r
65	8.900000000000e-01	3.000000000000e-02	5.300000000000e+01	8.000000000000e+00	3	r
65	1.000000000000e+00	1.000000000000e-02	5.800000000000e+01	7.000000000000e+00	4	r
65	1.050000000000e+00	3.000000000000e-02	6.900000000000e+01	3.000000000000e+00	4	r
65	1.420000000000e+00	1.500000000000e-01	5.800000000000e+01	2.000000000000e+00	22	r
65	1.720000000000e+00	5.000000000000e-02	6.400000000000e+01	2.000000000000e+00	22	r
65	1.870000000000e+00	4.000000000000e-02	6.300000000000e+01	3.000000000000e+00	22	r
65	2.010000000000e+00	5.000000000000e-02	6.300000000000e+01	2.000000000000e+00	22	r
65	2.180000000000e+00	8.000000000000e-02	6.500000000000e+01	2.000000000000e+00	22	r
65	2.530000000000e+00	1.100000000000e-01	6.400000000000e+01	2.000000000000e+00	22	r
65	2.910000000000e+00	1.400000000000e-01	7.000000000000e+01	2.000000000000e+00	22	r
65	3.570000000000e+00	2.400000000000e-01	7.600000000000e+01	3.000000000000e+00	22	r
65	4.380000000000e+00	2.200000000000e-01	8.100000000000e+01	3.000000000000e+00	22	r
65	5.370000000000e+00	5.700000000000e-01	7.900000000000e+01	2.000000000000e+00	16	r
66	1.500000000000e-01	2.000000000000e-02	2.600000000000e+01	8.000000000000e+00	2	a
66	2.100000000000e-01	3.000000000000e-02	3.100000000000e+01	8.000000000000e+00	4	a
