plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
10001-12702	31.42189	0.8356167	-116.6161	60.06647
10213-12704	262.3919	0.9516575	-66.71532	103.0383
10213-3704	281.5137	1.042157	-22.76905	81.48015
10213-6104	259.2636	0.943778	-23.11301	41.47124
10214-12702	203.6288	0.8983539	-28.68861	23.98866
10215-9101	42.15008	0.8510683	-117.3439	101.4918
10216-12701	63.19512	0.8826845	-139.2104	89.7893
10216-12703	32.80584	0.8892621	-62.04056	42.84493
10216-1901	144.4459	0.985502	-72.85347	89.76408
10217-12702	77.06681	0.8674908	-166.0454	115.7857
10217-1902	178.3887	1.325994	-72.82661	110.8973
10218-12703	138.1973	0.9575318	-248.0776	137.4728
10218-3702	225.0079	1.140974	-53.74188	86.448
10221-12701	91.39145	0.9147321	-86.15622	110.9362
10492-6101	53.81835	0.9537538	-96.41031	58.26742
10493-6103	253.6622	0.9458804	13.14372	46.83175
10494-12703	247.7767	0.8966662	-45.002	1.232444
10494-1901	73.4368	0.9811302	-57.01698	23.65034
10495-1902	239.8769	1.384264	-161.6938	156.3293
10495-3704	275.6499	1.083105	21.65037	125.7703
10495-6103	112.0283	0.9471983	-127.6643	61.82634
10496-3701	321.9051	0.9449091	-31.94865	63.43015
10496-3703	211.1842	1.373818	-70.72404	102.0961
10496-3704	190.4711	1.170375	-174.2	196.4721
10496-9101	236.391	0.9191682	-21.47518	48.10072
10497-12702	236.6841	0.8782839	-26.64339	638.7029
10498-6103	297.39	0.9895169	-602.5562	51.18497
10500-6103	174.9796	0.9971557	-120.1644	108.0807
10504-12705	69.90365	0.9626424	3.925359	22.92547
10504-1901	63.10487	0.9756841	-34.43455	45.14468
10504-3702	80.96055	0.9602969	-76.2667	83.81482
10505-3701	248.1662	1.347551	-133.7568	154.7927
10505-3702	54.89972	0.8729312	-36.47316	69.78753
10506-12702	53.05581	0.8675025	-165.532	-28.3667
10506-3701	90.32369	0.9976804	-94.78835	118.0936
10506-3702	105.7058	0.9305821	-35.74743	73.088
10508-3701	275.9308	1.233639	-110.8271	64.01095
10508-3704	216.9088	1.142263	-62.11557	65.64372
10508-6103	217.2286	0.8896782	-11.53967	550.8115
10508-9101	300.7637	0.8673036	-4.051075	60.63503
10509-6101	66.19777	1.011954	-28.16191	41.33737
10510-12702	133.3408	0.933731	-46.23663	68.64301
10510-12705	296.0875	0.9825616	-673.0739	858.499
10510-3702	252.0705	0.9958711	-53.90263	122.4657
10510-6102	232.3837	0.9421332	-10.34077	47.36985
10510-9102	248.8726	0.9338254	-134.2393	196.1619
10512-3701	263.6093	0.9629867	-84.54274	131.2025
10516-12702	217.749	0.9749058	-258.4613	151.067
10516-6103	209.7097	0.9348978	-56.06186	72.9019
10517-12705	232.0477	0.8861287	12.56767	60.16454
10519-12703	218.5009	0.9216415	-6.606479	38.17569
10519-12705	114.7369	0.8996804	-111.459	104.9985
10519-3701	206.4773	1.128952	-47.88166	61.76464
10519-3702	159.7843	1.184615	-72.36633	106.865
10519-3703	240.941	1.007862	-50.74462	72.17606
10519-6104	174.558	1.045544	-262.2675	204.0929
10519-9101	154.8698	0.9145972	-55.99073	67.21577
10520-3702	172.332	1.174805	-152.0955	202.1556
10837-12702	274.1354	0.9270939	-13.55907	53.85601
10837-3703	250.158	1.028056	0.9510751	58.00065
10837-3704	324.657	0.9913067	-7.655477	554.1375
10837-6101	241.9436	1.17127	-64.75616	86.83193
10838-12705	112.6569	0.941869	-155.1966	186.393
10839-6102	219.9898	0.9358491	-6.675287	45.17074
10839-6104	228.8821	0.9696465	-146.4612	86.64417
10842-1901	141.6433	0.944618	-201.2281	179.2196
11004-3702	64.55252	0.927578	-92.1318	86.22651
11004-6101	90.25236	0.9350533	-55.834	46.77186
11004-6103	66.47528	0.9183862	-40.90827	57.87871
11004-6104	406.5803	2.042398	-35.08245	807.4243
11006-12703	107.2188	1.122489	-137.8718	150.6026
11006-1901	187.1769	1.784595	-150.466	139.7259
11006-1902	52.55377	0.9730986	-39.48957	36.44102
11006-3701	28.20516	0.9292458	-9.029702	16.97189
11006-6102	105.8647	0.9884215	-43.89445	63.19716
11006-9102	45.65277	0.9030556	-74.49896	65.96481
11007-12703	32.394	0.8824073	-26.26242	3.677205
11007-12705	91.48048	1.192011	-24.69594	33.75092
11007-1901	113.5045	1.170202	-65.68536	99.31134
11007-6101	33.54129	0.9553236	-7.215523	23.17741
11007-6102	69.12412	0.980372	-32.60298	31.56064
11007-6104	110.2425	1.082171	-33.97723	48.66298
11009-12702	53.55129	0.8759328	-250.7445	308.6323
11009-1901	46.42022	0.9338639	-45.98921	20.77847
11009-3701	41.94476	0.9015214	-23.36213	38.15532
11009-3702	45.22805	0.8840212	-6.051353	21.19569
11010-3702	74.63695	0.9392997	-94.88004	98.6263
11010-6102	114.0822	1.00363	-135.9256	117.7039
11011-9102	247.2592	1.00311	-19.07259	88.47807
11012-12702	133.4079	0.850193	-226.8888	209.3909
11012-1901	146.2833	1.032758	-119.8761	116.1405
11012-3702	112.3932	0.980264	-53.00552	9.884529
11012-6101	58.8862	0.9598084	-94.0294	73.23346
11012-6104	168.0952	1.001273	-73.75207	65.69277
11012-9102	85.74392	0.895639	-99.12253	138.0601
11013-6104	138.3126	0.9836599	-54.71549	87.29549
11014-12703	39.02048	0.8981202	-108.035	-42.03661
11014-3702	50.45522	0.9649265	-101.1639	118.2518
11014-6104	136.6938	0.9685382	-36.0881	67.59752
11014-9101	98.19852	1.064118	-92.35434	191.9367
11014-9102	47.48452	0.902441	0.9396614	43.97123
11016-1901	152.3345	1.023741	-197.4226	166.2852
11017-3702	275.1385	0.9596288	-121.4579	195.6504
11018-12705	162.5328	1.006816	-57.87339	104.6425
11019-6102	237.7989	0.9603902	-22.34247	21.29174
11020-9101	259.9074	0.8902297	-28.45288	31.96373
11021-3704	173.4028	1.318366	-124.9669	149.3454
11021-6102	128.1416	0.9801368	-194.6744	183.176
11022-12704	97.07608	1.043817	-148.4751	158.4488
11022-1902	60.27293	1.095456	-16.23326	33.81858
11022-3704	102.6853	1.064229	-83.1774	92.83322
11022-6103	145.3168	0.991538	-152.8329	173.5492
11022-9101	261.1614	0.9435313	-157.8087	37.62031
11022-9102	211.3289	0.9672125	-29.96738	66.86426
11025-9102	69.34252	1.018718	-63.12565	97.52847
11742-9101	255.4635	0.8654222	-175.3811	205.9698
11743-12704	77.29835	0.8941367	-129.4461	164.5212
11743-1901	102.9458	1.037384	-131.0208	124.3607
11744-3701	219.9809	0.9942273	-52.13999	68.64491
11746-3703	94.14818	0.994082	-194.8343	165.7718
