axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	half_light_radius_kpc	halpha_ew	hbeta	hdelta_a	hgamma_a	internal_acceleration_m_s2	log_baryonic_speed_km_s	log_half_light_radius	log_mean_stellar_density	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_bin	mass_size_crossing_proxy	mean_stellar_density_msun_kpc3	minimum_item34_role_separation_arcsec	minimum_predecessor_separation_arcsec	outer_fold	phase_space_proxy	plateifu	ra	redshift	role	sample_cell	sersic_bin	sersic_index	sfr_1re	sfr_tot	snr_med_g	source_map_read	stellar_mass_msun	velocity_response_read	annulus	annulus_index	source_pixels	weighted_radius_re	flux_m1	flux_m2	flux_m3	source_nonaxisymmetry	flux_asymmetry	centroid_offset_re	radial_concentration	radius_kpc	enclosed_stellar_mass_msun	enclosed_stellar_mass_fraction	log_baryonic_speed_km_s	log_acceleration	omega_Gyr_inverse	log_omega_Gyr_inverse	mode_frequency_ratio	age_gyr_proxy	vertical_to_orbital_frequency
5.558380000000e-01	1.454254000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.515713882446e+01	1.320029000000e+00	0.000000000000e+00	4.118000000000e-01	5.675290000000e+00	1.682060000000e+01	3.836418000000e+00	5.284739000000e+00	3.478312000000e+00	1.009442095096e-11	1.494611932347e+00	7.539880583201e-01	6.483794934352e+00	9.493922513072e-01	-1.087601038264e+01	9.367847718615e+00	-3.571980680899e-01	7.859871601975e+00	1-153412	0	-3.552941771827e+00	3.046456170926e+06	2.949985055977e+03	1.605354319954e+03	1	7.612664911878e+00	10214-6101	1.230618209839e+02	1.749220000000e-02	exploration	m0-n1	1	2.324670000000e+00	3.103397000000e-02	4.649233000000e-02	8.900046000000e+00	False	2.332640000001e+09	False	inner	0	132	5.121278702891e-01	4.753377359820e-02	4.672347905511e-03	1.028761118557e-02	4.885821743924e-02	1.020652996787e-01	3.258550111317e-02	3.278876277189e-01	2.906474180973e+00	6.592193996009e+08	2.826065743538e-01	1.494611932347e+00	-1.096349314988e+01	1.099003017466e+01	1.040998884841e+00	1.404001636487e+00	2.100145000000e+00	1.167572054399e+00
5.558380000000e-01	1.454254000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.515713882446e+01	1.320029000000e+00	0.000000000000e+00	4.118000000000e-01	5.675290000000e+00	1.682060000000e+01	3.836418000000e+00	5.284739000000e+00	3.478312000000e+00	1.009442095096e-11	1.466003643471e+00	7.539880583201e-01	6.483794934352e+00	9.493922513072e-01	-1.087601038264e+01	9.367847718615e+00	-3.571980680899e-01	7.859871601975e+00	1-153412	0	-3.552941771827e+00	3.046456170926e+06	2.949985055977e+03	1.605354319954e+03	1	7.612664911878e+00	10214-6101	1.230618209839e+02	1.749220000000e-02	exploration	m0-n1	1	2.324670000000e+00	3.103397000000e-02	4.649233000000e-02	8.900046000000e+00	False	2.332640000001e+09	False	outer	1	363	1.114909861943e+00	4.336349917861e-02	2.901511466390e-02	6.292446061236e-03	5.255344724569e-02	1.020652996787e-01	3.258550111317e-02	3.278876277189e-01	6.327436790387e+00	1.257982928685e+09	5.392957887562e-01	1.466003643471e+00	-1.135857107363e+01	4.726386682902e+00	6.745292499626e-01	1.528784114988e+00	2.100145000000e+00	2.714896805917e+00
4.584160000000e-01	1.650208000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	-9.455425143242e-01	1.440364000000e+00	0.000000000000e+00	7.765000000000e-01	5.282790000000e+00	2.440587000000e+01	3.616135000000e+00	4.734550000000e+00	2.073296000000e+00	3.278007953328e-11	1.726067115129e+00	7.228633470765e-01	7.026448237106e+00	1.228246839787e+00	-1.085351522131e+01	9.817126887638e+00	-1.180021712672e-01	8.371400193485e+00	1-36392	1	-3.824268423204e+00	1.062791903188e+07	5.942250199290e+03	8.041001078750e+02	2	7.434712394232e+00	10226-3703	3.793550491333e+01	2.000540000000e-02	exploration	m1-n1	1	2.024730000000e+00	9.196269000000e-02	1.610749000000e-01	1.691402000000e+01	False	6.563370000003e+09	False	inner	0	98	5.252604625940e-01	5.079753264383e-02	4.231922878049e-02	6.707263024808e-03	6.645520163660e-02	1.474262069252e-01	7.444903429599e-02	2.690470288023e-01	2.774840719187e+00	1.827308752675e+09	2.784101387967e-01	1.726067115129e+00	-1.048045437386e+01	1.961473649041e+01	1.292582478077e+00	1.558320055094e+00	2.701820000000e+00	1.221874917720e+00
4.584160000000e-01	1.650208000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	-9.455425143242e-01	1.440364000000e+00	0.000000000000e+00	7.765000000000e-01	5.282790000000e+00	2.440587000000e+01	3.616135000000e+00	4.734550000000e+00	2.073296000000e+00	3.278007953328e-11	1.705908613951e+00	7.228633470765e-01	7.026448237106e+00	1.228246839787e+00	-1.085351522131e+01	9.817126887638e+00	-1.180021712672e-01	8.371400193485e+00	1-36392	1	-3.824268423204e+00	1.062791903188e+07	5.942250199290e+03	8.041001078750e+02	2	7.434712394232e+00	10226-3703	3.793550491333e+01	2.000540000000e-02	exploration	m1-n1	1	2.024730000000e+00	9.196269000000e-02	1.610749000000e-01	1.691402000000e+01	False	6.563370000003e+09	False	outer	1	262	1.139367890572e+00	1.173544423504e-01	6.832862930900e-02	3.436627926212e-02	1.400782205518e-01	1.474262069252e-01	7.444903429599e-02	2.690470288023e-01	6.019041298637e+00	3.612303204567e+09	5.503732388340e-01	1.705908613951e+00	-1.085706064049e+01	8.632462742510e+00	9.361347126216e-01	1.622865676537e+00	2.701820000000e+00	2.776351922992e+00
5.246470000000e-01	1.923880000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.171623992920e+01	1.726567000000e+00	0.000000000000e+00	7.675000000000e-01	4.974750000000e+00	3.879410000000e+00	2.275661000000e+00	2.884126000000e-01	-2.720222000000e+00	5.666866329846e-11	1.829200084863e+00	6.967712606901e-01	7.290273289157e+00	1.134051775447e+00	-1.166625817737e+01	1.000267568053e+01	-1.817865809812e-01	8.609133159155e+00	1-548653	1	-3.956180949232e+00	1.951071967605e+07	2.362141469770e+03	1.374398884961e+03	0	7.381076127366e+00	10496-3702	1.240814590454e+02	2.487090000000e-02	exploration	m1-n1	1	1.946140000000e+00	2.169789000000e-02	4.327194000000e-02	1.361607000000e+01	False	1.006179999988e+10	False	inner	0	96	5.207365031858e-01	3.397976674876e-02	3.689510506531e-02	5.892193473036e-03	5.050337879790e-02	8.337344304770e-02	4.360697405387e-02	2.557168539466e-01	2.590533919224e+00	2.743020783100e+09	2.726173033783e-01	1.829200084863e+00	-1.024433965860e+01	2.664184047986e+01	1.425564223600e+00	1.634119486388e+00	4.132835000000e+00	1.218870399735e+00
5.246470000000e-01	1.923880000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.171623992920e+01	1.726567000000e+00	0.000000000000e+00	7.675000000000e-01	4.974750000000e+00	3.879410000000e+00	2.275661000000e+00	2.884126000000e-01	-2.720222000000e+00	5.666866329846e-11	1.813409345154e+00	6.967712606901e-01	7.290273289157e+00	1.134051775447e+00	-1.166625817737e+01	1.000267568053e+01	-1.817865809812e-01	8.609133159155e+00	1-548653	1	-3.956180949232e+00	1.951071967605e+07	2.362141469770e+03	1.374398884961e+03	0	7.381076127366e+00	10496-3702	1.240814590454e+02	2.487090000000e-02	exploration	m1-n1	1	1.946140000000e+00	2.169789000000e-02	4.327194000000e-02	1.361607000000e+01	False	1.006179999988e+10	False	outer	1	263	1.114936534545e+00	6.322231145104e-02	1.129411130672e-02	1.912504449696e-03	6.425165592178e-02	8.337344304770e-02	4.360697405387e-02	2.557168539466e-01	5.546530525230e+00	5.461095145755e+09	5.427552869086e-01	1.813409345154e+00	-1.060655326238e+01	1.199889794551e+01	1.079141359534e+00	1.197819343520e+00	4.132835000000e+00	2.706327773001e+00
3.927240000000e-01	1.659630000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.091737556458e+01	1.423921000000e+00	0.000000000000e+00	7.049000000000e-01	6.229790000000e+00	2.065212000000e+01	3.680755000000e+00	4.520236000000e+00	2.506852000000e+00	3.335255335758e-11	1.721905045290e+00	7.944734072726e-01	6.962357261587e+00	1.046193043164e+00	-1.092207815917e+01	9.967866092707e+00	-4.198424996901e-01	8.378919278162e+00	1-300275	1	-3.792222935445e+00	9.169745062834e+06	5.476001020803e+03	1.269735019366e+03	1	7.251927701403e+00	10500-6101	1.348919219971e+02	3.063810000000e-02	exploration	m1-n0	0	1.044820000000e+00	1.111189000000e-01	1.885462000000e-01	1.112226000000e+01	False	9.286799999993e+09	False	inner	0	114	5.443816322964e-01	5.616757083625e-02	6.428817807409e-03	1.591592522531e-02	5.873195372047e-02	1.018802232016e-01	3.761980126740e-02	2.148365009005e-01	3.391383249064e+00	2.190920437690e+09	2.359176936826e-01	1.721905045290e+00	-1.057591732538e+01	1.589577095762e+01	1.201281596392e+00	1.487320604534e+00	2.619605000000e+00	1.400496873901e+00
3.927240000000e-01	1.659630000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.091737556458e+01	1.423921000000e+00	0.000000000000e+00	7.049000000000e-01	6.229790000000e+00	2.065212000000e+01	3.680755000000e+00	4.520236000000e+00	2.506852000000e+00	3.335255335758e-11	1.752624642600e+00	7.944734072726e-01	6.962357261587e+00	1.046193043164e+00	-1.092207815917e+01	9.967866092707e+00	-4.198424996901e-01	8.378919278162e+00	1-300275	1	-3.792222935445e+00	9.169745062834e+06	5.476001020803e+03	1.269735019366e+03	1	7.251927701403e+00	10500-6101	1.348919219971e+02	3.063810000000e-02	exploration	m1-n0	0	1.044820000000e+00	1.111189000000e-01	1.885462000000e-01	1.112226000000e+01	False	9.286799999993e+09	False	outer	1	305	1.125947828492e+00	5.101661956047e-02	1.076640280810e-01	4.927870065822e-02	1.289287739512e-01	1.018802232016e-01	3.761980126740e-02	2.148365009005e-01	7.014418522462e+00	5.220121427788e+09	5.621012003911e-01	1.752624642600e+00	-1.083009293497e+01	8.248716726014e+00	9.163863895002e-01	1.991642987360e+00	2.619605000000e+00	2.698841319668e+00
7.120850000000e-01	1.553606000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.146137475967e+00	1.398108000000e+00	0.000000000000e+00	7.748000000000e-01	5.445250000000e+00	1.701570000000e+01	3.219864000000e+00	3.475914000000e+00	9.392940000000e-01	1.559766921962e-11	1.555776690696e+00	7.360178236929e-01	6.690743463542e+00	9.121170051626e-01	-1.088655763225e+01	9.520885543923e+00	-5.748035323773e-01	8.048849896537e+00	1-76920	1	-3.656416036422e+00	4.906179839586e+06	3.997090096432e+03	3.137045812764e+03	2	7.563101351165e+00	10512-6104	1.367697296143e+02	2.389190000000e-02	exploration	m1-n1	1	1.614520000000e+00	4.308518000000e-02	9.930943000000e-02	8.168024000000e+00	False	3.318070000004e+09	False	inner	0	161	5.187842692764e-01	9.329705428745e-03	3.898757320273e-02	7.036988655500e-03	4.070127119591e-02	4.215621666327e-02	4.079033325800e-02	2.349437650762e-01	2.824910042277e+00	8.491758785219e+08	2.559246424943e-01	1.555776690696e+00	-1.082880178633e+01	1.301743716549e+01	1.114525490035e+00	1.958581029330e+00	2.490540000000e+00	1.250925227598e+00
7.120850000000e-01	1.553606000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.146137475967e+00	1.398108000000e+00	0.000000000000e+00	7.748000000000e-01	5.445250000000e+00	1.701570000000e+01	3.219864000000e+00	3.475914000000e+00	9.392940000000e-01	1.559766921962e-11	1.553614144675e+00	7.360178236929e-01	6.690743463542e+00	9.121170051626e-01	-1.088655763225e+01	9.520885543923e+00	-5.748035323773e-01	8.048849896537e+00	1-76920	1	-3.656416036422e+00	4.906179839586e+06	3.997090096432e+03	3.137045812764e+03	2	7.563101351165e+00	10512-6104	1.367697296143e+02	2.389190000000e-02	exploration	m1-n1	1	1.614520000000e+00	4.308518000000e-02	9.930943000000e-02	8.168024000000e+00	False	3.318070000004e+09	False	outer	1	426	1.135010361138e+00	6.214716777581e-02	4.361931704106e-03	1.265730862801e-02	6.357282731208e-02	4.215621666327e-02	4.079033325800e-02	2.349437650762e-01	6.180415168984e+00	1.839439822633e+09	5.543704088916e-01	1.553614144675e+00	-1.117313990564e+01	5.920384551886e+00	7.723499167462e-01	1.374862895379e+00	2.490540000000e+00	2.750470076103e+00
