galaxy	team_release_kin	point_index	outer_fold	source_cell	radius_kpc	radius_over_screen	local_hi_surface_density	enclosed_baryonic_mass_msun	enclosed_fraction	enclosed_log_slope	gbar_m_s2	u	vbar_km_s	h_equipartition	h_quasilocal	h_wedge	h_flow	total_baryonic_mass_msun	gas_fraction	effective_to_screen_ratio	axis_ratio	distance_mpc	inclination_degrees
WALLABY J100351-273417	Hydra Kin TR2	0	3	mass3|screen_ratio1	4.351346647498e+00	1.424411243353e-01	4.120000000000e+00	5.349764356292e+09	7.518289678892e-02	1.668888914154e+00	3.938200576854e-11	3.281833814045e-01	7.271701275511e+01	5.749665844604e-01	3.090570020666e-01	3.484426546541e-01	9.024832683504e-02	7.115666707167e+10	1.218378903377e-01	5.247779184605e-01	6.712458535319e-01	3.989020769601e+01	4.010000000000e+01
WALLABY J100351-273417	Hydra Kin TR2	1	3	mass3|screen_ratio1	7.261914071714e+00	2.377184097240e-01	6.000000000000e+00	1.257596481676e+10	1.767362825481e-01	1.574085855193e+00	3.323912983010e-11	2.769927485842e-01	8.630295147035e+01	5.154475222406e-01	1.471382235814e-01	6.010379501017e-01	1.191672953764e-01	7.115666707167e+10	1.218378903377e-01	5.247779184605e-01	6.712458535319e-01	3.989020769601e+01	4.010000000000e+01
WALLABY J100351-273417	Hydra Kin TR2	2	3	mass3|screen_ratio1	1.017248149593e+01	3.329956951127e-01	6.170000000000e+00	2.093231461522e+10	2.941722185237e-01	1.401428328295e+00	2.819512213065e-11	2.349593510888e-01	9.407532274682e+01	4.524930417720e-01	6.190284251615e-02	7.890431538451e-01	1.759765645288e-01	7.115666707167e+10	1.218378903377e-01	5.247779184605e-01	6.712458535319e-01	3.989020769601e+01	4.010000000000e+01
WALLABY J100351-273417	Hydra Kin TR2	3	3	mass3|screen_ratio1	1.308304892015e+01	4.282729805014e-01	4.739999999998e+00	2.917235806693e+10	4.099736436159e-01	1.222687402607e+00	2.375549850736e-11	1.979624875614e-01	9.792911494823e+01	3.817984248143e-01	2.183049279183e-02	9.014108549515e-01	2.412001228426e-01	7.115666707167e+10	1.218378903377e-01	5.247779184605e-01	6.712458535319e-01	3.989020769601e+01	4.010000000000e+01
WALLABY J100351-273417	Hydra Kin TR2	4	3	mass3|screen_ratio1	1.599361634436e+01	5.235502658901e-01	3.420000000000e+00	3.672159966049e+10	5.160668869371e-01	1.063203514091e+00	2.000961752296e-11	1.667468126914e-01	9.937290897273e+01	3.062144407934e-01	7.198206505855e-03	9.493537341961e-01	3.058224768935e-01	7.115666707167e+10	1.218378903377e-01	5.247779184605e-01	6.712458535319e-01	3.989020769601e+01	4.010000000000e+01
WALLABY J100351-273417	Hydra Kin TR2	5	3	mass3|screen_ratio1	1.890418376858e+01	6.188275512789e-01	2.460000000001e+00	4.336456853726e+10	6.094238294436e-01	9.200944575837e-01	1.691335296848e-11	1.409446080707e-01	9.932740606227e+01	2.282172769196e-01	7.656186659226e-03	9.483241536184e-01	3.698187021353e-01	7.115666707167e+10	1.218378903377e-01	5.247779184605e-01	6.712458535319e-01	3.989020769601e+01	4.010000000000e+01
WALLABY J103915-301757	Hydra Kin TR2	0	4	mass3|screen_ratio0	1.960250199466e+00	4.746535029429e-02	1.439000000000e+01	3.588695189830e+09	4.968000698334e-02	1.558808350151e+00	1.301739558209e-10	1.084782965174e+00	8.873461663236e+01	9.132358641339e-01	2.279734977680e-02	1.807733590895e-01	1.239717361657e-01	7.223620542231e+10	1.602424090963e-01	2.103209606987e-01	3.029800713040e-01	5.391075034516e+01	7.970000000000e+01
WALLABY J103915-301757	Hydra Kin TR2	1	4	mass3|screen_ratio0	5.893818933061e+00	1.427124865515e-01	1.594000000000e+01	1.996089009955e+10	2.763280543718e-01	1.290658528263e+00	8.009342544346e-11	6.674452120288e-01	1.206902262366e+02	8.627084371456e-01	3.188607181680e-01	5.913401442140e-01	2.155621635137e-01	7.223620542231e+10	1.602424090963e-01	2.103209606987e-01	3.029800713040e-01	5.391075034516e+01	7.970000000000e+01
WALLABY J103915-301757	Hydra Kin TR2	2	4	mass3|screen_ratio0	9.827387666657e+00	2.379596228087e-01	1.556000000000e+01	3.623318944801e+10	5.015932001990e-01	9.823591770993e-01	5.229268383084e-11	4.357723652570e-01	1.259258185730e+02	7.971230455324e-01	3.564770077113e-01	7.880847920426e-01	3.412200752728e-01	7.223620542231e+10	1.602424090963e-01	2.103209606987e-01	3.029800713040e-01	5.391075034516e+01	7.970000000000e+01
WALLABY J103915-301757	Hydra Kin TR2	3	4	mass3|screen_ratio0	1.376095640025e+01	3.332067590659e-01	1.465000000000e+01	4.842235414792e+10	6.703335794680e-01	7.288163222806e-01	3.564176526031e-11	2.970147105026e-01	1.230209807022e+02	7.158116661108e-01	3.359374879683e-01	8.141458805622e-01	4.658370251379e-01	7.223620542231e+10	1.602424090963e-01	2.103209606987e-01	3.029800713040e-01	5.391075034516e+01	7.970000000000e+01
