galaxy	team_release_kin	point_index	observed_speed_km_s	observed_speed_error_km_s
WALLABY J122733+061359	NGC 4636 Kin TR1	0	9.930000000000e+01	1.536294242650e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	1	1.232000000000e+02	1.804466680213e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	2	1.396000000000e+02	2.059368835347e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	3	1.445000000000e+02	2.106466235191e+01
WALLABY J122733+061359	NGC 4636 Kin TR1	4	1.393000000000e+02	1.981615502564e+01
WALLABY J130148-114530	NGC5044 Kin TR3	0	1.119000000000e+02	1.965960325134e+01
WALLABY J130148-114530	NGC5044 Kin TR3	1	1.201000000000e+02	3.676955262170e+00
WALLABY J130148-114530	NGC5044 Kin TR3	2	1.365000000000e+02	4.036087214122e+00
WALLABY J130148-114530	NGC5044 Kin TR3	3	1.347000000000e+02	3.132091952673e+00
WALLABY J130148-114530	NGC5044 Kin TR3	4	1.340000000000e+02	3.640054944640e+00
WALLABY J130223-122031	NGC5044 Kin TR3	0	1.927000000000e+02	2.619465594353e+01
WALLABY J130223-122031	NGC5044 Kin TR3	1	1.860000000000e+02	9.024965373895e+00
WALLABY J130223-122031	NGC5044 Kin TR3	2	1.960000000000e+02	9.676776322722e+00
WALLABY J130223-122031	NGC5044 Kin TR3	3	1.923000000000e+02	9.044888059009e+00
WALLABY J130223-122031	NGC5044 Kin TR3	4	1.865000000000e+02	1.056834897229e+01
WALLABY J130806-144640	NGC5044 Kin TR3	0	2.980000000000e+01	1.202039932781e+01
WALLABY J130806-144640	NGC5044 Kin TR3	1	5.910000000000e+01	3.130495168500e+00
WALLABY J130806-144640	NGC5044 Kin TR3	2	6.960000000000e+01	3.535533905933e+00
WALLABY J130806-144640	NGC5044 Kin TR3	3	7.430000000000e+01	2.545584412272e+00
WALLABY J130806-144640	NGC5044 Kin TR3	4	7.610000000000e+01	1.910497317454e+00
WALLABY J130806-144640	NGC5044 Kin TR3	5	7.740000000000e+01	2.302172886644e+00
WALLABY J130906+051433	NGC 4808 Kin TR1	0	1.062000000000e+02	6.464371585854e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	1	8.370000000000e+01	2.697850996627e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	2	7.760000000000e+01	1.082312339392e+01
WALLABY J130906+051433	NGC 4808 Kin TR1	3	7.410000000000e+01	6.800735254368e+00
WALLABY J130906+051433	NGC 4808 Kin TR1	4	7.610000000000e+01	7.566372975211e+00
WALLABY J130906+051433	NGC 4808 Kin TR1	5	7.370000000000e+01	6.476109943477e+00
WALLABY J131430-173154	NGC5044 Kin TR3	0	7.230000000000e+01	6.363961030679e+00
WALLABY J131430-173154	NGC5044 Kin TR3	1	1.024000000000e+02	1.431782106328e+00
WALLABY J131430-173154	NGC5044 Kin TR3	2	1.146000000000e+02	5.990826320300e+00
WALLABY J131430-173154	NGC5044 Kin TR3	3	1.113000000000e+02	1.860107523774e+00
WALLABY J131430-173154	NGC5044 Kin TR3	4	1.058000000000e+02	5.675385449465e+00
WALLABY J132202-201335	NGC5044 Kin TR3	0	2.990000000000e+01	3.860051813124e+00
WALLABY J132202-201335	NGC5044 Kin TR3	1	4.780000000000e+01	1.923538406167e+00
WALLABY J132202-201335	NGC5044 Kin TR3	2	6.100000000000e+01	2.607680962081e+00
WALLABY J132202-201335	NGC5044 Kin TR3	3	7.210000000000e+01	5.283937925449e+00
WALLABY J132202-201335	NGC5044 Kin TR3	4	7.340000000000e+01	1.443606594609e+01
WALLABY J133058-215044	NGC5044 Kin TR3	0	9.370000000000e+01	1.335402561028e+01
WALLABY J133058-215044	NGC5044 Kin TR3	1	1.613000000000e+02	1.100227249254e+01
WALLABY J133058-215044	NGC5044 Kin TR3	2	1.773000000000e+02	4.022437072224e+00
WALLABY J133058-215044	NGC5044 Kin TR3	3	1.904000000000e+02	6.777905281132e+00
WALLABY J133058-215044	NGC5044 Kin TR3	4	1.906000000000e+02	5.060632371552e+00
WALLABY J133058-215044	NGC5044 Kin TR3	5	1.833000000000e+02	7.874642849044e+00
