galaxy	team_release_kin	point_index	observed_speed_km_s	observed_speed_error_km_s
WALLABY J100036-465940	Vela Kin TR1	0	8.430000000000e+01	3.677512746409e+01
WALLABY J100036-465940	Vela Kin TR1	1	6.520000000000e+01	7.496665925597e+00
WALLABY J100036-465940	Vela Kin TR1	2	7.770000000000e+01	8.920201791439e+00
WALLABY J100036-465940	Vela Kin TR1	3	6.490000000000e+01	1.771919862748e+01
WALLABY J100036-465940	Vela Kin TR1	4	6.540000000000e+01	1.457737973711e+01
WALLABY J100123-434533	Vela Kin TR1	0	1.020000000000e+02	1.740488437192e+01
WALLABY J100123-434533	Vela Kin TR1	1	1.078000000000e+02	1.161808934378e+01
WALLABY J100123-434533	Vela Kin TR1	2	1.007000000000e+02	8.141252974819e+00
WALLABY J100123-434533	Vela Kin TR1	3	9.990000000000e+01	7.494664769021e+00
WALLABY J100123-434533	Vela Kin TR1	4	9.770000000000e+01	7.085901495223e+00
WALLABY J100123-434533	Vela Kin TR1	5	9.520000000000e+01	7.741446893185e+00
WALLABY J100239-452950	Vela Kin TR1	0	1.025000000000e+02	8.005623023850e+00
WALLABY J100239-452950	Vela Kin TR1	1	1.379000000000e+02	3.612478373638e+00
WALLABY J100239-452950	Vela Kin TR1	2	1.502000000000e+02	4.119465984809e+00
WALLABY J100239-452950	Vela Kin TR1	3	1.457000000000e+02	4.123105625618e-01
WALLABY J100239-452950	Vela Kin TR1	4	1.370000000000e+02	2.022374841616e+00
WALLABY J100239-452950	Vela Kin TR1	5	1.335000000000e+02	1.140175425099e+00
WALLABY J125907-121329	NGC5044 Kin TR3	0	3.180000000000e+01	3.748332962798e+00
WALLABY J125907-121329	NGC5044 Kin TR3	1	4.520000000000e+01	4.981967482832e+00
WALLABY J125907-121329	NGC5044 Kin TR3	2	4.640000000000e+01	4.060788100849e+00
WALLABY J125907-121329	NGC5044 Kin TR3	3	4.400000000000e+01	3.748332962798e+00
WALLABY J125907-121329	NGC5044 Kin TR3	4	3.940000000000e+01	6.129437168289e+00
WALLABY J125939-145813	NGC5044 Kin TR3	0	1.141000000000e+02	6.670269859608e+01
WALLABY J125939-145813	NGC5044 Kin TR3	1	1.764000000000e+02	5.250771371903e+01
WALLABY J125939-145813	NGC5044 Kin TR3	2	1.610000000000e+02	5.557877292636e+00
WALLABY J125939-145813	NGC5044 Kin TR3	3	1.651000000000e+02	4.079215610874e+00
WALLABY J125939-145813	NGC5044 Kin TR3	4	1.790000000000e+02	5.671860364995e+00
WALLABY J125939-145813	NGC5044 Kin TR3	5	1.793000000000e+02	4.491102314577e+00
WALLABY J125939-145813	NGC5044 Kin TR3	6	1.636000000000e+02	5.063595560469e+00
WALLABY J130314-172514	NGC5044 Kin TR3	0	2.290000000000e+01	9.008884503644e+00
WALLABY J130314-172514	NGC5044 Kin TR3	1	2.850000000000e+01	9.313431161500e+00
WALLABY J130314-172514	NGC5044 Kin TR3	2	3.210000000000e+01	7.025667228100e+00
WALLABY J130314-172514	NGC5044 Kin TR3	3	3.430000000000e+01	5.830951894845e+00
WALLABY J130314-172514	NGC5044 Kin TR3	4	3.580000000000e+01	5.048762224546e+00
WALLABY J130314-172514	NGC5044 Kin TR3	5	3.720000000000e+01	4.159326868617e+00
WALLABY J130314-172514	NGC5044 Kin TR3	6	3.860000000000e+01	3.373425558687e+00
WALLABY J130314-172514	NGC5044 Kin TR3	7	4.020000000000e+01	2.692582403567e+00
WALLABY J130314-172514	NGC5044 Kin TR3	8	4.210000000000e+01	2.247220505424e+00
WALLABY J130314-172514	NGC5044 Kin TR3	9	4.420000000000e+01	1.878829422806e+00
WALLABY J130314-172514	NGC5044 Kin TR3	10	4.660000000000e+01	1.664331697709e+00
WALLABY J130314-172514	NGC5044 Kin TR3	11	4.920000000000e+01	1.581138830084e+00
WALLABY J130314-172514	NGC5044 Kin TR3	12	5.190000000000e+01	1.562049935181e+00
WALLABY J130314-172514	NGC5044 Kin TR3	13	5.440000000000e+01	1.280624847487e+00
WALLABY J130314-172514	NGC5044 Kin TR3	14	5.650000000000e+01	1.252996408614e+00
WALLABY J130314-172514	NGC5044 Kin TR3	15	5.790000000000e+01	1.360147050874e+00
WALLABY J130314-172514	NGC5044 Kin TR3	16	5.890000000000e+01	1.555634918610e+00
WALLABY J130314-172514	NGC5044 Kin TR3	17	6.010000000000e+01	1.421267040355e+00
WALLABY J130314-172514	NGC5044 Kin TR3	18	6.130000000000e+01	1.170469991072e+00
WALLABY J130314-172514	NGC5044 Kin TR3	19	6.180000000000e+01	1.140175425099e+00
WALLABY J130314-172514	NGC5044 Kin TR3	20	6.180000000000e+01	1.170469991072e+00
WALLABY J130314-172514	NGC5044 Kin TR3	21	6.170000000000e+01	1.140175425099e+00
WALLABY J130314-172514	NGC5044 Kin TR3	22	6.220000000000e+01	1.389244398945e+00
WALLABY J132402-243938	NGC 5044 Kin TR1	0	2.170000000000e+01	5.508175741568e+00
WALLABY J132402-243938	NGC 5044 Kin TR1	1	4.150000000000e+01	4.545327270945e+00
WALLABY J132402-243938	NGC 5044 Kin TR1	2	5.260000000000e+01	4.031128874149e+00
WALLABY J132402-243938	NGC 5044 Kin TR1	3	6.240000000000e+01	4.617358552246e+00
WALLABY J132402-243938	NGC 5044 Kin TR1	4	7.250000000000e+01	5.197114584075e+00
WALLABY J132402-243938	NGC 5044 Kin TR1	5	8.120000000000e+01	6.074537019395e+00
WALLABY J164052-602341	Norma Kin TR1	0	1.704000000000e+02	6.631477964979e+01
WALLABY J164052-602341	Norma Kin TR1	1	2.330000000000e+02	9.100549433963e+00
WALLABY J164052-602341	Norma Kin TR1	2	2.327000000000e+02	4.248529157250e+00
WALLABY J164052-602341	Norma Kin TR1	3	2.329000000000e+02	2.420743687382e+00
WALLABY J164052-602341	Norma Kin TR1	4	2.330000000000e+02	2.102379604163e+00
WALLABY J164052-602341	Norma Kin TR1	5	2.304000000000e+02	2.549509756796e+00
WALLABY J164052-602341	Norma Kin TR1	6	2.267000000000e+02	2.983286778035e+00
