card_id,output,type,shape,unit_LMT,ast_sha256,value
Q00_GR_COHERENT_SPIN2_CONTROL,omega,vector,3,"[0,0,-1]",2626f717891c6340320c57382a2b33e914d0053d98d3e0fd322efcd177da4b2a,"[0.5,1.0,2.0]"
Q00_GR_COHERENT_SPIN2_CONTROL,relative_noise,scalar,,"[0,0,0]",f065ecacb0fe33dadb1b007197b8636606b7dbfc9f9cf348d88cc8b20df85373,0.1
Q01_MASSIVE_SPIN2,omega,vector,3,"[0,0,-1]",999ab20602e052c840cc04e7abe72ce1771d370f875d3a9ccc9f058defebc5a9,"[0.4242640687119285,0.7615773105863908,1.4317821063276353]"
Q01_MASSIVE_SPIN2,group_velocity,vector,3,"[1,0,-1]",f5a04b97a9a69be03d9eccd3f20367832c3aec64266220c96f04e1fc885e0482,"[0.7071067811865475,0.9191450300180579,0.9778024140774094]"
Q01_MASSIVE_SPIN2,delay,vector,3,"[0,0,1]",da6cdc008b0c2d99a1fe60abffd180c013031c7a77494f3856705dd321f1e878,"[4.142135623730951,0.8796758655198689,0.22701504519739624]"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,mixed_source,vector,3,"[0,0,0]",94208ca1e50481ede6ee594ba8d6ef68672e94646cdaa19ccce3bde090872753,"[1.4,2.3,3.1]"
Q02_SCALAR_VECTOR_TENSOR_MIXTURE,modes,vector,3,"[0,0,0]",e33f0205e4f668d3290b65d19d29a582e65467aaedebc9efa40c00d03edbc6fc,"[0.7,0.7666666666666666,3.1]"
Q03_DISCRETE_GRAVITY_IMPULSES,mean_acceleration,scalar,,"[1,0,-2]",8cb2b914f8d94a02dd184acc729e159b246f73e1f1d67ad6a74d23ba21d14f96,1.0
Q03_DISCRETE_GRAVITY_IMPULSES,count_cumulants,vector,4,"[0,0,0]",435e4ddc2dbe3ff0bb6d8ca875cdde8ff4b51229165bf34a92e1d9fe186993d1,"[25.0,25.0,25.0,25.0]"
Q03_DISCRETE_GRAVITY_IMPULSES,normalized_skewness,scalar,,"[0,0,0]",7adfeac33fb7e91a07f118ca32728f7ba1c323ab717299193dc80905651b8382,0.2
