case,sigma,aperture,relative_L1_vs_baseline,peak_absolute_change_mjy_beam
common30__newton_p5_boxcar_independent_s-1,3,0,0.29811452806464095,0.6382490158031762
common30__newton_p5_boxcar_independent_s-1,3,1,0.23652105313759766,0.6467429167707048
common30__newton_p5_boxcar_independent_s-1,3,2,0.5502018182820033,4.55797289135008
common30__newton_p5_boxcar_independent_s-1,3,3,0.47496151533784736,4.064262454188867
common30__newton_p5_boxcar_independent_s-1,3,4,0.18042791832033836,0.3479132003421568
common30__newton_p5_boxcar_independent_s-1,3,5,0.4814871598563099,1.390076870248762
common30__newton_p5_boxcar_independent_s-1,3,6,0.0791009905067492,0.2144994762908714
common30__newton_p5_boxcar_independent_s-1,3,7,0.2588746845059043,0.4717110911636879
common30__newton_p5_boxcar_independent_s-1,3,8,0.2427966433776536,0.6418945225909658
common30__newton_p5_boxcar_independent_s-1,3,9,0.21032085080336416,0.7997926833033304
common30__newton_p5_boxcar_independent_s-1,3,10,0.4774344848287946,3.1496219762041395
common30__newton_p5_boxcar_independent_s-1,3,11,0.7773094351399062,1.5798884373749544
common30__newton_p5_boxcar_independent_s-1,3,12,0.42578522725200707,1.1282366735004494
common30__newton_p5_boxcar_independent_s-1,3,13,0.5308772797534826,2.5195405976981946
common30__newton_p5_boxcar_independent_s-1,3,14,0.30884623070320844,0.9247499259445013
common30__newton_p5_boxcar_independent_s-1,10,0,0.27217417014618484,0.21910139982837795
common30__newton_p5_boxcar_independent_s-1,10,1,0.11470013337748418,0.16721397506369629
common30__newton_p5_boxcar_independent_s-1,10,2,0.24790689213475736,0.9056294977929287
common30__newton_p5_boxcar_independent_s-1,10,3,0.22259189900683338,1.048211009922071
common30__newton_p5_boxcar_independent_s-1,10,4,0.10789987497014061,0.12867969768380383
common30__newton_p5_boxcar_independent_s-1,10,5,0.2492433945142792,0.46161750394518997
common30__newton_p5_boxcar_independent_s-1,10,6,0.028486786424296067,0.02977613933192269
common30__newton_p5_boxcar_independent_s-1,10,7,0.175967091372601,0.1991469461836468
common30__newton_p5_boxcar_independent_s-1,10,8,0.10868977986159199,0.10721916348515792
common30__newton_p5_boxcar_independent_s-1,10,9,0.10566937467376927,0.17525672997363229
common30__newton_p5_boxcar_independent_s-1,10,10,0.23100221656780018,0.9913585123767121
common30__newton_p5_boxcar_independent_s-1,10,11,0.49524640291881944,0.514381485598697
common30__newton_p5_boxcar_independent_s-1,10,12,0.21068454255953983,0.26092113131778116
common30__newton_p5_boxcar_independent_s-1,10,13,0.19579451614986396,0.444888469010285
common30__newton_p5_boxcar_independent_s-1,10,14,0.11618359205080891,0.176817767893225
common30__newton_p5_boxcar_hanning_full_s-1,3,0,0.28226155496108435,0.422209234376411
common30__newton_p5_boxcar_hanning_full_s-1,3,1,0.17131289871036653,0.4038525307524947
common30__newton_p5_boxcar_hanning_full_s-1,3,2,0.437168871929685,2.666846967851143
common30__newton_p5_boxcar_hanning_full_s-1,3,3,0.3650199861384111,2.7582255170716277
common30__newton_p5_boxcar_hanning_full_s-1,3,4,0.16063372541471438,0.26245531601250216
common30__newton_p5_boxcar_hanning_full_s-1,3,5,0.38283526211346225,1.0379859924024806
common30__newton_p5_boxcar_hanning_full_s-1,3,6,0.05289262490756548,0.0984418772947695
