atlas_id,display_name,ra_deg,dec_deg,surveys,prior_exposure,has_local_hi_cube,has_local_stellar_image,has_local_co_image,sparc_radial_rows,wallaby_profile_status,spatial_3d_baryon_reconstruction,validated_full_cube_gravity_prediction,hi_integrated_status,manga_source_quality_selection,manga_maps_local_status,manga_plateifu,manga_mangaid,manga_nsa_iauname,manga_nsa_absmag_g,manga_nsa_absmag_r,manga_nsa_absmag_i,manga_nsa_elpetro_mass,manga_nsa_sersic_mass,manga_nsa_sersic_th50,manga_nsa_sersic_ba,manga_DAPQUAL,manga_drp3qual,manga_SNR_MED_r,manga_hi_LOGMHI,manga_hi_LOGHILIM200KMS,manga_hi_SNR,manga_hi_FHI,manga_hi_EFHI,manga_hi_conflag,manga_hi_conf_prob,probes_photometry_catalog,probes_rotation_survey,probes_profile_local_status,hubble_type,distance_mpc,distance_error_mpc,distance_method,inclination_deg,inclination_error_deg,luminosity_1e9_lsun,reff_kpc,effective_sb_lsun_pc2,rdisk_kpc,central_sb_lsun_pc2,hi_mass_1e9_msun,hi_radius_kpc,quality,motion_references,wallaby_profile_radii,wallaby_prior_role,wallaby_release,wallaby_stellar_mass_map,wallaby_has_failed_release_record,position_source
MANGA:1-1009,1-1009,149.647481331,0.7427726376,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,unknown_or_unavailable,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11866-12705,1-1009,J095835.38+004434.0,-20.534718,-21.112265,-21.421818,27637369000.0,32886032000.0,3.280262,0.5804231,1,4096,20.64896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-10166,1-10166,199.2955574,0.913561334,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,unknown_or_unavailable,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,12514-9101,1-10166,J131710.92+005448.8,-21.76448,-22.376247,-22.652502,89476250000.0,115561325000.0,8.861301,0.5646629,0,4096,9.703882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-10177,1-10177,199.460009291,0.34998996525,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,12514-3704,1-10177,J131750.39+002059.9,-19.154339,-19.874075,-20.201487,12109810000.0,13708191000.0,2.614461,0.25510597,0,4096,29.51907,-999.0,10.012907,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-10263,1-10263,200.400259414,0.573031983277,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,12514-1902,1-10263,J132136.07+003422.8,-17.245127,-17.615297,-17.761469,648464640.0,822289340.0,3.4047902,0.9363255,1,4096,9.024163,-999.0,9.281822,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-1033,1-1033,149.707718089,0.836657711419,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_detection,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,10843-12704,1-1033,J095849.83+005012.2,-16.63833,-17.110893,-17.35398,647471360.0,707686850.0,13.371683,0.15,0,4096,4.634863,9.15,-999.0,10.1,1.8,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-1037,1-1037,149.657311739,0.870762819465,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,10843-12703,1-1037,J095837.75+005214.6,-18.5495,-19.05175,-19.240568,3082350000.0,2548499700.0,5.5501704,0.20248374,1,4096,9.210755,-999.0,9.763192,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-10375,1-10375,202.924176092,-0.466036685729,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,12510-1902,1-10375,J133141.80-002757.7,-18.028297,-18.507523,-18.666067,1660985300.0,1709212900.0,1.8164616,0.82318467,0,4096,17.093424,-999.0,9.283894,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-1038,1-1038,150.101545948,0.704575815478,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,published_upper_limit,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11866-6102,1-1038,J100024.36+004216.5,-20.280285,-20.981499,-21.326675,31517096000.0,36549333000.0,7.6819997,0.64500403,1,4096,16.489288,-999.0,9.630413,-999.0,-999.0,-999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-10425,1-10425,201.442019476,-0.914642891419,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,unknown_or_unavailable,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,11024-12701,1-10425,J132545.11-005452.3,-21.450808,-22.289402,-22.698063,119718220000.0,114320650000.0,8.768553,0.5113501,0,0,2.1545675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANGA:1-10550,1-10550,200.6611155,1.17568528896,MaNGA_local_master,previously_processed_population_catalog,False,False,False,0,not_in_local_wallaby_extract,not_demonstrated,False,unknown_or_unavailable,inherited_custom_10071_row_selection,not_audited_by_this_ingestion,12514-6104,1-10550,J132238.67+011032.3,-21.310461,-22.071259,-22.407755,93973260000.0,92143590000.0,1.4828296,0.8306042,0,4096,9.966124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
