family,seed,region,galaxies,radii,equal_galaxy_mean_log10_pred_over_obs,galaxies_mean_overpredicted
newton_fixed,9062301,inner,96,525,-0.15874494480683615,14
newton_fixed,9062301,middle,102,817,-0.2116251381664768,2
newton_fixed,9062301,outer,90,870,-0.29808885673710955,0
newton_fixed,9062302,inner,96,525,-0.15874494480683615,14
newton_fixed,9062302,middle,102,817,-0.2116251381664768,2
newton_fixed,9062302,outer,90,870,-0.29808885673710955,0
newton_fixed,9062303,inner,96,525,-0.15874494480683615,14
newton_fixed,9062303,middle,102,817,-0.2116251381664768,2
newton_fixed,9062303,outer,90,870,-0.29808885673710955,0
mond_fixed,9062301,inner,96,525,0.06421671352327807,67
mond_fixed,9062301,middle,102,817,0.025037620793085864,57
mond_fixed,9062301,outer,90,870,0.019688193113946536,55
mond_fixed,9062302,inner,96,525,0.06421671352327807,67
mond_fixed,9062302,middle,102,817,0.025037620793085864,57
mond_fixed,9062302,outer,90,870,0.019688193113946536,55
mond_fixed,9062303,inner,96,525,0.06421671352327807,67
mond_fixed,9062303,middle,102,817,0.025037620793085864,57
mond_fixed,9062303,outer,90,870,0.019688193113946536,55
newton_ml,9062301,inner,96,525,-0.12213697282798569,25
newton_ml,9062301,middle,102,817,-0.17992787252338846,3
newton_ml,9062301,outer,90,870,-0.27461034203990903,0
newton_ml,9062302,inner,96,525,-0.12213697282798569,25
newton_ml,9062302,middle,102,817,-0.17992787252338846,3
newton_ml,9062302,outer,90,870,-0.27461034203990903,0
newton_ml,9062303,inner,96,525,-0.12213697282798569,25
newton_ml,9062303,middle,102,817,-0.17992787252338846,3
newton_ml,9062303,outer,90,870,-0.27461034203990903,0
mond_adjusted,9062301,inner,96,525,0.04277789885588416,62
mond_adjusted,9062301,middle,102,817,-0.006248803732493505,43
mond_adjusted,9062301,outer,90,870,-0.02765305616421157,26
mond_adjusted,9062302,inner,96,525,0.04277789885588416,62
mond_adjusted,9062302,middle,102,817,-0.006248803732493505,43
mond_adjusted,9062302,outer,90,870,-0.02765305616421157,26
mond_adjusted,9062303,inner,96,525,0.04277789885588416,62
mond_adjusted,9062303,middle,102,817,-0.006248803732493505,43
mond_adjusted,9062303,outer,90,870,-0.02765305616421157,26
absorption_proxy,9062301,inner,96,525,-0.12213697282798569,25
absorption_proxy,9062301,middle,102,817,-0.17992787252338846,3
absorption_proxy,9062301,outer,90,870,-0.27461034203990903,0
absorption_proxy,9062302,inner,96,525,-0.12213697282798569,25
absorption_proxy,9062302,middle,102,817,-0.17992787252338846,3
absorption_proxy,9062302,outer,90,870,-0.27461034203990903,0
absorption_proxy,9062303,inner,96,525,-0.12213697282798569,25
absorption_proxy,9062303,middle,102,817,-0.17992787252338846,3
absorption_proxy,9062303,outer,90,870,-0.27461034203990903,0
surface_relay,9062301,inner,96,525,-0.02820502792335323,45
surface_relay,9062301,middle,102,817,-0.01543860966717544,46
surface_relay,9062301,outer,90,870,-0.0017603688210133734,43
surface_relay,9062302,inner,96,525,-0.02820502792335323,45
surface_relay,9062302,middle,102,817,-0.01543860966717544,46
surface_relay,9062302,outer,90,870,-0.0017603688210133734,43
surface_relay,9062303,inner,96,525,-0.02820502792335323,45
surface_relay,9062303,middle,102,817,-0.01543860966717544,46
surface_relay,9062303,outer,90,870,-0.0017603688210133734,43
clock_potential,9062301,inner,96,525,0.1677065433934549,84
clock_potential,9062301,middle,102,817,0.027252353580485854,58
clock_potential,9062301,outer,90,870,-0.06772174699408674,15
clock_potential,9062302,inner,96,525,0.1677065433934549,84
clock_potential,9062302,middle,102,817,0.027252353580485854,58
clock_potential,9062302,outer,90,870,-0.06772174699408674,15
clock_potential,9062303,inner,96,525,0.1677065433934549,84
clock_potential,9062303,middle,102,817,0.027252353580485854,58
clock_potential,9062303,outer,90,870,-0.06772174699408674,15
kernel_point,9062301,inner,96,525,0.0594470174083585,65
kernel_point,9062301,middle,102,817,-0.008666849347799195,47
kernel_point,9062301,outer,90,870,-0.03245195681862101,37
kernel_point,9062302,inner,96,525,0.0594470174083585,65
kernel_point,9062302,middle,102,817,-0.008666849347799195,47
kernel_point,9062302,outer,90,870,-0.03245195681862101,37
kernel_point,9062303,inner,96,525,0.0594470174083585,65
kernel_point,9062303,middle,102,817,-0.008666849347799195,47
kernel_point,9062303,outer,90,870,-0.03245195681862101,37
finite_p2,9062301,inner,96,525,0.07178080335576524,62
finite_p2,9062301,middle,102,817,-0.005523931779738647,47
finite_p2,9062301,outer,90,870,-0.054179668380184766,32
finite_p2,9062302,inner,96,525,0.08286781052187646,61
finite_p2,9062302,middle,102,817,0.0093612731360931,52
finite_p2,9062302,outer,90,870,-0.0277351674005089,40
finite_p2,9062303,inner,96,525,0.08960466117983397,63
finite_p2,9062303,middle,102,817,0.007762119239339016,49
finite_p2,9062303,outer,90,870,-0.04273725247973562,33
finite_p3,9062301,inner,96,525,0.050351162493162904,56
finite_p3,9062301,middle,102,817,0.03635678726351064,61
finite_p3,9062301,outer,90,870,-0.005369873524637537,45
finite_p3,9062302,inner,96,525,0.050351162493162904,56
finite_p3,9062302,middle,102,817,0.03635678726351064,61
finite_p3,9062302,outer,90,870,-0.005369873524637537,45
finite_p3,9062303,inner,96,525,0.050351162493162904,56
finite_p3,9062303,middle,102,817,0.03635678726351064,61
finite_p3,9062303,outer,90,870,-0.005369873524637537,45
finite_mixture,9062301,inner,96,525,0.050351162493162904,56
finite_mixture,9062301,middle,102,817,0.03635678726351064,61
finite_mixture,9062301,outer,90,870,-0.005369873524637537,45
finite_mixture,9062302,inner,96,525,0.050351162493162904,56
finite_mixture,9062302,middle,102,817,0.03635678726351064,61
finite_mixture,9062302,outer,90,870,-0.005369873524637537,45
finite_mixture,9062303,inner,96,525,0.050351162493162904,56
finite_mixture,9062303,middle,102,817,0.03635678726351064,61
finite_mixture,9062303,outer,90,870,-0.005369873524637537,45
