galaxy,role,path,sha256,bytes
DDO154,stellar_astrometry_image,work/private/stellar-co-12gal-001/DDO154__STELLAR_IRAC1_FLUX.fits,591fae1ffb4b035d3e96882fb5d6c895a279d481ec3de0919c180b102463d68f,4037760
DDO154,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/DDO154.csv,b4be736f356be00888032b383446ffdf4037245d69efeacf3b0e9b63c32b9e4f,6924
IC2574,stellar_astrometry_image,work/private/stellar-co-12gal-001/IC2574__STELLAR_IRAC1_FLUX.fits,2e7737755fcc26f39594b0fea8981ad619c3616c3ae9c5744a2d2c554ef845b8,20640960
IC2574,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/IC2574.csv,63f193cc3deade9abddaf283f87a54858c48895409d24d44463f1fc1162c0f8a,9764
NGC2841,stellar_astrometry_image,work/private/stellar-co-12gal-001/NGC2841__STELLAR_IRAC1_FLUX.fits,86137c3d5c8e8bd2ee0ba4a398e887462a9339b166531b510717d2bcbcde5e21,7764480
NGC2841,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC2841.csv,d21b0eca4d47c58e6bf72dbbebcfb92c498352dcc82e6c6a7a8446befc6c374e,10269
NGC2903,stellar_astrometry_image,work/private/gaia-stellar-alignment-001/NGC2903.P1.fits,e2be92c853e26ed7b67ef0115ed5328c200913eccd143bf05a2fc68fe3a564f5,18270720
NGC2903,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC2903.csv,2426f6067a80d2477c7a571d3676489e5f2e3f63e5bfc5ed9da225c5cbcecbc9,9096
NGC2976,stellar_astrometry_image,work/private/gaia-stellar-alignment-001/NGC2976.P1.fits,e46d58631eaf50ad4632564f55ed99a3e36271cc23f9b4b5c19e455fda823273,7876800
NGC2976,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC2976.csv,a65ba6cb7264d7531d03fec11042fb13cbdabef39dc74f162a909e5bf65f123b,13353
NGC3198,stellar_astrometry_image,work/private/gaia-stellar-alignment-001/NGC3198.P1.fits,1e785455d3891891d192df9d4b25a61bd56de3dfe4e4cd2890c1afd018c56ddd,8164800
NGC3198,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC3198.csv,fd9ee3b9f2b5993d5c5a96a5bc603a07841b482ea859997d5f6a66fd42032537,7848
NGC3521,stellar_astrometry_image,work/private/gaia-stellar-alignment-001/NGC3521.P1.fits,1400254dc67ee6e95f7ebe362a9541c6b60f3f7825e485e9da15f7a31d221e8d,10232640
NGC3521,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC3521.csv,28116f9c0aa84a3d854ae5a7505063cfb25e42292bae91e75246d242862b7866,8438
NGC4214,stellar_astrometry_image,work/private/gaia-stellar-alignment-001/NGC4214.P1.fits,92386672c46a7a86389e70a300e66c35ed503fc49f2541b4fc8e6defa10d4532,4775040
NGC4214,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC4214.csv,18f0ce49e185ed4e737c3467506b01a14e155df9a2d7d01a8768441244dd3107,5430
NGC5055,stellar_astrometry_image,work/private/stellar-co-12gal-001/NGC5055__STELLAR_IRAC1_FLUX.fits,865a781d30a9284c4b637ea06e8b626acee675b8d21bed6206817f1a3f298e69,22357440
NGC5055,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC5055.csv,a210f6c5126bd8a561df6cc2ced703b895d466937461f2ceda1e881a37078498,6875
NGC6946,stellar_astrometry_image,work/private/stellar-co-12gal-001/NGC6946__STELLAR_IRAC1_FLUX.fits,f72a95796f27e6b47a408ece3f4bab41ce4b8e33e7a8f6459867c61d781bdf7d,23135040
NGC6946,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC6946.csv,3a0e266bf1ffe9a023d46a57e332a216de10f368232bb970770cdf3f059a85c7,16814
NGC7331,stellar_astrometry_image,work/private/stellar-co-12gal-001/NGC7331__STELLAR_IRAC1_FLUX.fits,ec2900c44a8d90f75330a796e1ae83feaef0ea7d4345f7947940bc07738bb17a,10995840
NGC7331,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/NGC7331.csv,ed71965e6e941db064947bd0b0381ecc1ce22f11bff28fbe8f63df6709b55608,16799
UGC04305,stellar_astrometry_image,work/private/stellar-co-12gal-001/UGC04305__STELLAR_IRAC1_FLUX.fits,e067f983c6158eb92917efeddced30932e890b80d24e1ee803113f13016db56c,10762560
UGC04305,stellar_astrometry_catalog,work/private/gaia-stellar-alignment-001/UGC04305.csv,250d096590acb2acce38ca9ca5a65aef2e16b57fa88c6e4ac0d5bcf36c9432b9,16842
