radius_kpc,angle_deg,newton_inward,newton_tangential,mond_inward,mond_tangential,algebraic_inward
2.0,0.0,9896.511525036112,1297.931254885596,11798.495482136248,1484.490488560943,12746.910877820947
2.0,5.0,9410.61494585604,616.0055357635437,11245.343122218836,681.5485254792824,12249.26212291545
2.0,10.0,9154.961676737279,-167.18883652934255,10954.473650023943,-235.92068622109787,11983.342806772518
2.0,14.999999999999998,9178.106766279432,-1020.6879527241854,10982.983549773277,-1229.5500453496556,11994.18685665065
2.0,20.0,9540.44323186943,-1808.477369811591,11404.950723761045,-2123.951509787288,12350.684241438019
2.0,25.0,9940.536795671276,-2541.582475148493,11865.9527452548,-2953.149106317599,12739.719343007875
2.0,29.999999999999996,10320.818153896911,-3231.934499556739,12300.135990293631,-3731.0119290925622,13103.932304109807
2.0,35.0,10750.83554451599,-3396.2310764041717,12776.831518593292,-3898.575878868881,13551.872164000277
2.0,40.0,11119.254980388743,-3489.9824425369898,13188.158932039752,-3984.440669188253,13937.722297207578
2.0,45.0,11628.010495014543,-3552.2428499422012,13760.202655347057,-4022.5199738970405,14473.12858540028
2.0,50.0,11999.107977048408,-3413.956299315943,14170.59800965442,-3831.6487532623896,14872.49472010532
2.0,54.99999999999999,12096.031242225396,-2847.4285909156247,14262.606512021364,-3166.5040781441467,15002.129789244265
2.0,59.99999999999999,12135.525143757992,-2258.7605902126306,14289.881096701933,-2480.2006866395323,15067.46344738775
2.0,65.0,12153.895843800134,-1732.3495397112392,14294.337006535688,-1862.2320807923275,15103.719324733527
2.0,70.0,12096.208768433125,-1205.7330252290549,14213.809092588983,-1249.2210414047354,15056.361635860992
2.0,74.99999999999999,11992.539979038042,-696.8882385476627,14081.745147059384,-660.4476020442339,14956.549124345625
2.0,80.0,11760.409823983846,-465.3965896663053,13800.91888363612,-403.6417266140563,14717.022867814223
2.0,85.0,11607.415915345502,-301.58833170500213,13609.0783722342,-230.40730371953634,14558.627574123702
2.0,90.0,11584.389787030828,-154.75377030376765,13563.732800293365,-80.45465626318847,14535.222113307327
2.0,95.0,11548.016294420016,69.80595548799647,13522.03032640808,158.91796166749202,14497.455565697644
2.0,100.0,11637.588074841282,274.5288424281857,13621.004473919413,376.66969763715906,14590.235921379839
2.0,105.00000000000001,11790.949535781734,465.7051235991812,13789.914480970423,581.0112346092178,14748.852110190184
2.0,109.99999999999999,11612.43875542119,719.8232509210102,13579.240897664087,862.9598355823523,14559.99008342828
2.0,115.0,11548.856829577351,839.5648873238797,13498.80201145943,990.5224842784119,14491.924019546497
2.0,119.99999999999999,11628.558058427556,826.3686764924023,13582.041722579277,965.3412098468098,14575.323729263364
2.0,125.00000000000001,11643.513189403102,951.4061941131258,13598.20061235015,1081.42417571208,14588.933464924503
2.0,130.0,11746.114732637412,1097.7074323443867,13717.639519410914,1224.2707857913465,14693.362402986806
2.0,135.0,11842.604547899216,1143.0131114626201,13831.8276248538,1268.0428628209538,14793.16455061957
