radius_kpc,angle_deg,newton_inward,newton_tangential,mond_inward,mond_tangential,algebraic_inward
2.0,0.0,6950.748248375079,333.8783450675546,8751.268120296234,395.0379011377663,9622.398261351154
2.0,5.0,6602.268074532792,23.257929835238087,8333.999863493998,3.361859313724267,9246.241180714165
2.0,10.0,6407.8140180152,-364.40465705595716,8100.597932836425,-479.40712105374905,9030.885938133095
2.0,14.999999999999998,6414.162616782886,-803.0298626011504,8109.880243142124,-1018.7533045919367,9025.314888870038
2.0,20.0,6662.772336837003,-1161.1809390485537,8422.583622710064,-1439.4343803244487,9281.41061493854
2.0,25.0,6921.619815934153,-1492.228418191531,8741.264523063328,-1824.1436083738622,9546.123854213745
2.0,29.999999999999996,7152.520002596477,-1808.1981099704594,9019.525775492499,-2188.3518698558623,9778.379035866428
2.0,35.0,7469.264232413491,-1875.1817463714647,9388.053229435693,-2252.439040532268,10119.953491653947
2.0,40.0,7721.032605196362,-1903.212447196206,9683.653981556825,-2268.899312684167,10392.150275355278
2.0,45.0,8003.845604855562,-1994.5013827753464,10017.451870050532,-2351.6190796411997,10693.163669951755
2.0,50.0,8208.254859413319,-1989.8421759687544,10250.825759736945,-2319.597034462934,10914.556867426309
2.0,54.99999999999999,8273.897195111791,-1690.2341629676498,10309.86451969612,-1946.2275632940982,11002.158309358341
2.0,59.99999999999999,8310.239539550828,-1355.44577763075,10335.142467127556,-1534.7400898948122,11056.928501903742
2.0,65.0,8277.68821613745,-1032.963171973763,10281.326659280563,-1134.8081828952622,11034.122487264063
2.0,70.0,8203.526981000592,-708.2038345896169,10178.916390316994,-736.7868736606483,10963.83512778367
2.0,74.99999999999999,8105.976284181628,-393.7797200677405,10049.106859043713,-354.81521965242564,10865.203222317217
2.0,80.0,7927.09686693365,-224.33809676151213,9820.761503214986,-157.63109069419852,10675.517379299745
2.0,85.0,7801.638084704255,-103.47070750646026,9654.891246977197,-23.99606749130976,10541.74191010974
2.0,90.0,7761.959153509022,0.6499904837469125,9590.001529580535,85.98802618472051,10499.369591896711
2.0,95.0,7763.644588787981,133.86696519572,9592.578215292457,229.8100041955389,10500.8552037398
2.0,100.0,7847.3881239906605,261.98262164531707,9691.092343760969,368.60650587131113,10589.772921124071
2.0,105.00000000000001,7968.751698199643,388.93815839157855,9832.362722991764,508.2750462968427,10718.391441884787
2.0,109.99999999999999,7869.6756080577625,550.8254249756135,9708.657753821859,696.6604376695404,10609.548903397124
2.0,115.0,7850.83472590204,625.615250269514,9679.662050476732,779.5314992402537,10587.790260774073
2.0,119.99999999999999,7932.767354368858,614.3957723619942,9770.917002173273,757.9318325250324,10675.93278299847
2.0,125.00000000000001,7948.0249067083405,677.526101474336,9786.935429809088,809.66598202663,10690.892396612868
2.0,130.0,8030.324582651814,754.1983828287171,9886.072118194546,879.2485519313523,10777.26544732443
2.0,135.0,8102.458979032621,758.6395513400735,9975.710119071178,876.5481708625448,10854.442030980466
