radius_kpc,angle_deg,newton_inward,newton_tangential,mond_inward,mond_tangential,algebraic_inward
2.0,0.0,8087.893711616402,2695.035666649055,9727.100249288924,3252.646903744695,10734.657824346801
2.0,5.0,7703.2136303200805,89.04523463469002,9237.947910115876,179.29011561123946,10436.17437039974
2.0,10.0,7412.271980077272,-4207.509600587903,8837.583161984476,-5093.944403989357,9838.371729060462
2.0,14.999999999999998,6861.209573690086,-4050.113114119025,8253.206755415487,-4834.8261072257155,9231.248954134913
2.0,20.0,5949.581368941934,-2263.5642290669643,7237.527595486432,-2638.2644691709656,8400.627604966874
2.0,25.0,5597.7278182594455,-1421.3243581528166,6827.505318641374,-1665.7666171129986,8083.132015263743
2.0,29.999999999999996,6564.6494332150605,-1088.873941322191,8034.206399823719,-1275.440544235551,9177.550482121494
2.0,35.0,8476.280786325136,-1026.8485915055217,10314.899863607898,-1132.92824434263,11246.714693984923
2.0,40.0,9627.10906091069,-2914.748185874175,11601.227511584804,-3359.7679575050925,12382.454038096326
2.0,45.0,10204.780788205782,-3643.7971899072245,12223.349960658195,-4152.805944517018,12952.248228264341
2.0,50.0,9887.20132352956,-2733.8558209075245,11831.180211767853,-3042.2602261872307,12671.833420313751
2.0,54.99999999999999,9541.760306889055,-3202.668923980557,11430.826599937021,-3634.462706688369,12271.295903050679
2.0,59.99999999999999,9501.578367760912,-3305.5833698305287,11388.73391906914,-3763.498732467964,12220.667118737701
2.0,65.0,9175.262838033626,-2140.009471846145,11014.104124217329,-2399.6432781114463,11945.11913596496
2.0,70.0,8513.058186303171,-720.3139379335103,10256.6925222272,-702.5099953139666,11294.14704358725
2.0,74.99999999999999,7576.2308980751895,392.10079792361876,9141.760978852899,623.8594948061891,10297.008651058124
2.0,80.0,7484.094300969563,201.7572023008056,9069.090723678815,339.54199941411025,10199.992254713714
2.0,85.0,7284.248062185191,247.94549784620358,8830.594731881449,399.9165882621297,9984.17928260642
2.0,90.0,6871.459114498459,179.56287540905717,8284.758067816438,301.189672968117,9538.129374130698
2.0,95.0,7601.736356846908,-84.3958703732992,9160.038259709147,-65.68102821578566,10327.174430063067
2.0,100.0,8224.492685067427,-214.3910941429824,9883.128292563197,-260.58672873175783,10993.669719003447
2.0,105.00000000000001,8347.236297296085,481.23578290416845,10006.01425146903,599.9896672543491,11121.719049900164
2.0,109.99999999999999,8229.072783582815,793.5562179315398,9847.576530896027,980.6197763107443,10989.085794628405
2.0,115.0,8829.233696653231,550.769591890903,10520.096024102002,632.6934516184638,11633.92568752125
2.0,119.99999999999999,9325.882201314991,869.6358202756583,11074.024233235548,1009.4463586404763,12154.660123674808
2.0,125.00000000000001,9737.745698852616,1006.9010177232176,11513.954377795108,1167.845659611031,12587.146440474642
2.0,130.0,10401.035163430233,777.7368140099697,12272.14525004159,838.1192606794857,13290.712437089034
2.0,135.0,11102.581613846553,1348.6348673262264,13099.282719886507,1506.8109906064192,14014.601856697755
2.0,140.0,11293.939849609385,2327.2581161952203,13314.958807137531,2693.099341533599,14182.019206927942
2.0,145.0,11375.786866717484,1705.2728341596148,13402.348735746205,1936.8193581414453,14290.747899155778
2.0,149.99999999999997,11463.364911390658,714.6449908829454,13511.09897504626,737.2465931153165,14404.435019759743
2.0,155.0,11137.625475785551,1123.2975253248055,13133.452177354873,1232.271741305667,14056.689919775876
2.0,160.0,11004.308805300441,1684.3467759146415,12981.486577417703,1922.7712126581705,13901.649424273744
2.0,165.00000000000003,10451.708073191472,1269.5356946639827,12342.958082190331,1408.6225804386127,13333.128177321894
2.0,170.0,9864.15894894779,1263.1248382185852,11667.93467214757,1346.306959115832,12713.770879833051
2.0,175.0,9782.394174662151,3557.05342039213,11598.184112932127,4086.7640539538534,12504.708956831462
2.0,180.0,9607.230043099204,5412.075524577055,11424.818252238649,6327.2592701790545,12156.771144981602
2.0,185.0,8129.524842795238,5038.53423713366,9736.89962508471,6063.614618404684,10553.880616745177
2.0,190.0,6570.663342198454,2231.0745928859815,7883.85865135918,2812.35263852388,9101.814981021798
2.0,194.99999999999997,6122.915614082545,-1085.183807048134,7306.595533359597,-1381.6522979844588,8691.433744669308
2.0,200.0,7011.266130267793,-2587.63870439984,8476.95467085794,-3174.8258056055056,9559.148663517257
2.0,204.99999999999997,6738.857441895467,-3857.2005947786665,8139.864960778217,-4680.892884075693,9114.790891524885
2.0,210.00000000000003,6599.564943800024,-4621.796324003817,7976.841608565439,-5598.379118853089,8859.018424302603
2.0,214.99999999999997,7313.0610210954965,-3861.5191141662526,8842.483306359132,-4611.753757539449,9765.203171722349
2.0,219.99999999999997,8640.138610260296,-1866.2052724123487,10430.072374713589,-2129.7646911401316,11386.516572581675
2.0,225.0,9696.593523882953,-1028.6489324189406,11665.849256769645,-1111.0298417389222,12543.120596446603
2.0,230.0,10346.435178517702,-2198.6773687147265,12401.200711476049,-2520.794253505771,13187.972569459738
2.0,235.00000000000003,10461.009178946228,-2440.0620697824374,12505.55432370552,-2798.5543392239715,13297.768396055379
2.0,239.99999999999997,10185.534008873477,-2270.626838105525,12158.233911330677,-2599.388402415312,13014.117705949579
2.0,244.99999999999997,9967.437705874645,-1692.7763613969023,11877.852534706815,-1926.4598437259947,12808.295774004337
2.0,250.00000000000003,9703.822754162902,-240.6342804542369,11545.033283714552,-201.7050296481666,12563.036025535957
2.0,255.00000000000003,10120.68082783191,397.3383840562901,12013.002298333971,528.6413336998226,13000.94410116324
2.0,260.0,10541.37484715449,527.1133706509077,12514.004301544519,652.6813159221897,13441.622431554402
2.0,265.0,10659.646783216338,41.91276785196635,12666.881340762493,60.73683840590138,13568.597087330836
2.0,270.0,10315.208710767794,265.3225856437038,12256.73725683341,353.61358506249735,13206.42687556578
2.0,275.0,10022.900533786738,576.9659590897631,11898.618715742336,728.680189837351,12896.006243527194
2.0,280.0,9885.741256119725,420.28291494087125,11726.70895385138,501.7981268245296,12753.375491688748
2.0,285.0,9866.330756623925,758.1679426866076,11698.281642959691,891.2679435978198,12728.158043977694
2.0,290.0,9904.780184967081,1033.928380119126,11736.535781540459,1214.3528442549245,12762.864870336294
2.0,294.99999999999994,10175.22087897791,772.5934046962111,12028.507639853866,871.8210025918506,13053.323273833466
2.0,299.99999999999994,10256.069474797969,537.707006936103,12112.663095502074,569.7052734045064,13141.833025737735
2.0,305.0,10248.58195334121,298.56674204005867,12098.531874733708,269.4405085151984,13136.210111627923
2.0,310.0,10403.223825384648,283.208413475817,12283.46151782108,223.80056259442063,13298.753003464337
2.0,315.0,10656.06701159524,955.8234225909955,12596.818770689879,1012.0238593085915,13555.280101839893
2.0,320.0,10474.617807954939,1564.2719981043329,12400.113268161826,1749.7832036068721,13348.38509497693
2.0,325.0,10089.19440293841,1696.287063802838,11953.684124959955,1902.0677539696371,12936.953418950567
2.0,330.00000000000006,10037.969335381653,2196.5594562249817,11904.244784797504,2476.6337432144264,12861.163276315296
2.0,335.0,9783.896463076597,2619.8484457668824,11630.817565609235,2991.781360170701,12568.289458036765
2.0,340.0,9126.32007847496,2197.1484629813813,10885.0917741593,2498.1812382505505,11889.603947542138
2.0,345.0,8671.947791589262,1973.6841956078047,10375.211876214984,2230.1045546551436,11414.857741130736
2.0,350.0,8334.989034263748,2220.5577360649663,9988.928398134321,2544.9481680775484,11037.043584919937
2.0,355.0,8107.674998945616,2850.147407121417,9714.926439017754,3338.480827382251,10743.812423802157
2.5,0.0,7330.508746248903,2626.4500104737526,9210.670032144466,3086.060970290855,9909.208625756088
2.5,5.0,6994.250239464927,1357.9846534809894,8879.879892699068,1596.2952017339935,9633.371557776987
2.5,10.0,6905.549036515626,-249.87989655073716,8844.402602000133,-345.6699490905153,9574.447925150933
2.5,14.999999999999998,6209.363254439984,-1593.6006563983951,8023.970113817286,-1959.1984173895978,8753.52386071955
2.5,20.0,7150.533442925438,-4106.892623469254,9067.651970524896,-4939.946819929795,9553.741120824172
2.5,25.0,9277.720404774534,-4061.803750261012,11449.499405183336,-4703.450415300646,11918.20741474031
2.5,29.999999999999996,10397.767700778626,-4160.703743739373,12671.734549839199,-4760.182257045403,13121.87396831402
2.5,35.0,10508.703896066072,-3661.1795290293567,12748.845138276536,-4156.945666924639,13276.43161939945
2.5,40.0,10489.406041373415,-2991.6448571779856,12735.06350410491,-3386.671682373669,13298.137424417711
2.5,45.0,10359.847747401016,-2439.622014157096,12588.6828265224,-2741.0453633556,13190.59438277484
2.5,50.0,10240.88002783764,-2642.1579944193068,12452.059059588364,-3006.1348330645396,13053.699639789773
2.5,54.99999999999999,10217.648689652275,-2095.7950177575035,12436.019894845038,-2353.595326726346,13056.308989479709
2.5,59.99999999999999,9627.482028206112,-952.6992005664592,11723.651207644405,-977.6747907592071,12471.913010065417
2.5,65.0,8476.02426082335,359.25664712222715,10344.731014468718,578.165325509739,11260.670233117744
2.5,70.0,7924.622204380565,228.04729184093412,9711.525079111372,386.4837281622936,10672.83729577303
2.5,74.99999999999999,7936.209385628997,-423.9643802193525,9749.62554233576,-459.0031071661108,10683.036730719656
2.5,80.0,7985.1210379834465,266.35452566516346,9813.48804668346,403.6451251269584,10737.300316966484
2.5,85.0,7881.004774023437,878.688731797651,9667.554739657879,1153.7846770633998,10613.563161994967
2.5,90.0,8360.213366889831,213.08886081309123,10276.422709321836,307.36468643185736,11138.522364099954
2.5,95.0,8183.314865167037,-363.23723689874373,10052.091394971081,-380.64643951186986,10948.270257871189
2.5,100.0,7567.603991059021,-70.1584376660644,9281.793537350084,-22.594932041899256,10290.519799709627
2.5,105.00000000000001,7124.1078374424005,234.25856541411645,8746.699049582732,322.1011628452709,9811.311321137808
2.5,109.99999999999999,6990.107398122745,389.99067585808643,8617.691277002248,489.1572359909828,9664.192371727935
2.5,115.0,7013.001311797906,645.3840872072801,8661.9653392696,796.7066118100561,9683.402273202602
2.5,119.99999999999999,6707.992309957778,610.6768845286215,8285.235688340677,762.8739118162171,9352.782674150898
2.5,125.00000000000001,6674.131769578098,809.9541358754418,8248.450120072386,1026.8189369973566,9309.425154240522
2.5,130.0,6543.512371613226,-432.14823958700663,8062.378517455717,-567.2326651809062,9177.780640511306
2.5,135.0,6819.76491119675,-390.46404153047115,8359.583594098047,-557.3105433287083,9479.340814570842
2.5,140.0,7620.4010456421,499.6719717481251,9342.8918005346,534.6213364749974,10342.740986537143
2.5,145.0,8178.317737048027,814.2705073785696,10017.553575412667,897.8920457706517,10934.230890738938
2.5,149.99999999999997,8375.810219340692,1086.2325094552925,10232.628468725496,1225.7216889105457,11137.368800748587
2.5,155.0,8302.017201019358,1486.9790264251278,10118.459280467048,1698.226621946079,11042.318638782252
2.5,160.0,8194.243354715567,1837.1097807496435,9994.557959044945,2108.2741554056197,10908.377751443168
2.5,165.00000000000003,7833.802848558124,2120.6816805873805,9583.556990520341,2469.4911953566193,10500.321487502973
2.5,170.0,7488.5598343009615,1441.9947842298482,9124.085224853548,1554.3960173477512,10166.752785376179
2.5,175.0,8010.757400486049,2743.725716216069,9784.563056366285,3082.597084491402,10646.542401634606
2.5,180.0,7920.233573235718,5050.3596917618115,9682.229511421843,5907.263174465507,10317.023054310992
2.5,185.0,7762.245138946286,6207.798427151367,9486.390578150225,7308.682323037196,10005.644841445435
2.5,190.0,7272.921956715821,4807.667847715712,8966.410422022178,5780.768923069751,9610.521004384336
2.5,194.99999999999997,6137.555411419646,-810.296802951345,7647.648371875262,-1071.9404023455527,8721.043644215963
2.5,200.0,6724.867357449686,-4714.210898912468,8360.81319070077,-5826.223353047861,8992.344709252873
2.5,204.99999999999997,8721.168396489975,-4516.036926549725,10711.138998458926,-5393.917355150732,11266.447637248322
2.5,210.00000000000003,10001.427290004398,-5804.21943864117,12143.562708473939,-6852.678235996193,12553.029958683373
2.5,214.99999999999997,11002.22558166225,-5619.788741530352,13236.571638776239,-6588.520265390649,13658.477314545997
2.5,219.99999999999997,11413.571518152032,-3271.4418353669034,13723.887107873637,-3795.0430461216583,14262.12475826255
2.5,225.0,11622.565093915746,-2123.8987716115253,14000.962361078517,-2434.4301318023545,14535.165506749872
2.5,230.0,11343.081771560011,-1152.8398158322098,13708.395615664704,-1266.9198137783305,14271.100725255688
2.5,235.00000000000003,10390.135230786544,-841.6905384624779,12605.988780506617,-919.1434336364609,13278.126295404918
2.5,239.99999999999997,9699.258091452359,-749.6161121202908,11807.806977434473,-825.7784474495784,12552.009138553618
2.5,244.99999999999997,8891.23080099508,101.32478953156851,10848.013915680383,208.10387562637698,11703.984676152677
2.5,250.00000000000003,8635.043703007865,284.03598061509774,10551.020897973487,404.93070503720446,11430.725374563675
2.5,255.00000000000003,8765.433898285357,1.4129690883969488,10718.517075447297,45.00367976186999,11570.55187219096
2.5,260.0,8657.73178821031,0.04446016157839949,10601.106921563534,20.817652797333267,11456.07029634163
2.5,265.0,8586.687961904061,22.21761829597949,10526.704435906997,45.682601432853176,11380.487041421005
2.5,270.0,8678.863417074957,478.54069410572833,10600.101749899593,590.0723033169614,11475.126239098483
2.5,275.0,9548.670883582823,536.1142321463253,11658.252699453793,662.5443133766089,12396.384111447054
