radius_kpc,angle_deg,newton_inward,newton_tangential,mond_inward,mond_tangential,algebraic_inward
2.0,0.0,8156.189926404157,2576.697224863339,9800.905533053185,3069.3974193046306,10818.183196936989
2.0,5.0,7777.850056103022,-589.5569458982471,9350.314377322211,-707.1108069692779,10510.199973661101
2.0,10.0,7074.701362453059,-2733.1320956665304,8511.746529523258,-3266.595168199252,9615.921753944935
2.0,14.999999999999998,6488.388386446753,-4009.417666365446,7827.2722234507,-4779.512852200563,8808.617877931354
2.0,20.0,6059.47934344671,-2386.68094710475,7361.676041787668,-2796.529597732345,8512.02578360368
2.0,25.0,6348.925949471051,-1832.102712561058,7725.533312220607,-2121.508619957018,8889.746133285793
2.0,29.999999999999996,6371.413080028176,-1224.2026227545139,7753.133031399053,-1394.1905447689433,8957.802518799132
2.0,35.0,8235.239193454598,-1715.1922913945496,9947.721188177107,-1935.1954747150771,10959.23711403178
2.0,40.0,9385.20782497118,-2761.3215094392694,11289.452513315697,-3151.860527881414,12132.977285624533
2.0,45.0,9753.41081640737,-3126.3118477771595,11697.527332513906,-3549.9690769312942,12503.877949297608
2.0,50.0,9925.877178334373,-2778.5013854083745,11876.927648873547,-3114.1202579864034,12710.448400320513
2.0,54.99999999999999,9713.513837374587,-3118.8431131189564,11627.628579069582,-3521.402448656794,12461.588060635006
2.0,59.99999999999999,9393.974837937692,-3344.0452954781026,11250.690666977758,-3797.7194065387316,12101.813101453628
2.0,65.0,9209.356748323815,-2243.3555930206608,11041.238451684912,-2504.0353835893134,11975.88993214475
2.0,70.0,8731.964355410932,-934.2224066286624,10472.805068982327,-957.106423051579,11522.179173941242
2.0,74.99999999999999,8089.304330158816,236.2999658580502,9719.34553101632,422.5019605447178,10849.034702468687
2.0,80.0,7851.7396621364005,289.67019311021136,9458.54380652864,459.63628138430863,10594.168956446752
2.0,85.0,7461.649020597625,160.39726493081048,8995.65713441769,286.72163197183795,10176.114413228246
2.0,90.0,6797.296810228116,64.67080261833284,8169.982878155177,154.01568963767153,9458.25165651416
2.0,95.0,7751.447504072973,-193.23906001586954,9313.895607770872,-197.15914776225065,10487.416519615446
2.0,100.0,8299.606104817356,91.22895182127604,9950.85482237064,126.27281481448063,11074.461828871381
2.0,105.00000000000001,8636.906219567283,516.730469998116,10318.712176569337,632.1922858353028,11429.908910736289
2.0,109.99999999999999,8892.654414696575,779.6695346666484,10597.647805049193,937.0379206844264,11696.97058027396
2.0,115.0,8996.686214129466,848.9384426596935,10697.544296267828,997.9612058442885,11805.928958982262
2.0,119.99999999999999,9236.011254908044,950.880025035302,10965.983296285498,1101.9391517304193,12057.453287777964
2.0,125.00000000000001,9783.776622234082,927.7581671759926,11587.72234099778,1064.051387129617,12637.61480097692
2.0,130.0,10385.36542697715,893.1124304741616,12270.898925879068,989.5994342267859,13272.138584762306
2.0,135.0,10694.367062048066,1437.8342160472966,12630.970962968571,1619.904329165056,13583.596108932861
2.0,140.0,11207.48798254189,2226.98337414653,13224.86999877461,2558.11773596251,14095.233758753162
2.0,145.0,11113.95734915189,1545.333958023667,13115.262331800863,1748.6029224269869,14021.0665654984
2.0,149.99999999999997,11396.61238872912,702.8889488903151,13435.032959158147,737.3058379710192,14334.867275183808
2.0,155.0,11050.28380612856,1211.8652754184445,13043.582401508123,1349.8297218536954,13963.17890366124
