radius_kpc,angle_deg,newton_inward,newton_tangential,mond_inward,mond_tangential,algebraic_inward
2.0,0.0,9077.560384756478,2556.128356483183,11029.735807106801,3212.86729354781,11815.784462291498
2.0,5.0,8385.192406632064,-1366.9601886302576,10091.61690226041,-1543.3641476066377,11136.812201506811
2.0,10.0,7329.994490188288,-4022.8105475311568,8759.527213827267,-4924.265370404065,9766.308814438547
2.0,14.999999999999998,6155.009119399211,-4709.232455112233,7485.36756737588,-5797.65626949814,8328.374084246288
2.0,20.0,5765.351692483609,-3212.5920450624535,7151.347023330612,-3891.0256976727514,8074.797133246849
2.0,25.0,5291.7999033867745,-2307.1511614604888,6602.730084841918,-2809.186915464353,7642.142984910168
2.0,29.999999999999996,5839.496969611266,-1993.764813809734,7332.492028582552,-2429.693985840327,8303.768180023128
2.0,35.0,7811.0701918122895,-1051.6121696107043,9763.504496709227,-1130.7974241014608,10532.565074659788
2.0,40.0,9060.487467023719,-3653.158460088432,11150.209532147093,-4285.811273586275,11716.231978555777
2.0,45.0,9583.391086359105,-5537.337153508064,11685.427550836861,-6454.168837121857,12118.74378898526
2.0,50.0,8922.819874213606,-4254.2418316590465,10902.299696349552,-4902.160808138057,11513.176805778643
2.0,54.99999999999999,8350.386996232683,-4875.839083214827,10260.640806843983,-5696.464909771465,10818.50310105634
2.0,59.99999999999999,8465.874928778325,-5102.7091996865365,10393.893785893626,-5932.356067162192,10923.645398371646
2.0,65.0,8026.25225911258,-3096.1199276055618,9879.832995298966,-3566.3136552485225,10633.805654555801
2.0,70.0,7260.182641166948,-1119.9998781246863,8987.970552859546,-1162.86804296955,9934.564223546933
2.0,74.99999999999999,6308.023297356089,170.2831211958587,7809.88474115982,419.3581827924247,8924.342226814755
2.0,80.0,5777.742798330255,283.01661253037844,7196.252676251496,492.5952305069168,8339.913429794564
2.0,85.0,5349.110284598075,4.978106233575204,6668.861357159231,123.90942084046742,7866.8563908087035
2.0,90.0,4912.018856261653,286.0389145758815,6027.826816153742,457.6719412919771,7374.292651512204
2.0,95.0,5722.329664208546,389.19516306144806,7079.899075600193,501.7969585007411,8276.52660761327
2.0,100.0,6483.3330145549935,-47.01756025396162,8038.132950193396,-115.97104749307891,9116.557220353143
2.0,105.00000000000001,6727.152151023266,828.1635082589845,8323.184977028086,1044.5434815825051,9366.608062971085
