radius_kpc,angle_deg,newton_inward,newton_tangential,mond_inward,mond_tangential,algebraic_inward
2.0,0.0,9422.314011067036,2373.2575217119884,11440.00064586068,3020.22561809147,12196.300869105746
2.0,5.0,8537.000039675313,-2247.51778765934,10152.39976840137,-2590.3514151712848,11253.439276658633
2.0,10.0,7403.854506450069,-3616.076907067344,8810.262056485035,-4444.973240131756,9893.716819215198
2.0,14.999999999999998,6219.447054835398,-4340.975729878481,7599.785913488043,-5380.923120296689,8453.397366072635
2.0,20.0,5769.75728209091,-3313.2758768604726,7164.129401783348,-4005.119290939413,8066.52038387378
2.0,25.0,5078.134260616875,-2422.78317195085,6295.817256686543,-2950.2964429214376,7378.249917591302
2.0,29.999999999999996,5689.464182332103,-2187.965517351401,7131.393622806603,-2744.062457485496,8113.095145015873
2.0,35.0,8120.41664955437,-159.79315184897814,10155.057223273168,-15.251408874132721,10882.807308626698
2.0,40.0,9814.98241696247,-3389.1495209965547,12050.302127348881,-3973.2706801012973,12551.84597239163
2.0,45.0,9991.311397290989,-6605.075849068642,12111.0949550447,-7688.204269783564,12466.826345146314
2.0,50.0,8479.910651300612,-3956.71784094722,10387.722471582854,-4514.131452583598,11054.03475043636
2.0,54.99999999999999,7674.778587554685,-4781.396002870806,9483.980654856694,-5630.974093156382,10070.032835372811
2.0,59.99999999999999,8248.953770347958,-5336.440246745707,10155.951348940504,-6221.434378444698,10655.710017570587
2.0,65.0,7938.165880480614,-3203.986431040482,9791.973420697363,-3702.798940402022,10527.337485222835
2.0,70.0,7350.943284883323,-1105.2791763951054,9114.30633059703,-1141.1530381169039,10033.592360740968
2.0,74.99999999999999,6215.006299066246,286.0980403390272,7691.59931060609,588.8428955101283,8821.104297268912
2.0,80.0,5540.2195517494065,407.99188381065017,6901.414834988919,651.3350348452971,8074.118158106529
2.0,85.0,5070.886285863304,-134.8236863348174,6346.333997949824,-59.90680694747272,7555.242235809651
2.0,90.0,4496.618649647688,542.503570040222,5485.485185569676,811.526474134647,6894.292865959274
2.0,95.0,5271.390661429399,716.3516928315389,6521.766503618224,907.9921344772961,7762.886751269905
2.0,100.0,6333.800474149025,-658.9048713389784,7878.494111143878,-944.8223404136052,8942.387326091377
2.0,105.00000000000001,6742.713608178782,1022.6108252986106,8372.850956367003,1314.5947791343388,9375.586906297622
2.0,109.99999999999999,6386.009101189245,1664.7633500181287,7862.922253512634,2162.310677462574,8944.244044923278
2.0,115.0,7173.099304371635,634.848846114488,8774.299800934827,718.2163038915401,9857.161035590421
2.0,119.99999999999999,8521.929256503676,1407.194041403805,10326.454143269733,1675.132065554852,11281.600766142488
2.0,125.00000000000001,9292.262456867968,1809.5711190315174,11146.374102539252,2157.7100174864436,12086.53505136298
2.0,130.0,10191.612712345064,1435.3404283568743,12184.190450068876,1599.7445737833577,13054.204465721292
2.0,135.0,11091.850584046788,2333.3364987084415,13274.039320012896,2668.312813006509,13969.028113107699
2.0,140.0,11344.21781394765,4581.193258174255,13548.31417747202,5393.806490648369,14105.509347879632
2.0,145.0,11940.469585513532,3437.449791199697,14191.145635942972,3982.060065461871,14809.434931977963
2.0,149.99999999999997,12363.37980524415,995.0419219622745,14693.348630901684,997.4815202923128,15338.382711583085
2.0,155.0,11749.77531650656,1706.8395233129086,13966.286848349464,1901.763871318496,14682.249304217277
2.0,160.0,11614.192076651107,2322.258690013074,13804.501395201554,2701.2802450482095,14518.744567883563
2.0,165.00000000000003,11006.91698837958,967.0072160396867,13100.407713201072,1048.4071874082565,13922.973236828044
2.0,170.0,10246.704733400988,441.21634429353776,12241.604011584039,310.1941759433648,13133.049420098761
2.0,175.0,10319.497925655738,4331.6567683582525,12382.644365272132,5043.631758459815,13024.61465222005
2.0,180.0,9950.100526281285,8181.594422903435,11944.763623629873,9638.555647069354,12269.521812527579
2.0,185.0,7824.491876094837,8568.243138537537,9553.637000883678,10458.348956026262,9815.026140823187
2.0,190.0,5359.560902296687,2854.7323915959228,6637.608230340712,4004.338446645799,7649.381541205173
2.0,194.99999999999997,5309.936623812499,-2577.423232887185,6477.496615650105,-3489.089151471361,7628.591660452269
2.0,200.0,7060.574681638435,-4054.0950925620214,8728.880821174287,-4983.625779820191,9457.788607760096
2.0,204.99999999999997,5886.828339829401,-5072.998483226063,7238.977757054869,-6310.934893842095,7960.9980265923905
2.0,210.00000000000003,5177.683329755402,-6423.174172891875,6485.790303106577,-7899.737984711702,6917.136270013647
2.0,214.99999999999997,6045.712515649663,-5405.038901290226,7543.465693377817,-6536.78428037251,8104.845292364933
2.0,219.99999999999997,7700.516088704777,-3504.0229694629957,9562.07557591633,-4079.770939263688,10235.982353551
2.0,225.0,9253.42636554308,-590.0516917009563,11433.547432275467,-417.20987435843927,12083.30326109675
2.0,230.0,9751.262557526043,-2949.0160681212055,11977.922330567462,-3402.8600552077824,12513.233591597087
2.0,235.00000000000003,9468.669823795404,-5474.359786287619,11581.23130846306,-6451.950835115962,11998.411797010694
2.0,239.99999999999997,8894.184279222509,-4281.036019153284,10867.262391707618,-5018.488793625392,11479.270170192529
2.0,244.99999999999997,8534.176034753678,-3169.9037481968226,10428.039757411583,-3719.7247227378957,11183.086354466208
2.0,250.00000000000003,8117.3823836096335,-897.673049449244,9902.586085598436,-953.3973639850255,10866.627928467477
2.0,255.00000000000003,8119.2629925879655,408.1223206713628,9886.955074194688,610.4347199697058,10879.221814383507
2.0,260.0,8982.063248618231,242.95978214103116,10976.527161080357,333.24853670360267,11799.663908020415
2.0,265.0,9340.667913913927,-1015.2451612985165,11436.932647463826,-1261.7258853201465,12166.750468425267
2.0,270.0,8724.744956570794,68.38673674943696,10703.17821080645,126.70731604372654,11527.245203689732
2.0,275.0,7743.406018351349,1220.54125308587,9494.272000151484,1607.3482338473054,10452.948162522023
2.0,280.0,7514.915187882391,752.4606449423275,9202.643460316434,907.1518695924321,10223.241648290328
2.0,285.0,7917.201713456723,1746.8928326479888,9701.062080608704,2105.1519556385474,10614.265250547138
2.0,290.0,8292.07539428639,2379.3183643976026,10129.090934552289,2877.6050917545317,10979.975050612406
2.0,294.99999999999994,8929.363152829721,1743.5308399935159,10841.715421803185,2037.5179436506378,11702.383059359507
2.0,299.99999999999994,9474.81621968602,1548.7072370652495,11431.556912953072,1769.251505254084,12291.679982403317
2.0,305.0,9555.50324160558,1212.191435411291,11493.7102107664,1348.2824251872798,12388.785837388756
2.0,310.0,9820.932786655363,1074.8918883027363,11782.273748503685,1129.597765626365,12673.319341454468
2.0,315.0,10558.19908412493,1966.042771568861,12666.387149647166,2163.8453481886763,13421.781393371406
2.0,320.0,10344.196436468752,2893.150238238146,12417.105515833291,3330.0095964749353,13149.418252735804
2.0,325.0,9979.55247380141,2975.6662566299233,11975.097619208907,3442.499354724455,12755.701061835323
2.0,330.00000000000006,10154.013057676957,3456.0271777309226,12179.656359543304,3976.9947873600076,12910.858245192494
2.0,335.0,9857.865075026233,4072.5919966423517,11881.41042763383,4765.110738662883,12546.712164375936
2.0,340.0,8869.999321528916,2677.737460356073,10769.908476184564,3146.601275301489,11584.240414575095
2.0,345.0,8446.901830243833,1704.4304739214008,10290.98396354946,1935.5514137213268,11187.422643694266
2.0,350.0,8369.110720171104,2375.4159968710496,10164.415578690763,2766.8721314491518,11063.668294150782
2.0,355.0,8887.885063999036,5286.927482142791,10713.076104763752,6361.8791588254335,11374.52497553943
2.5,0.0,7110.242424673575,3326.919823352946,9159.25943844067,4107.62589949969,9595.440233974381
2.5,5.0,6717.508847112185,1904.2948830520618,8652.541610132826,2403.3927481160913,9292.718368577682
2.5,10.0,6794.64409532124,-225.77800502246578,8840.93769183353,-400.7052882725561,9454.319312238682
2.5,14.999999999999998,4925.7530621852675,-1022.6964889870067,6745.850735625859,-1411.3572630991082,7354.098832953038
2.5,20.0,5791.182237889373,-5533.561508771012,7727.330148220963,-7025.45397387081,7783.160296581693
2.5,25.0,9834.28315944504,-5568.968473182906,12287.619419966835,-6617.345016956444,12391.427793914096
2.5,29.999999999999996,12936.387688395183,-4007.3883994136713,15747.392204666503,-4565.412368744011,15827.330508695193
2.5,35.0,12488.188493538637,-5532.161706531118,15064.51146330365,-6402.917318255003,15258.93925361633
2.5,40.0,12280.298848454393,-2594.054412182303,14920.59078043628,-2922.490820515788,15206.09254790409
2.5,45.0,11621.298160664697,-3396.4617883160254,14164.018363149511,-3918.9387410945474,14474.785741870532
2.5,50.0,11002.943795056422,-4417.642396453857,13434.34074117558,-5136.335361518428,13752.199458694016
2.5,54.99999999999999,10013.373597909123,-3195.784103930828,12374.272851533397,-3701.6159500004933,12777.738930012592
2.5,59.99999999999999,8579.700736632061,-988.1943562616284,10686.189194455736,-1044.7326004764159,11358.315119955345
2.5,65.0,7369.518621465131,286.3645288288608,9177.29032371676,507.7889314481572,10075.754768961391
2.5,70.0,6510.044371888433,539.8529569735742,8123.938146823213,822.4370873271287,9138.744511198938
2.5,74.99999999999999,7106.387364224574,-520.068852043001,8914.422528845578,-637.7864790413871,9787.66448215941
2.5,80.0,7940.338859049345,-147.6250239501751,9946.84852255141,-115.61397298789734,10690.195913994754
2.5,85.0,7386.934683117788,1440.2835200923769,9180.296730235228,1930.1968467760273,10056.532049088026
2.5,90.0,8511.671775754075,166.50984983181064,10677.560735499486,223.36583411955442,11300.212360163569
2.5,95.0,7985.612540431335,-912.0034751041977,10028.172393216537,-1082.4295007109192,10724.876041310132
2.5,100.0,6785.1467574777835,1.5346200703893373,8495.56505440369,107.66120941658642,9445.150001263897
2.5,105.00000000000001,5832.4662150552185,339.1269671999364,7305.183852911148,475.0862936505073,8399.34657526303
2.5,109.99999999999999,5446.373125877905,837.8362048044721,6911.8894306747825,1095.272228285485,7952.735015316675
2.5,115.0,5575.213102475928,873.320593407024,7122.098708671328,1083.358913656613,8094.773187119474
2.5,119.99999999999999,5012.560673833018,1236.7403930605217,6384.564351570189,1600.2042224092427,7435.94877168248
2.5,125.00000000000001,4678.2505253297295,1855.5235971615969,5994.640332937582,2536.723219796264,6983.893855280553
2.5,130.0,4469.93157395882,-1041.6965535231413,5676.621383046735,-1464.9321774650716,6830.012849934619
2.5,135.0,5120.441826540215,-493.66906243709263,6407.941854803875,-762.1357792806721,7602.766050143625
2.5,140.0,6780.954838368808,948.3454146292129,8533.386647105413,1065.2432880693823,9420.563453780358
2.5,145.0,8079.875668947478,1471.7319526421297,10110.0863177824,1676.6319922610865,10804.187497175824
2.5,149.99999999999997,8534.975964970172,1479.9416242283091,10587.193493878347,1688.1119363890793,11292.45933598507
2.5,155.0,8426.690982330332,2000.0832944490476,10362.93035713178,2324.130016054981,11149.577363322374
2.5,160.0,8517.737487336355,2301.9741595879195,10491.24474496748,2679.9543625031756,11229.179634260163
2.5,165.00000000000003,7976.5001218137695,2419.0479582605585,9874.011626448455,2859.9330503885876,10634.333637017175
2.5,170.0,7292.470764688614,442.3325404321097,9017.974762934766,272.48209047069804,9990.378497176009
2.5,175.0,7807.49816352842,2693.2388670217215,9658.8122382795,3091.4567659235513,10428.213456208678
2.5,180.0,8215.968456294388,6697.060509486705,10120.595218046687,7971.172634045825,10468.509012945437
2.5,185.0,8667.190702244461,9781.100812704964,10628.480058118643,11557.027063276206,10663.227096787352
2.5,190.0,8102.751900125975,8563.268701740682,10091.66716298394,10514.732332041669,10137.00334097523
2.5,194.99999999999997,5396.4473767413065,-2105.532011408556,6818.99220691985,-2800.743278795957,7787.004911680553
2.5,200.0,5897.337294483007,-7207.859802237446,7547.310559665835,-9095.635091263495,7694.455283222458
2.5,204.99999999999997,9814.15357440969,-6575.542336032631,12093.168948950388,-7892.140498252127,12273.858949965108
2.5,210.00000000000003,11125.9730071456,-8090.92495648204,13533.953695957165,-9570.191251657317,13579.571004119238
2.5,214.99999999999997,11719.858383266841,-6670.399086686102,14145.66776531733,-7852.534962007014,14348.412093680392
2.5,219.99999999999997,11721.759029033386,-3833.6357533642504,14166.696077204671,-4507.454115530867,14555.885762597274
2.5,225.0,12081.749940571533,-2063.208113044594,14621.545042193135,-2353.689392366913,15018.081977866199
2.5,230.0,12431.03120922326,-2095.037803134289,15096.943330970069,-2365.3036137942563,15381.884755689582
2.5,235.00000000000003,10482.145380783752,-1818.904554459301,12848.06828988852,-2097.7087172938554,13347.292153980501
2.5,239.99999999999997,9154.679279743563,-1501.924173069095,11306.574800446953,-1770.1263416441757,11953.172652053783
2.5,244.99999999999997,7869.7316213973145,-61.247070286988674,9763.13746246077,12.696534670138135,10614.868192177686
2.5,250.00000000000003,7830.0965840531135,410.99333860863817,9726.982713984911,563.0209779506577,10569.455103104767
2.5,255.00000000000003,8009.280340338114,-271.53357375004725,10011.13083129658,-318.29057383911095,10763.1150241843
2.5,260.0,7599.258046749663,-668.8030320917977,9555.988658282278,-867.797325975806,10316.335775538282
2.5,265.0,7719.877244176489,-232.96757835528786,9707.83180571746,-293.8454289669095,10453.221679719574
2.5,270.0,7878.81744571554,398.89656686922393,9856.746221694164,532.0821372308983,10621.879129878858
2.5,275.0,8973.077586047706,581.2308286528114,11195.765507796601,755.8216642024785,11786.208247555802
2.5,280.0,9391.122813757733,417.8128094754902,11652.350771985402,584.9996109491212,12231.309909140622
2.5,285.0,8876.872743221193,327.8164439806874,10957.20679585322,476.72710691108887,11687.348553128337
2.5,290.0,8024.513559452818,1539.2014336286861,9868.345306472005,1982.2024357376,10741.261748962326
