profile,kind,split,rms_relative,max_abs_relative
NFW,inverse_radius,train,1.8696593671900517,4.974210546001385
NFW,inverse_radius,interpolation,1.2566154124334632,3.060570449485194
NFW,inverse_radius,extrapolation,0.5042172207371745,0.5938396080945818
NFW,bounded_p2,train,0.01567923573754254,0.02631067055526315
NFW,bounded_p2,interpolation,0.01394471810545651,0.021631006158752575
NFW,bounded_p2,extrapolation,0.2198247446097406,0.32026787794614786
NFW,bounded_p3,train,0.3161501064515375,0.5131433793053923
NFW,bounded_p3,interpolation,0.3005089530376645,0.5257064441047714
NFW,bounded_p3,extrapolation,0.6238917752465019,0.7327131819076668
Burkert,inverse_radius,train,20.380890438506587,59.2028991528662
Burkert,inverse_radius,interpolation,9.656952178483955,26.068334720636873
Burkert,inverse_radius,extrapolation,0.903413452001225,0.9177930492127927
Burkert,bounded_p2,train,1.7677603564404492,4.740522715400163
Burkert,bounded_p2,interpolation,1.1732057799536764,2.8715558476825302
Burkert,bounded_p2,extrapolation,1.931010784511358,3.5214913102511876
Burkert,bounded_p3,train,0.05452453057229508,0.08658761029982687
Burkert,bounded_p3,interpolation,0.04920814282798295,0.07685779457271813
Burkert,bounded_p3,extrapolation,0.3490305934898468,0.4071568734655393
