model_id,fold,block_id,q_over_n,mean_logpdf_per_channel
channel_constant__diagonal,0,training_r02_c14,1.0332848113202389,-0.4178748290481517
channel_constant__diagonal,0,training_r03_c15,1.0325860932188118,-0.41752546999743806
channel_constant__diagonal,0,training_r04_c16,1.00147223286516,-0.4019685398206121
channel_constant__diagonal,0,training_r05_c17,1.0382621652770256,-0.4203635060265449
channel_constant__diagonal,0,training_r06_c18,0.9856326415608989,-0.39404874416848157
channel_constant__diagonal,0,training_r09_c18,1.0237626254205279,-0.41311373609829616
channel_constant__diagonal,0,training_r10_c19,1.0279066635592446,-0.41518575516765455
channel_constant__diagonal,0,training_r12_c18,1.0388861229740942,-0.4206754848750793
channel_constant__diagonal,0,training_r16_c16,1.034008865014403,-0.41823685589523363
channel_constant__diagonal,0,training_r18_c12,0.9994627367794114,-0.4009637917777379
channel_constant__diagonal,1,training_r02_c13,1.0398220967985765,-0.42613515814149305
channel_constant__diagonal,1,training_r03_c14,0.9757848499447063,-0.39411653471455776
channel_constant__diagonal,1,training_r06_c17,1.0039784711869035,-0.40821334533565656
channel_constant__diagonal,1,training_r07_c18,0.9919658258537108,-0.40220702266906005
channel_constant__diagonal,1,training_r08_c19,1.062106841719309,-0.43727753060185937
channel_constant__diagonal,1,training_r11_c19,1.0348660720327323,-0.4236571457585709
channel_constant__diagonal,1,training_r13_c18,0.9996785181996004,-0.40606336884200483
channel_constant__diagonal,1,training_r15_c17,0.9605243748904102,-0.3864862971874099
channel_constant__diagonal,1,training_r17_c16,0.9472408710624161,-0.3798445452734127
channel_constant__diagonal,1,training_r18_c14,0.9465072738043219,-0.3794777466443658
channel_constant__diagonal,1,training_r19_c12,0.9676812436155654,-0.39006473154998744
channel_constant__diagonal,2,training_r02_c12,1.0184412642602165,-0.4135951945538995
channel_constant__diagonal,2,training_r08_c18,0.9600413460153293,-0.38439523543145593
channel_constant__diagonal,2,training_r09_c19,1.012731133886984,-0.41074012936728316
channel_constant__diagonal,2,training_r12_c19,1.012896389270475,-0.4108227570590288
channel_constant__diagonal,2,training_r14_c18,0.958199231375712,-0.3834741781116471
channel_constant__diagonal,2,training_r16_c17,1.0312939557463139,-0.4200215402969482
channel_constant__diagonal,2,training_r17_c15,1.0383422775942281,-0.4235457012209053
channel_constant__diagonal,2,training_r18_c13,0.9931711900070901,-0.4009601574273362
channel_constant__full_shrink_010,0,training_r02_c14,1.0501364614461026,-0.38392988527627075
channel_constant__full_shrink_010,0,training_r03_c15,0.9965537421274868,-0.3571385256169627
channel_constant__full_shrink_010,0,training_r04_c16,1.0277762679697156,-0.3727497885380771
channel_constant__full_shrink_010,0,training_r05_c17,1.024904694243781,-0.3713140016751098
channel_constant__full_shrink_010,0,training_r06_c18,1.0020434061106371,-0.359883357608538
channel_constant__full_shrink_010,0,training_r09_c18,0.9864730709542338,-0.35209819003033616
channel_constant__full_shrink_010,0,training_r10_c19,1.0449627968737027,-0.38134305299007076
channel_constant__full_shrink_010,0,training_r12_c18,1.0351454529528457,-0.3764343810296423
channel_constant__full_shrink_010,0,training_r16_c16,1.024444292615719,-0.37108380086107895
channel_constant__full_shrink_010,0,training_r18_c12,1.0008031002420894,-0.35926320467426404
channel_constant__full_shrink_010,1,training_r02_c13,1.0284152015272316,-0.3739151159666007
channel_constant__full_shrink_010,1,training_r03_c14,0.9972900924523441,-0.35835256142915695
channel_constant__full_shrink_010,1,training_r06_c17,1.0341762867317255,-0.37679565856884767
channel_constant__full_shrink_010,1,training_r07_c18,1.0081436719075216,-0.36377935115674565
