kind,branch,coarse_nr,fine_nr,aperture,profile_L1,centroid_km_s,passed
rotation,boxcar_independent,32,64,0,0.15344897897306428,0.7509549402339779,False
rotation,boxcar_independent,32,64,1,0.11352996158914973,0.1755669299658731,False
rotation,boxcar_independent,32,64,2,0.010030572794397029,0.07421169707789588,False
rotation,boxcar_independent,32,64,3,0.021774898802928898,0.08473494154086758,False
rotation,boxcar_independent,32,64,4,0.1208342457567124,0.05146455844910447,False
rotation,boxcar_independent,32,64,5,0.00023029894582273638,0.0012840945029992668,True
rotation,boxcar_independent,32,64,6,0.0005650357390504999,0.004179845256288672,True
rotation,boxcar_independent,32,64,7,0.0015188078267338533,0.008989010184304647,True
rotation,boxcar_independent,32,64,8,0.003187572375141999,0.004293305370708822,True
rotation,boxcar_independent,32,64,9,0.005939131864657011,0.01756750609958324,True
rotation,boxcar_independent,32,64,10,0.00197746712771724,0.015779564199590368,True
rotation,boxcar_independent,32,64,11,0.001285670068092891,0.002615402821703583,True
rotation,boxcar_independent,32,64,12,0.10437396756772825,0.1424132193718144,False
rotation,boxcar_independent,32,64,13,0.03143085167789194,0.16567847405652536,False
rotation,boxcar_independent,32,64,14,0.01839537989604103,0.08989589433868161,False
rotation,boxcar_hanning_full,32,64,0,0.15058439776435045,0.7509549402339761,False
rotation,boxcar_hanning_full,32,64,1,0.11192653450742121,0.17556692996587486,False
rotation,boxcar_hanning_full,32,64,2,0.008694153717513154,0.07421169707789232,True
rotation,boxcar_hanning_full,32,64,3,0.02170180157358753,0.08473494154086758,False
rotation,boxcar_hanning_full,32,64,4,0.12083424499475898,0.05146455844910314,False
rotation,boxcar_hanning_full,32,64,5,0.0002302985584885576,0.0012840945029992668,True
rotation,boxcar_hanning_full,32,64,6,0.0004943636995027871,0.004179845256295778,True
rotation,boxcar_hanning_full,32,64,7,0.0014266468970091674,0.0089890101843082,True
rotation,boxcar_hanning_full,32,64,8,0.0031872003219640833,0.004293305370701717,True
rotation,boxcar_hanning_full,32,64,9,0.005910592334656818,0.017567506099585017,True
rotation,boxcar_hanning_full,32,64,10,0.0017139595845256082,0.01577956419959392,True
rotation,boxcar_hanning_full,32,64,11,0.00128566975183627,0.0026154028217000302,True
rotation,boxcar_hanning_full,32,64,12,0.10437396756772814,0.14241321937181484,False
rotation,boxcar_hanning_full,32,64,13,0.028570173269515643,0.16567847405652536,False
rotation,boxcar_hanning_full,32,64,14,0.01792854762420908,0.08989589433867451,False
rotation,boxcar_hanning_decimated,32,64,0,0.1532544445462758,0.7509549402315745,False
rotation,boxcar_hanning_decimated,32,64,1,0.1134259134315333,0.17556692996626477,False
rotation,boxcar_hanning_decimated,32,64,2,0.009837212643580139,0.07421169707930986,True
rotation,boxcar_hanning_decimated,32,64,3,0.02175701676190429,0.08473494154380035,False
rotation,boxcar_hanning_decimated,32,64,4,0.12083424492595028,0.05146455844603226,False
rotation,boxcar_hanning_decimated,32,64,5,0.00023029886720730115,0.0012840945030632156,True
rotation,boxcar_hanning_decimated,32,64,6,0.0005552125874133954,0.004179845256267356,True
rotation,boxcar_hanning_decimated,32,64,7,0.001506746628006272,0.008989010184180302,True
rotation,boxcar_hanning_decimated,32,64,8,0.003187206298507103,0.004293305370573819,True
rotation,boxcar_hanning_decimated,32,64,9,0.005939329677105509,0.017567506099231522,True
rotation,boxcar_hanning_decimated,32,64,10,0.001939817738891174,0.015779564199888796,True
rotation,boxcar_hanning_decimated,32,64,11,0.0012856698854370018,0.0026154028214833147,True
rotation,boxcar_hanning_decimated,32,64,12,0.10437396756772824,0.1424132193689549,False
rotation,boxcar_hanning_decimated,32,64,13,0.03084462484651583,0.16567847405846692,False
rotation,boxcar_hanning_decimated,32,64,14,0.01814190105933108,0.08989589433651446,False
rotation,boxcar_independent,64,128,0,0.008306851034111717,0.017671479862313433,True
rotation,boxcar_independent,64,128,1,0.012695615672804857,0.07078046680608097,False
rotation,boxcar_independent,64,128,2,0.00010301146406602894,0.0005972084247893861,True
rotation,boxcar_independent,64,128,3,0.0009311611614575276,0.002583266742849588,True
rotation,boxcar_independent,64,128,4,0.0025776135652704987,0.0002209212349209011,True
rotation,boxcar_independent,64,128,5,6.76769292059772e-05,3.221557065558045e-08,True
rotation,boxcar_independent,64,128,6,6.767215332522986e-05,2.4459058067805017e-07,True
rotation,boxcar_independent,64,128,7,6.763407401500937e-05,1.4159194350327198e-07,True
rotation,boxcar_independent,64,128,8,6.771534012438345e-05,1.662674762314964e-07,True
rotation,boxcar_independent,64,128,9,6.49205648882971e-05,8.871361215412321e-06,True
rotation,boxcar_independent,64,128,10,6.771709288204467e-05,6.013062048282336e-07,True
rotation,boxcar_independent,64,128,11,6.67144568111631e-05,1.2291529252195232e-06,True
rotation,boxcar_independent,64,128,12,0.004956580615232685,0.00023611328910755347,True
rotation,boxcar_independent,64,128,13,0.0006341529534358859,0.003815243050459216,True
