model,side,q,trace_ratio
baseline,1,1.0281388956911428,1.0602468956090934
baseline,2,1.0230870375381482,1.0562509797895008
baseline,4,1.0314173859612714,1.066904618140173
baseline,8,1.0475007841568025,1.0671859763848868
baseline,12,1.052677657406684,1.064561159341874
baseline,24,1.1660826708317389,1.0309924046517662
selected,1,1.0229385747289796,1.056711524730796
selected,2,1.0167873999529575,1.052000987706244
selected,4,1.0206145997702984,1.0599021481279631
selected,8,1.0212129141248263,1.0520888098393804
selected,12,1.0034005966014712,1.0383453772061033
selected,24,0.9728972693852387,0.9622595776749819
