side,fold,model,core,q,logpdf
1,0,full_0.1,training_r02_c14,1.0501364614461028,-0.3839298852762707
1,0,full_0.1,training_r03_c15,0.9965537421274868,-0.3571385256169627
1,0,full_0.1,training_r04_c16,1.0277762679697156,-0.3727497885380771
1,0,full_0.1,training_r05_c17,1.024904694243781,-0.37131400167510986
1,0,full_0.1,training_r06_c18,1.0020434061106371,-0.359883357608538
1,0,full_0.1,training_r09_c18,0.9864730709542338,-0.35209819003033616
1,0,full_0.1,training_r10_c19,1.0449627968737027,-0.38134305299007076
1,0,full_0.1,training_r12_c18,1.0351454529528457,-0.3764343810296423
1,0,full_0.1,training_r16_c16,1.024444292615719,-0.37108380086107895
1,0,full_0.1,training_r18_c12,1.0008031002420894,-0.35926320467426404
1,0,full_0.3,training_r02_c14,1.0200174653281289,-0.38398185057271367
1,0,full_0.3,training_r03_c15,0.9699778420840786,-0.3589620389506885
1,0,full_0.3,training_r04_c16,0.9960110004630719,-0.371978618140185
1,0,full_0.3,training_r05_c17,0.9964990421970766,-0.3722226390071874
1,0,full_0.3,training_r06_c18,0.9710141828755645,-0.35948020934643143
1,0,full_0.3,training_r09_c18,0.9607472080527826,-0.3543467219350404
1,0,full_0.3,training_r10_c19,1.011677411800472,-0.3798118238088852
1,0,full_0.3,training_r12_c18,1.0027299120069741,-0.37533807391213625
1,0,full_0.3,training_r16_c16,0.9940502936663277,-0.3709982647418129
1,0,full_0.3,training_r18_c12,0.9718292083428101,-0.35988772208005415
1,0,full_0.6,training_r02_c14,0.9976279549510112,-0.38968214003979235
1,0,full_0.6,training_r03_c15,0.9563633509556521,-0.3690498380421129
1,0,full_0.6,training_r04_c16,0.9711210472073974,-0.3764286861679854
1,0,full_0.6,training_r05_c17,0.9792668554134103,-0.38050159027099195
1,0,full_0.6,training_r06_c18,0.9482849364722158,-0.36501063080039475
1,0,full_0.6,training_r09_c18,0.9479339273880006,-0.3648351262582872
1,0,full_0.6,training_r10_c19,0.9864086141893891,-0.38407246965898134
1,0,full_0.6,training_r12_c18,0.9808908468267981,-0.3813135859776858
1,0,full_0.6,training_r16_c16,0.9744253579138005,-0.3780808415211871
1,0,full_0.6,training_r18_c12,0.9520371655455704,-0.36688674533707194
1,0,full_1.0,training_r02_c14,1.0332848113202389,-0.4178748290481517
1,0,full_1.0,training_r03_c15,1.0325860932188118,-0.41752546999743806
1,0,full_1.0,training_r04_c16,1.00147223286516,-0.4019685398206121
1,0,full_1.0,training_r05_c17,1.0382621652770254,-0.4203635060265449
1,0,full_1.0,training_r06_c18,0.9856326415608989,-0.39404874416848157
1,0,full_1.0,training_r09_c18,1.023762625420528,-0.41311373609829616
1,0,full_1.0,training_r10_c19,1.0279066635592446,-0.41518575516765455
1,0,full_1.0,training_r12_c18,1.0388861229740942,-0.4206754848750793
1,0,full_1.0,training_r16_c16,1.034008865014403,-0.41823685589523363
1,0,full_1.0,training_r18_c12,0.9994627367794114,-0.4009637917777379
1,0,bartlett_1_0.1,training_r02_c14,1.0010588984494118,-0.3956123095503928
1,0,bartlett_1_0.1,training_r03_c15,0.9953997019980543,-0.3927827113247141
1,0,bartlett_1_0.1,training_r04_c16,0.9799173009508019,-0.38504151080108795
1,0,bartlett_1_0.1,training_r05_c17,1.0011568782536477,-0.3956612994525108
1,0,bartlett_1_0.1,training_r06_c18,0.9584509482466413,-0.37430833444900763
1,0,bartlett_1_0.1,training_r09_c18,0.9853920585879333,-0.3877788896196536
1,0,bartlett_1_0.1,training_r10_c19,1.0020593895860554,-0.39611255511871474
1,0,bartlett_1_0.1,training_r12_c18,1.0108982593585107,-0.4005319900049422
1,0,bartlett_1_0.1,training_r16_c16,1.0028907177133894,-0.3965282191823816
1,0,bartlett_1_0.1,training_r18_c12,0.9703664937886751,-0.3802661072200245
1,0,bartlett_1_0.3,training_r02_c14,1.003918649019966,-0.3995012650507722
1,0,bartlett_1_0.3,training_r03_c15,0.9990963040461649,-0.3970900925638716
1,0,bartlett_1_0.3,training_r04_c16,0.980445571631572,-0.3877647263565751
1,0,bartlett_1_0.3,training_r05_c17,1.0049278663557335,-0.40000587371865576
1,0,bartlett_1_0.3,training_r06_c18,0.9603118730897778,-0.377697877085678
1,0,bartlett_1_0.3,training_r09_c18,0.9894809618935918,-0.392282421487585
1,0,bartlett_1_0.3,training_r10_c19,1.0034882941630194,-0.3992860876222989
1,0,bartlett_1_0.3,training_r12_c18,1.0125317918324266,-0.4038078364570024
1,0,bartlett_1_0.3,training_r16_c16,1.0052946689192952,-0.40018927500043683
1,0,bartlett_1_0.3,training_r18_c12,0.9725817514497352,-0.38383281626565674
1,0,bartlett_3_0.1,training_r02_c14,1.0018220594851026,-0.3879829386467595
1,0,bartlett_3_0.1,training_r03_c15,0.9895619479993274,-0.3818528829038718
1,0,bartlett_3_0.1,training_r04_c16,0.9838823604029397,-0.379013089105678
1,0,bartlett_3_0.1,training_r05_c17,0.996851819266668,-0.3854978185375421
1,0,bartlett_3_0.1,training_r06_c18,0.9578883105445699,-0.36601606417649307
1,0,bartlett_3_0.1,training_r09_c18,0.9771261687678349,-0.3756349932881256
1,0,bartlett_3_0.1,training_r10_c19,1.0037532041732542,-0.38894851099083527
1,0,bartlett_3_0.1,training_r12_c18,1.0118242975061869,-0.39298405765730154
1,0,bartlett_3_0.1,training_r16_c16,0.9987501160752149,-0.3864469669418156
1,0,bartlett_3_0.1,training_r18_c12,0.9704252914227977,-0.37228455461560694
1,0,bartlett_3_0.3,training_r02_c14,0.9985952717878551,-0.39192775965051363
1,0,bartlett_3_0.3,training_r03_c15,0.9881258089422639,-0.38669302822771795
1,0,bartlett_3_0.3,training_r04_c16,0.9778154526425301,-0.3815378500778512
1,0,bartlett_3_0.3,training_r05_c17,0.9953434253792827,-0.39030183644622746
1,0,bartlett_3_0.3,training_r06_c18,0.9540894910598754,-0.36967486928652377
1,0,bartlett_3_0.3,training_r09_c18,0.9767308850477348,-0.38099556628045345
1,0,bartlett_3_0.3,training_r10_c19,0.998941528457288,-0.39210088798523013
1,0,bartlett_3_0.3,training_r12_c18,1.006872166236406,-0.39606620687478894
1,0,bartlett_3_0.3,training_r16_c16,0.99563750715433,-0.39044887733375105
1,0,bartlett_3_0.3,training_r18_c12,0.9667877768425309,-0.3760240121778515
1,0,bartlett_7_0.1,training_r02_c14,1.0069208221975254,-0.3836551317791715
1,0,bartlett_7_0.1,training_r03_c15,0.9855044132776805,-0.3729469273192491
1,0,bartlett_7_0.1,training_r04_c16,0.9912079309567271,-0.37579868615877243
1,0,bartlett_7_0.1,training_r05_c17,0.996829452802625,-0.37860944708172134
1,0,bartlett_7_0.1,training_r06_c18,0.9615713529705875,-0.3609803971657025
1,0,bartlett_7_0.1,training_r09_c18,0.9721642646771116,-0.36627685301896457
1,0,bartlett_7_0.1,training_r10_c19,1.0072219449291258,-0.38380569314497165
1,0,bartlett_7_0.1,training_r12_c18,1.0116884436166127,-0.3860389424887152
1,0,bartlett_7_0.1,training_r16_c16,0.9955060149141989,-0.3779477281375082
1,0,bartlett_7_0.1,training_r18_c12,0.9719354717541316,-0.36616245655747465
1,0,bartlett_7_0.3,training_r02_c14,0.9975557631855784,-0.38706086338921997
1,0,bartlett_7_0.3,training_r03_c15,0.9788408467738018,-0.3777034051833318
1,0,bartlett_7_0.3,training_r04_c16,0.9789457354092063,-0.37775584950103397
1,0,bartlett_7_0.3,training_r05_c17,0.9897545973751385,-0.383160280484
1,0,bartlett_7_0.3,training_r06_c18,0.9519444665498349,-0.3642552150713483
1,0,bartlett_7_0.3,training_r09_c18,0.9666899366740935,-0.3716279501334776
1,0,bartlett_7_0.3,training_r10_c19,0.9964735208263124,-0.38651974220958707
1,0,bartlett_7_0.3,training_r12_c18,1.000739759860862,-0.3886528617268618
1,0,bartlett_7_0.3,training_r16_c16,0.9870686988321864,-0.38181733121252404
1,0,bartlett_7_0.3,training_r18_c12,0.9628273103710618,-0.36969663698196165
1,0,pixelcorr_mixture_0.0,training_r02_c14,1.0501364614461028,-0.3839298852762707
1,0,pixelcorr_mixture_0.0,training_r03_c15,0.9965537421274868,-0.3571385256169627
1,0,pixelcorr_mixture_0.0,training_r04_c16,1.0277762679697156,-0.37274978853807705
1,0,pixelcorr_mixture_0.0,training_r05_c17,1.024904694243781,-0.3713140016751098
1,0,pixelcorr_mixture_0.0,training_r06_c18,1.0020434061106371,-0.359883357608538
1,0,pixelcorr_mixture_0.0,training_r09_c18,0.9864730709542338,-0.35209819003033616
1,0,pixelcorr_mixture_0.0,training_r10_c19,1.0449627968737027,-0.38134305299007076
1,0,pixelcorr_mixture_0.0,training_r12_c18,1.0351454529528457,-0.3764343810296423
1,0,pixelcorr_mixture_0.0,training_r16_c16,1.024444292615719,-0.37108380086107895
1,0,pixelcorr_mixture_0.0,training_r18_c12,1.0008031002420894,-0.35926320467426404
1,0,pixelcorr_mixture_0.25,training_r02_c14,1.0501364614461028,-0.3839298852762707
1,0,pixelcorr_mixture_0.25,training_r03_c15,0.9965537421274868,-0.3571385256169627
1,0,pixelcorr_mixture_0.25,training_r04_c16,1.0277762679697156,-0.3727497885380771
1,0,pixelcorr_mixture_0.25,training_r05_c17,1.024904694243781,-0.3713140016751098
1,0,pixelcorr_mixture_0.25,training_r06_c18,1.0020434061106371,-0.359883357608538
1,0,pixelcorr_mixture_0.25,training_r09_c18,0.9864730709542338,-0.35209819003033616
1,0,pixelcorr_mixture_0.25,training_r10_c19,1.0449627968737027,-0.38134305299007076
1,0,pixelcorr_mixture_0.25,training_r12_c18,1.0351454529528457,-0.3764343810296423
1,0,pixelcorr_mixture_0.25,training_r16_c16,1.024444292615719,-0.37108380086107895
1,0,pixelcorr_mixture_0.25,training_r18_c12,1.0008031002420894,-0.35926320467426404
1,0,pixelcorr_mixture_0.5,training_r02_c14,1.0501364614461028,-0.3839298852762707
1,0,pixelcorr_mixture_0.5,training_r03_c15,0.9965537421274868,-0.3571385256169627
1,0,pixelcorr_mixture_0.5,training_r04_c16,1.0277762679697156,-0.37274978853807705
