alpha,core,q,logpdf
0.1,validation_r02_c07,0.4817311437282749,0.5715986870273545
0.1,validation_r02_c08,0.48226562139203266,0.5713314481954758
0.1,validation_r03_c05,0.46504964527105086,0.5799394362559668
0.1,validation_r03_c06,0.4719890969064723,0.576469710438256
0.1,validation_r04_c04,0.47359893592925834,0.5756647909268631
0.1,validation_r04_c05,0.4873463866904451,0.5687910655462696
0.1,validation_r05_c03,0.4736414563389429,0.5756435307220206
0.1,validation_r05_c04,0.4806805031023396,0.5721240073403223
0.1,validation_r06_c03,0.49195885336301165,0.5664848322099862
0.1,validation_r07_c02,0.48631223048942596,0.5693081436467791
0.1,validation_r08_c02,0.4800742035844656,0.5724271570992593
0.1,validation_r09_c02,0.47540374133533836,0.5747623882238231
0.1,validation_r10_c01,0.47647744255134805,0.574225537615818
0.1,validation_r10_c02,0.48159993881522567,0.5716642894838793
0.1,validation_r11_c02,0.4718876454742515,0.5765204361543663
0.1,validation_r12_c02,0.4903567827359141,0.5672858675235353
0.1,validation_r13_c02,0.47589091217887686,0.5745188028020536
0.1,validation_r14_c02,0.4737824743193846,0.5755730217317998
0.1,validation_r14_c03,0.47758287236318825,0.573672822709898
0.1,validation_r15_c03,0.4830506888052009,0.5709389144888917
0.1,validation_r16_c04,0.46863507593806375,0.5781467209224602
0.1,validation_r17_c05,0.46917995109813304,0.5778742833424255
0.1,validation_r17_c06,0.47965444467046425,0.5726370365562599
0.1,validation_r18_c06,0.48310555337961225,0.5709114822016859
0.1,validation_r18_c07,0.49872969027949654,0.5630994137517437
0.1,validation_r18_c08,0.48651459026460925,0.5692069637591874
0.1,validation_r19_c08,0.49538381748467863,0.5647723501491526
0.3,validation_r02_c07,0.42823541613706684,0.2569936861130139
0.3,validation_r02_c08,0.43048680229214203,0.2558679930354763
0.3,validation_r03_c05,0.41478129643465755,0.26372074596421846
0.3,validation_r03_c06,0.41973898495565504,0.2612419017037198
0.3,validation_r04_c04,0.4237222424636758,0.2592502729497095
0.3,validation_r04_c05,0.4330482719143999,0.2545872582243473
0.3,validation_r05_c03,0.4175329978353803,0.2623448952638572
0.3,validation_r05_c04,0.42778403465816384,0.2572193768524653
0.3,validation_r06_c03,0.43682608107501536,0.2526983536440397
0.3,validation_r07_c02,0.43290201459464966,0.2546603868842225
0.3,validation_r08_c02,0.42907819664840163,0.2565722958573465
0.3,validation_r09_c02,0.4192853724005173,0.2614687079812886
0.3,validation_r10_c01,0.4199298482676104,0.26114647004774205
0.3,validation_r10_c02,0.4307792828953488,0.2557217527338728
0.3,validation_r11_c02,0.41583634033739486,0.2631932240128499
0.3,validation_r12_c02,0.436525005168699,0.2528488915971978
0.3,validation_r13_c02,0.4241315666890229,0.2590456108370359
0.3,validation_r14_c02,0.42104637774950193,0.2605882053067962
0.3,validation_r14_c03,0.42117431504208647,0.260524236660504
0.3,validation_r15_c03,0.4295982834194718,0.25631225247181144
0.3,validation_r16_c04,0.41584203494062977,0.26319037671123247
0.3,validation_r17_c05,0.4146674132985061,0.2637776875322942
0.3,validation_r17_c06,0.4248068713419417,0.25870795851057643
0.3,validation_r18_c06,0.4264281864289633,0.25789730096706565
0.3,validation_r18_c07,0.44213176260439885,0.25004551287934784
0.3,validation_r18_c08,0.4290705797450646,0.256576104309015
0.3,validation_r19_c08,0.44128110858928676,0.2504708398869039
0.6,validation_r02_c07,0.46220365400708757,0.026652293976479526
0.6,validation_r02_c08,0.46742344015312576,0.024042400903460423
0.6,validation_r03_c05,0.4523383084954197,0.03158496673231341
0.6,validation_r03_c06,0.4548486674890264,0.030329787235510147
0.6,validation_r04_c04,0.462650372833001,0.026428934563522705
0.6,validation_r04_c05,0.46885574526751167,0.023326248346267467
0.6,validation_r05_c03,0.44925346260748067,0.033127389676282884
0.6,validation_r05_c04,0.46286571657792314,0.0263212626910617
0.6,validation_r06_c03,0.470561021941276,0.022473610009385196
0.6,validation_r07_c02,0.4700684277152227,0.022719907122411925
0.6,validation_r08_c02,0.46506151011623403,0.025223365921906306
0.6,validation_r09_c02,0.45084116295547305,0.03233353950228667
0.6,validation_r10_c01,0.45394373764198087,0.030782252159032925
0.6,validation_r10_c02,0.46873957358153007,0.02338433418925832
0.6,validation_r11_c02,0.44726095707141,0.03412364244431823
0.6,validation_r12_c02,0.4733182005973944,0.02109502068132602
0.6,validation_r13_c02,0.46147570742293403,0.027016267268556275
0.6,validation_r14_c02,0.4562145430327624,0.029646849463642173
0.6,validation_r14_c03,0.45410670296450273,0.030700769497772003
0.6,validation_r15_c03,0.4663384225392246,0.02458490971041099
0.6,validation_r16_c04,0.4494804928695992,0.033013874545223684
0.6,validation_r17_c05,0.44744515771628746,0.03403154212187952
0.6,validation_r17_c06,0.4591940967010576,0.02815707262949451
0.6,validation_r18_c06,0.45762865994774415,0.028939791006151128
0.6,validation_r18_c07,0.47722255980058464,0.019142841079730875
0.6,validation_r18_c08,0.4605157039658559,0.02749626899709534
0.6,validation_r19_c08,0.4784307898813599,0.018538726039343333
1.0,validation_r02_c07,1.0077410159367204,-0.3600189377911432
1.0,validation_r02_c08,1.050025362546067,-0.38116111109581646
1.0,validation_r03_c05,1.0485365107392424,-0.3804166851924041
1.0,validation_r03_c06,1.0129649995529877,-0.3626309295992769
1.0,validation_r04_c04,1.0391691632011006,-0.3757330114233334
1.0,validation_r04_c05,1.0427117398253198,-0.37750429973544286
1.0,validation_r05_c03,1.001616036800155,-0.3569564482228605
1.0,validation_r05_c04,1.0313301685241834,-0.3718135140848747
1.0,validation_r06_c03,1.0232678580827788,-0.3677823588641724
1.0,validation_r07_c02,1.0826899953348907,-0.3974934274902284
1.0,validation_r08_c02,1.0204403831411932,-0.3663686213933796
1.0,validation_r09_c02,0.9738483985361203,-0.34307262909084313
1.0,validation_r10_c01,1.0028558822744362,-0.3575763709600011
1.0,validation_r10_c02,1.0487116362461726,-0.38050424794586934
1.0,validation_r11_c02,0.9986491949654923,-0.35547302730552915
1.0,validation_r12_c02,1.0638168725537462,-0.3880568660996561
1.0,validation_r13_c02,1.033261985091365,-0.3727794223684654
1.0,validation_r14_c02,1.0318862062773606,-0.37209153296146336
1.0,validation_r14_c03,1.0258347421581715,-0.3690658009018688
1.0,validation_r15_c03,1.037877107458579,-0.3750869835520726
1.0,validation_r16_c04,1.0064339871470422,-0.3593654233963041
1.0,validation_r17_c05,0.9820955853702535,-0.3471962225079098
1.0,validation_r17_c06,1.0279446612046974,-0.37012076042513165
1.0,validation_r18_c06,0.9952828532968058,-0.3537898564711859
1.0,validation_r18_c07,1.047886657805702,-0.380091758725634
1.0,validation_r18_c08,1.011060998416703,-0.3616789290311345
1.0,validation_r19_c08,1.0589492261960396,-0.3856230429208028
