band,group,spatial_modes,channel_modes,q
DC,all,1,42,1.1660826708317462
DC,channel_eigen_quartile_1,1,11,1.566015067525085
DC,channel_eigen_quartile_2,1,11,1.1411450889292445
DC,channel_eigen_quartile_3,1,10,1.0481717965740793
DC,channel_eigen_quartile_4,1,10,0.8714992488194917
low,all,10,42,0.9882129594480713
low,frequency_lower,5,42,0.9837795478212711
low,frequency_upper,5,42,0.9926463710748714
low,channel_eigen_quartile_1,10,11,1.062696250807103
low,channel_eigen_quartile_2,10,11,0.977135658381199
low,channel_eigen_quartile_3,10,10,0.9247063412760373
low,channel_eigen_quartile_4,10,10,0.9819729882987297
middle,all,47,42,0.9905071376516118
middle,frequency_lower,24,42,0.9980256821978114
middle,frequency_upper,23,42,0.9826616998642732
middle,channel_eigen_quartile_1,47,11,1.0024043806349223
middle,channel_eigen_quartile_2,47,11,0.9844784186303636
middle,channel_eigen_quartile_3,47,10,0.9710912993139692
middle,channel_eigen_quartile_4,47,10,1.003467599630986
high,all,518,42,1.0005493174857465
high,frequency_lower,262,42,0.9996972020555495
high,frequency_upper,256,42,1.0014214043713392
high,channel_eigen_quartile_1,518,11,1.0385606854030627
high,channel_eigen_quartile_2,518,11,1.0195262288673255
high,channel_eigen_quartile_3,518,10,0.9871013241077375
high,channel_eigen_quartile_4,518,10,0.9513102036349712
