band,mode,ky,kx,q,q_pass
DC,0,0,0,1.1660826708317462,True
low,1,0,1,0.9699948850973257,True
low,2,0,2,0.9753007035430146,True
low,3,0,3,1.0477534947289144,True
low,24,1,0,1.0196254995784966,True
low,25,1,1,0.9808959873037922,True
low,26,1,2,1.086284267578688,True
low,48,2,0,0.9730806635837248,True
low,49,2,1,0.9675537277226246,True
low,50,2,2,0.9988830913816594,True
low,72,3,0,0.8627572739624699,True
middle,4,0,4,1.0130919240071556,True
middle,5,0,5,0.9706467400657772,True
middle,6,0,6,0.9332281615783069,True
middle,7,0,7,0.9963649193039439,True
middle,8,0,8,1.0364749109788571,True
middle,27,1,3,0.9518522409956253,True
middle,28,1,4,0.913851169495441,True
middle,29,1,5,0.8616264811725068,True
middle,30,1,6,0.9954322123922269,True
middle,31,1,7,0.9377903837719924,True
middle,51,2,3,1.0037561129169237,True
middle,52,2,4,0.9845752522597548,True
middle,53,2,5,0.9595193440880794,True
middle,54,2,6,0.9703581641250222,True
middle,55,2,7,0.8776584174100464,True
middle,73,3,1,1.040143021921766,True
middle,74,3,2,1.0588032387879953,True
middle,75,3,3,0.9958135540142815,True
middle,76,3,4,1.077667045441425,True
middle,77,3,5,1.0535004397462495,True
middle,78,3,6,0.981339864963539,True
middle,79,3,7,0.9286005349569024,True
middle,96,4,0,1.0062767584227674,True
middle,97,4,1,1.0299160844911495,True
middle,98,4,2,1.0227403813643094,True
middle,99,4,3,0.9536297998524407,True
middle,100,4,4,0.9914324311283115,True
middle,101,4,5,0.9566795519314324,True
middle,102,4,6,1.0089045447678802,True
middle,120,5,0,1.1001448697642067,True
middle,121,5,1,0.9372230730457903,True
middle,122,5,2,1.1425197545732384,True
middle,123,5,3,0.9575680591416696,True
middle,124,5,4,0.9847648241279272,True
middle,125,5,5,1.027844098452201,True
middle,126,5,6,0.993017672489259,True
middle,144,6,0,0.9930904344723037,True
middle,145,6,1,1.102834442363571,True
middle,146,6,2,0.8610116134714838,True
middle,147,6,3,1.0525545917228176,True
middle,148,6,4,0.9305288004568679,True
middle,149,6,5,0.9831700998354543,True
middle,168,7,0,1.0165295550043676,True
middle,169,7,1,1.0456489887983498,True
middle,170,7,2,0.9742075944046794,True
middle,171,7,3,0.9700672111719393,True
middle,192,8,0,0.9694360999775256,True
high,9,0,9,1.0635203887640043,True
high,10,0,10,0.9222911143273371,True
high,11,0,11,0.9631109866120957,True
high,12,0,12,0.941725718948541,True
high,13,0,13,0.9449013445915753,True
high,14,0,14,1.0153089387403258,True
high,15,0,15,1.0836900105845195,True
high,16,0,16,1.0266675281969084,True
high,17,0,17,0.9753560167336174,True
high,18,0,18,1.004830872262613,True
high,19,0,19,0.9404982464962961,True
high,20,0,20,0.9964726348142973,True
high,21,0,21,0.9381850154960502,True
high,22,0,22,0.9890931317178838,True
high,23,0,23,0.9376945518259371,True
high,32,1,8,0.9284124129262963,True
high,33,1,9,0.9508292876563667,True
high,34,1,10,0.9490125604418124,True
high,35,1,11,1.1403031937284096,True
high,36,1,12,1.0048549833633271,True
high,37,1,13,0.9774942312307874,True
high,38,1,14,0.9885054544159237,True
high,39,1,15,1.022661744249884,True
high,40,1,16,1.070037381267851,True
high,41,1,17,1.0474434126146275,True
high,42,1,18,1.0801843188266527,True
high,43,1,19,0.9559957706479714,True
high,44,1,20,1.100370714040805,True
high,45,1,21,0.9480981318111938,True
high,46,1,22,1.1062280911745652,True
high,47,1,23,0.9467341324970245,True
high,56,2,8,0.9229540406296983,True
high,57,2,9,1.0126305966036353,True
high,58,2,10,0.8901859801015102,True
high,59,2,11,0.9853461331506236,True
high,60,2,12,0.9720772047969083,True
high,61,2,13,1.0157782335281067,True
high,62,2,14,1.0072791963178829,True
high,63,2,15,0.9773144037221899,True
high,64,2,16,1.0728894739859305,True
high,65,2,17,1.1425490600902042,True
high,66,2,18,0.948254216984758,True
high,67,2,19,1.0210282060237121,True
high,68,2,20,0.9563401435218353,True
high,69,2,21,0.9913187322406581,True
high,70,2,22,0.9574842810324773,True
high,71,2,23,0.9827224736768182,True
high,80,3,8,0.8921287180929305,True
high,81,3,9,1.1864521264399346,True
high,82,3,10,0.964851536585834,True
high,83,3,11,0.9375983161466591,True
high,84,3,12,0.9838021657572772,True
high,85,3,13,1.096759636508172,True
high,86,3,14,1.043259882233414,True
high,87,3,15,1.1190905254417503,True
high,88,3,16,0.9969003505914174,True
high,89,3,17,0.951185103480251,True
high,90,3,18,1.0339730884920433,True
high,91,3,19,0.9702084874758403,True
high,92,3,20,1.022239082863522,True
high,93,3,21,0.9730616947609473,True
high,94,3,22,1.0210456767858485,True
high,95,3,23,0.9739697724902067,True
high,103,4,7,0.8696225129737698,True
high,104,4,8,0.9866522875084032,True
high,105,4,9,1.0146799072207973,True
high,106,4,10,1.01269927184021,True
high,107,4,11,0.9541747940686067,True
high,108,4,12,0.9681950611723759,True
high,109,4,13,0.9720514419419478,True
high,110,4,14,0.9839332645255203,True
high,111,4,15,0.9847042387734495,True
high,112,4,16,0.9790526356805759,True
high,113,4,17,0.9915262816925879,True
high,114,4,18,1.0481245560829526,True
high,115,4,19,0.9983640827633038,True
high,116,4,20,1.0278283522588771,True
high,117,4,21,1.0032475068811975,True
high,118,4,22,1.02123997051389,True
high,119,4,23,1.0055772653816202,True
high,127,5,7,1.0273464215443635,True
high,128,5,8,0.9563776296072578,True
high,129,5,9,1.0083008682691892,True
high,130,5,10,0.9527507607161466,True
high,131,5,11,0.9766387332169569,True
high,132,5,12,1.0032284128011206,True
high,133,5,13,0.9819187369818747,True
high,134,5,14,0.9958118126154114,True
high,135,5,15,1.1187631038008508,True
high,136,5,16,1.083414836203239,True
high,137,5,17,1.0845618309870173,True
high,138,5,18,1.0452573113969679,True
high,139,5,19,1.0597234882419688,True
high,140,5,20,1.0343506773459095,True
high,141,5,21,1.0468980988608394,True
high,142,5,22,1.0314432981439288,True
high,143,5,23,1.0416414536120426,True
high,150,6,6,0.9843643348072917,True
high,151,6,7,1.0385928519551542,True
high,152,6,8,1.0495133749525434,True
high,153,6,9,0.9367588948739412,True
high,154,6,10,0.9357729636751845,True
high,155,6,11,1.0620702656153496,True
high,156,6,12,1.0777182892595516,True
high,157,6,13,0.9466119011483559,True
high,158,6,14,1.1274029064300617,True
high,159,6,15,0.8840794089045743,True
high,160,6,16,0.903921110736884,True
high,161,6,17,0.987458808916242,True
high,162,6,18,0.8619594255025165,True
high,163,6,19,0.9241142373915723,True
high,164,6,20,0.8738908258680415,True
high,165,6,21,0.9095629961388655,True
high,166,6,22,0.8807875220574578,True
high,167,6,23,0.9050798561814078,True
high,172,7,4,1.0104196593901635,True
high,173,7,5,1.0382555264652764,True
high,174,7,6,0.9718983966948959,True
high,175,7,7,1.0316669027304544,True
high,176,7,8,0.8565465499775871,True
high,177,7,9,0.9416448810957663,True
high,178,7,10,0.931205136557056,True
high,179,7,11,1.0287939647976154,True
high,180,7,12,1.1136663367327386,True
high,181,7,13,0.9734691309181556,True
high,182,7,14,0.9803688608041011,True
high,183,7,15,0.9400855677552626,True
high,184,7,16,1.1044557175837224,True
high,185,7,17,0.9369641347784639,True
high,186,7,18,1.0034897907048779,True
high,187,7,19,0.9699760173954282,True
high,188,7,20,1.040074041599283,True
high,189,7,21,0.9774593070705956,True
high,190,7,22,1.0565297707368897,True
high,191,7,23,0.9798294408761321,True
high,193,8,1,0.9630878562254498,True
high,194,8,2,1.112600578719471,True
high,195,8,3,1.1019417589375127,True
high,196,8,4,1.0328555162829627,True
high,197,8,5,1.1434425213120802,True
high,198,8,6,1.0728224125869186,True
high,199,8,7,0.9818685986653883,True
high,200,8,8,0.8972003858832438,True
high,201,8,9,0.9868933142432035,True
high,202,8,10,0.9105055537678111,True
high,203,8,11,0.9832805247986959,True
high,204,8,12,0.9637320642047416,True
high,205,8,13,1.0091543937381973,True
high,206,8,14,0.8736647595272952,True
high,207,8,15,0.9627989411003137,True
high,208,8,16,1.0049806083294273,True
high,209,8,17,1.0314007085221601,True
high,210,8,18,0.9341340522895292,True
high,211,8,19,0.966985584653219,True
high,212,8,20,0.9499732377692467,True
high,213,8,21,0.9517038337764241,True
high,214,8,22,0.9561950488904242,True
high,215,8,23,0.9469909427789431,True
high,216,9,0,0.9956713417611729,True
high,217,9,1,1.0292693212855304,True
high,218,9,2,0.9484387600037598,True
high,219,9,3,1.036330744128602,True
high,220,9,4,0.9515958840773531,True
high,221,9,5,0.9391898459551398,True
high,222,9,6,0.9886024969015136,True
high,223,9,7,0.9704738812202803,True
high,224,9,8,0.9682561431697768,True
high,225,9,9,1.0494081946045615,True
high,226,9,10,1.0332291347226346,True
high,227,9,11,0.9496655046123943,True
high,228,9,12,0.9768295343900142,True
high,229,9,13,0.9725174432239673,True
high,230,9,14,1.0261029789679845,True
high,231,9,15,1.003608726383072,True
high,232,9,16,1.0876474198696444,True
high,233,9,17,0.9866850090227294,True
high,234,9,18,0.9494755775266536,True
high,235,9,19,1.0179600126448696,True
high,236,9,20,0.9433223232866828,True
high,237,9,21,1.0171178151483224,True
high,238,9,22,0.9425412680336006,True
high,239,9,23,1.01623949069182,True
high,240,10,0,1.003235321955619,True
high,241,10,1,1.0757420536379003,True
high,242,10,2,1.000482164829057,True
high,243,10,3,0.8853063819275678,True
high,244,10,4,1.0282565303353923,True
high,245,10,5,0.9308220550370426,True
high,246,10,6,0.9696308759385095,True
high,247,10,7,1.044231439455744,True
high,248,10,8,0.961427503977591,True
high,249,10,9,1.0453565454050218,True
high,250,10,10,1.109939824973223,True
high,251,10,11,1.0588666613702526,True
high,252,10,12,1.0963839755204527,True
high,253,10,13,0.9441760750497256,True
high,254,10,14,1.1624704010806344,True
high,255,10,15,0.8692573632623731,True
high,256,10,16,0.8847316320106631,True
high,257,10,17,1.0230233197434064,True
high,258,10,18,0.9528088775743807,True
high,259,10,19,0.9911518628633944,True
high,260,10,20,0.9697099081013889,True
high,261,10,21,0.9856290652480016,True
high,262,10,22,0.9779165094136955,True
high,263,10,23,0.9840062564373152,True
high,264,11,0,0.9836605289217675,True
high,265,11,1,0.9349883269778994,True
high,266,11,2,0.8936637402544159,True
high,267,11,3,1.0244786610881509,True
high,268,11,4,1.0429712707948489,True
high,269,11,5,1.0027039485086544,True
high,270,11,6,0.9241060033215822,True
high,271,11,7,1.0844648432045874,True
high,272,11,8,1.1081157822688588,True
high,273,11,9,1.214149930625818,False
high,274,11,10,1.076390467047418,True
high,275,11,11,1.1212475533117456,True
high,276,11,12,0.9096256778735549,True
