direction,family,region,galaxies,radii,signed_mean_dex,rmse_dex
gas_to_stellar,mond_fixed,inner,54,394,0.044681945419087314,0.14430646552960358
gas_to_stellar,mond_fixed,middle,58,588,0.00819669316574052,0.08271015556626057
gas_to_stellar,mond_fixed,outer,50,579,0.010415395966606384,0.06539485079673446
gas_to_stellar,newton,inner,54,394,0.055968800459180026,0.16145984222657386
gas_to_stellar,newton,middle,58,588,-0.01954854312520058,0.10698345914582186
gas_to_stellar,newton,outer,50,579,-0.13728968620681495,0.17122503492151306
gas_to_stellar,mond_adjusted,inner,54,394,0.020306841625665546,0.13661961662719366
gas_to_stellar,mond_adjusted,middle,58,588,-0.02309922166281432,0.08386716604088526
gas_to_stellar,mond_adjusted,outer,50,579,-0.03029673687138942,0.07062474650871055
gas_to_stellar,coherence_n1,inner,54,394,0.08017279581688548,0.16416926348867078
gas_to_stellar,coherence_n1,middle,58,588,0.051333568040562085,0.1028494813448912
gas_to_stellar,coherence_n1,outer,50,579,0.10208541816547674,0.12831327463560332
gas_to_stellar,coherence_free,inner,54,394,0.09486809421539222,0.17000058765749174
gas_to_stellar,coherence_free,middle,58,588,0.06681820424599866,0.11094376938437389
gas_to_stellar,coherence_free,outer,50,579,0.10109869250140034,0.12665585354529227
gas_to_stellar,relay_passive,inner,54,394,0.05596880045918678,0.1614598422265762
gas_to_stellar,relay_passive,middle,58,588,-0.019548543125194055,0.1069834591458209
gas_to_stellar,relay_passive,outer,50,579,-0.13728968620680912,0.17122503492150862
gas_to_stellar,relay_active,inner,54,394,0.28306343010743584,0.32144526437854737
gas_to_stellar,relay_active,middle,58,588,0.19376804434648864,0.22893308294766365
gas_to_stellar,relay_active,outer,50,579,-0.04883128398311691,0.17097177109550674
stellar_to_gas,mond_fixed,inner,42,131,0.08933284394295146,0.1869665656480535
stellar_to_gas,mond_fixed,middle,44,229,0.04723702539276791,0.11910505228367022
stellar_to_gas,mond_fixed,outer,40,291,0.03127918954812129,0.07647827061601098
stellar_to_gas,newton,inner,42,131,-0.1140400525230972,0.2295634874284205
stellar_to_gas,newton,middle,44,229,-0.17680432744704916,0.22454491626995712
stellar_to_gas,newton,outer,40,291,-0.28393664974243815,0.30038829499566577
stellar_to_gas,mond_adjusted,inner,42,131,0.060364586281279865,0.1746116604979585
stellar_to_gas,mond_adjusted,middle,44,229,0.014594091191686363,0.1099888257362076
stellar_to_gas,mond_adjusted,outer,40,291,-0.0072185658049198215,0.06981546881778274
stellar_to_gas,coherence_n1,inner,42,131,-0.06267050901768616,0.18931726817093636
stellar_to_gas,coherence_n1,middle,44,229,-0.044968573747590994,0.12498798026382962
stellar_to_gas,coherence_n1,outer,40,291,-0.08140552130861296,0.12013821340726444
stellar_to_gas,coherence_free,inner,42,131,-0.06798919162406855,0.20490226247584073
stellar_to_gas,coherence_free,middle,44,229,-0.041746055623350105,0.12780011449095222
stellar_to_gas,coherence_free,outer,40,291,-0.030505370242723834,0.08946237115685264
stellar_to_gas,relay_passive,inner,42,131,-0.12474735101094266,0.22975048728959685
stellar_to_gas,relay_passive,middle,44,229,-0.17935027197633283,0.22553324530835744
stellar_to_gas,relay_passive,outer,40,291,-0.28413144365803655,0.3005262424513327
stellar_to_gas,relay_active,inner,42,131,-0.12474678571080897,0.22975039854096685
stellar_to_gas,relay_active,middle,44,229,-0.17935009997179588,0.22553317424736544
stellar_to_gas,relay_active,outer,40,291,-0.2841314299463621,0.30052623272244855
