i,j,x_center,y_center,x_start,x_stop,y_start,y_stop,subset,min_radius,max_radius
19,18,468,444,462,474,438,450,evaluation,1.930888961241445,2.355862751956076
20,18,492,444,486,498,438,450,training,1.8675628796133703,2.3151705913378375
19,19,468,468,462,474,462,474,training,1.4415693612876805,1.897246593027521
20,19,492,468,486,498,462,474,evaluation,1.151422840269662,1.5319261921129939
21,19,516,468,510,522,462,474,training,1.2732492953182253,1.9296392139043443
19,20,468,492,462,474,486,498,evaluation,1.3036767437827261,1.768706555780204
22,20,540,492,534,546,486,498,training,1.1900359147831552,1.9361611640492935
19,21,468,516,462,474,510,522,training,1.4343648029268186,2.1096378418751467
23,21,564,516,558,570,510,522,training,1.6949711085669394,2.331448600559328
20,22,492,540,486,498,534,546,training,1.0778921232695093,1.8234116275766612
22,22,540,540,534,546,534,546,training,0.8381292238904646,1.2936839593260383
23,22,564,540,558,570,534,546,evaluation,1.6101299219363827,2.0553449697369603
21,23,516,564,510,522,558,570,training,1.3885317030574449,1.9648938866206895
22,23,540,564,534,546,558,570,evaluation,1.3649324713829798,1.7704611937963055
23,23,564,564,558,570,558,570,training,1.7493444100458082,2.2050450685474225
