theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,0.0,-8573.497118585161,1661.7290097585064,-10242.129763840145,8573.497118585161,1661.7290097585064,10242.129763840145
newton,2.0,0.25,5.0,-7674.262053300419,-1844.208560395768,-9898.827328563493,7805.792536127433,-1168.3347807461084,9898.827328563493
newton,2.0,0.25,10.0,-6404.090968069995,-3844.0257309013004,-9252.805200124394,6974.306499426588,-2673.567616351418,9252.805200124394
newton,2.0,0.25,15.0,-5211.8514700445785,-4957.484583227876,-8473.004941970743,6317.353363640212,-3439.6359716765974,8473.004941970743
newton,2.0,0.25,20.0,-4765.675390977312,-4886.27673727564,-7880.384178162377,6149.475067974275,-2961.6412128700913,7880.384178162377
newton,2.0,0.25,25.0,-4394.856397580248,-4809.606334601394,-7743.42146575251,6015.720044821116,-2501.637102284686,7743.42146575251
newton,2.0,0.25,30.0,-4363.731016981882,-5214.188927290372,-7653.260730606775,6386.196379633599,-2333.754562674053,7653.260730606775
newton,2.0,0.25,35.0,-5556.424391980507,-5666.375484683517,-8057.324626864062,7801.655857159754,-1454.5889603813225,8057.324626864062
newton,2.0,0.25,40.0,-4699.59417390152,-7960.387781543201,-8556.561784198899,8716.93663610767,-3077.169919584434,8556.561784198899
newton,2.0,0.25,45.0,-3090.3349097701234,-9711.288823088782,-7475.282713199319,9052.114951703177,-4681.721410031232,7475.282713199319
newton,2.0,0.25,50.0,-2634.372982591598,-9054.67016846918,-6584.582366433692,8629.622079333849,-3802.1830096732574,6584.582366433692
newton,2.0,0.25,55.0,-1375.5401229263832,-9059.307271227506,-6206.095103890098,8209.927472834133,-4069.4286767431145,6206.095103890098
newton,2.0,0.25,60.0,-549.9437840779134,-9281.037731437216,-5232.002251829364,8312.586340945481,-4164.253578053792,5232.002251829364
newton,2.0,0.25,65.0,-929.6081398079962,-8455.880900093958,-4588.55069400291,8056.500082155291,-2731.0985914834478,4588.55069400291
newton,2.0,0.25,70.0,-1358.4124937138045,-7444.616547677924,-4340.503198256849,7460.255670228984,-1269.7186223152032,4340.503198256849
newton,2.0,0.25,75.0,-1530.8876884579902,-6551.8083473728275,-4559.132953125074,6724.783781309616,-217.00882473221372,4559.132953125074
newton,2.0,0.25,80.0,-1148.6271348218265,-6131.530902356555,-4839.639253731262,6237.836179255273,66.44774019004831,4839.639253731262
newton,2.0,0.25,85.0,-532.7447225889524,-5810.520071166886,-4927.494133563413,5834.841050044259,24.297275526746773,4927.494133563413
newton,2.0,0.25,90.0,-370.0132473135309,-5445.873755889392,-4865.073012244888,5445.873755889392,370.01324731353054,4865.073012244888
newton,2.0,0.25,95.0,114.23506255804875,-5934.78328843681,-5119.814577104355,5922.155887989316,403.45008189359277,5119.814577104355
newton,2.0,0.25,100.0,1135.4749441245444,-6473.392309818922,-4975.23428801535,6572.220089832966,5.868249598221382,4975.23428801535
newton,2.0,0.25,105.0,991.797360690571,-6936.331505681801,-4729.538269823859,6956.677786869725,837.2520116787374,4729.538269823859
newton,2.0,0.25,110.0,1210.4242260853453,-6922.14304767757,-5029.075132774722,6918.676209217663,1230.085644014571,5029.075132774722
newton,2.0,0.25,115.0,2261.66926249304,-7192.891590148494,-5052.702378176465,7474.796391809191,990.0788764189715,5052.702378176465
newton,2.0,0.25,120.0,2893.0823849508674,-7721.680409778485,-4949.042507240567,8133.712587248236,1355.357364280519,4949.042507240567
