galaxy,target,median_log10_gbar,spread_log10_gbar,quality,inclination_deg,hubble_type,gas_mass_fraction_proxy,log10_effective_stellar_surface_brightness,log10_disk_scale_length
CamB,-0.42527370630897987,-11.299695389498883,0.4659658645782194,2.0,65.0,10.0,0.2985409652076319,0.8970770032094203,-0.3279021420642826
D564-8,-0.1279394394580945,-11.815328348124869,0.40081563682430854,2.0,63.0,10.0,0.7003813328491012,1.0047511555910011,-0.21467016498923297
D631-7,-0.06917572910790867,-11.33324132826397,0.898475135998849,1.0,59.0,10.0,0.7973950795947901,1.3207692283386865,-0.1549019599857432
DDO064,-0.029313497167734914,-11.191753160532905,1.6336041303539037,1.0,60.0,10.0,0.7814162002617436,1.2407987711173312,-0.16115090926274472
DDO154,-0.032224990563183,-11.484040907836526,0.6132490208761201,2.0,64.0,10.0,0.9324410452517526,1.300812794118117,-0.431798275933005
DDO161,-0.1304300296817893,-11.26306669357461,0.7040475751248252,1.0,70.0,10.0,0.8699412362227896,1.316808752053022,0.08635983067474821
DDO168,-0.056535249255586686,-11.035300172482103,0.49705853439860626,2.0,63.0,10.0,0.8518897625583522,1.2607866686549762,0.00860017176191757
DDO170,-0.10337591017096841,-11.41221148409689,0.3358401805763016,2.0,66.0,10.0,0.7826348024498619,0.9726655922661109,0.290034611362518
ESO079-G014,0.018237541816029046,-10.56247501875989,0.3211960877975173,1.0,79.0,4.0,0.1390088107926385,2.196839145833112,0.7058637122839193
ESO116-G012,0.03635331050376092,-10.710863425583005,0.6675498298951403,1.0,74.0,7.0,0.40162670540571443,1.9568404901592336,0.17897694729316943
ESO444-G084,0.08425863170215209,-11.159279175201684,0.7566051366435449,2.0,32.0,10.0,0.8349221111369449,1.2968844755385471,-0.3372421683184259
F565-V2,0.036124289555708816,-11.46918998903639,0.14879585261860306,2.0,60.0,10.0,0.7688497068236889,0.8407332346118067,0.3364597338485295
F568-3,-0.006918581278150085,-11.143165172579831,0.239180867059142,1.0,40.0,7.0,0.5045325829489394,1.3767593954048798,0.69810054562339
F568-V1,0.13755582727557106,-11.212363792491118,0.5235121416779585,1.0,40.0,7.0,0.6340084163711623,1.4967913157000425,0.4548448600085102
F571-V1,-0.03652216099694679,-11.304713626281583,0.4063301381797988,2.0,30.0,7.0,0.6364687331652976,1.1846914308175989,0.39269695325966575
F574-1,0.03180088485801813,-11.202874507038057,0.350008608952896,1.0,65.0,7.0,0.5891480273825895,1.4768316285122607,0.6493348587121419
F583-1,0.06080661586732499,-11.550333961718684,0.3994883741297546,1.0,63.0,9.0,0.8515319612838721,1.04883008652835,0.37291200297010657
