galaxy,native_stored_channel_index,cached_channel_index,maximum_absolute_replay_error,relative_rms_replay_error,replay_pass,original_background_offset_jy_per_native_beam,gaussian_sigma_native_pixels,inner_coarse_pixels,outer_coarse_pixels,inner_coarse_mad_jy_per_native_beam,outer_coarse_mad_jy_per_native_beam,coarse_inner_to_outer_mad_ratio,native_inner_to_outer_mad_ratio,coarse_inner_tail_ratio,coarse_outer_tail_ratio,coarse_inner_above3_mad,coarse_inner_belowminus3_mad,coarse_outer_above3_mad,coarse_outer_belowminus3_mad
IC2574,0,82,0.0,0.0,True,8.419869538536908e-06,13.096012857470452,1972,3492,0.0001546697222087401,0.00013554253548510447,1.1411157512671557,1.0074021144371228,1.0921033146662111,0.9400748112921918,0.0,0.0,0.004009163802978236,0.000286368843069874
IC2574,82,0,0.0,0.0,True,-1.6372649091208993e-05,13.096012857470452,1972,3492,0.00014970837816260488,0.00013571035497727364,1.1031463161943345,1.0054868889934354,1.0127384208228063,0.9813268919658682,0.0,0.0,0.0,0.0
NGC2903,0,86,0.0,0.0,True,3.0226757301205736e-06,12.883164197385252,1972,3492,0.00013854402418069737,0.0001300048981176002,1.0656831103038351,1.0018220205044404,1.247372679657031,0.9876026111380148,0.0,0.0,0.0,0.001145475372279496
NGC2903,1,85,0.0,0.0,True,1.0898056970347137e-05,12.883164197385252,1972,3492,0.00015989829118559298,0.00013042298280224304,1.2259978092054724,1.0133611499127864,1.22285010075379,1.11837349701711,0.0,0.0,0.000572737686139748,0.0
NGC2903,2,84,0.0,0.0,True,-3.5667404133642556e-05,12.883164197385252,1972,3492,0.0001377393417402715,0.0001238245382476719,1.1123751696514903,1.0303949680459197,1.0630039307324002,1.1070016270445144,0.005070993914807302,0.0005070993914807302,0.000572737686139748,0.000286368843069874
NGC2903,84,2,0.0,0.0,True,-2.3548258214779484e-06,12.883164197385252,1972,3492,0.00015079112749561284,0.00012224879012327343,1.2334774629962213,1.0623881869466099,1.0363104292307543,0.9846517567507868,0.02434077079107505,0.0,0.0,0.001718213058419244
NGC2903,85,1,0.0,0.0,True,-1.8721431880716352e-05,12.883164197385252,1972,3492,0.00014190690767221776,0.00011712292886276347,1.2116065492051897,1.0391477000437446,1.1749414194112184,0.8265637998251574,0.011663286004056795,0.0,0.0,0.000572737686139748
NGC2903,86,0,0.0,0.0,True,-2.22543118585469e-05,12.883164197385252,1972,3492,0.00012149569953694828,0.00011241166123046116,1.0808104622514514,1.0298973756840726,1.0380220539666891,0.9571185536691492,0.0,0.0,0.0028636884306987398,0.003436426116838488
NGC2976,0,41,0.0,0.0,True,-2.1954666575028602e-06,13.426378890759453,1972,3492,3.547091599124238e-05,3.631654030504003e-05,0.9767151742237877,1.000114004896949,1.0662581036333671,0.9570806872787232,0.0,0.0,0.000572737686139748,0.0
NGC2976,41,0,0.0,0.0,True,5.935945441695868e-07,13.426378890759453,1972,3492,3.564306997584526e-05,3.681490428653234e-05,0.9681695679128586,0.9571766782401164,1.1099336720872865,1.1679041268814971,0.0,0.0030425963488843813,0.0,0.000859106529209622
