group,branch,kind,amplitude,center,continuum,threshold,mean_retention,sd,minimum,maximum,mean_paired_flux
empirical,boxcar_independent,rotation,5,10,actual,per_channel,0.7710862166537176,0.10404929162329817,0.6013501021063128,0.9345347916998864,0.9394687473559092
empirical,boxcar_independent,rotation,5,10,actual,fixed_global,0.769166071597858,0.10070061446190938,0.6069123010391924,0.918031666401806,0.9386290901762625
empirical,boxcar_independent,rotation,5,10,source_disabled,per_channel,0.7710862166537176,0.10404929162329817,0.6013501021063128,0.9345347916998864,0.9394687473559244
empirical,boxcar_independent,rotation,5,10,source_disabled,fixed_global,0.769166071597858,0.10070061446190938,0.6069123010391924,0.918031666401806,0.9386290901762795
empirical,boxcar_independent,rotation,5,20,actual,per_channel,0.4529908263771736,0.2624041346323924,0.07064293821417064,0.8568343882647611,0.5492795594134311
empirical,boxcar_independent,rotation,5,20,actual,fixed_global,0.6314811330667385,0.21512573122861814,0.23382238736115457,0.8821320434028154,0.773645123451684
empirical,boxcar_independent,rotation,5,20,source_disabled,per_channel,0.4529908263771736,0.2624041346323924,0.07064293821417064,0.8568343882647611,0.5492795594134311
empirical,boxcar_independent,rotation,5,20,source_disabled,fixed_global,0.6314811330667385,0.21512573122861814,0.23382238736115457,0.8821320434028154,0.773645123451684
empirical,boxcar_independent,rotation,5,30,actual,per_channel,0.7883405772234001,0.08659786030580395,0.6182514693101768,0.8925040945383816,0.9575596824445065
empirical,boxcar_independent,rotation,5,30,actual,fixed_global,0.7959006252455442,0.08397803259705516,0.6070867164225501,0.8928761120076537,0.9705633412785657
empirical,boxcar_independent,rotation,5,30,source_disabled,per_channel,0.7883405772234001,0.08659786030580395,0.6182514693101768,0.8925040945383816,0.9575596824445065
empirical,boxcar_independent,rotation,5,30,source_disabled,fixed_global,0.7959006252455442,0.08397803259705516,0.6070867164225501,0.8928761120076537,0.9705633412785657
empirical,boxcar_independent,rotation,10,10,actual,per_channel,0.9358683781271688,0.028097753230213306,0.8850568914836003,0.9712356013366175,1.0441505681160042
empirical,boxcar_independent,rotation,10,10,actual,fixed_global,0.9350111344986657,0.02695236510124523,0.8847360591834733,0.970541666056206,1.0428958473831678
empirical,boxcar_independent,rotation,10,10,source_disabled,per_channel,0.9358683781271688,0.028097753230213306,0.8850568914836003,0.9712356013366175,1.0441505681160546
empirical,boxcar_independent,rotation,10,10,source_disabled,fixed_global,0.9350111344986657,0.02695236510124523,0.8847360591834733,0.970541666056206,1.042895847383219
