detector,group,branch,center,shift,amplitude,kind,mean_true_full_retention_difference
native_core,empirical,boxcar_independent,10,0,5,warp,-0.009807570679102817
native_core,empirical,boxcar_independent,10,0,10,warp,-0.0031977158304733466
native_core,empirical,boxcar_independent,10,-4,5,warp,-0.0033000624848048
native_core,empirical,boxcar_independent,10,-4,10,warp,-0.0055883417360030885
native_core,empirical,boxcar_independent,10,4,5,warp,-0.002472676891021708
native_core,empirical,boxcar_independent,10,4,10,warp,-0.004818089148169169
native_core,empirical,boxcar_independent,10,0,5,streaming,-0.03752077614460997
native_core,empirical,boxcar_independent,10,0,10,streaming,-0.010355185797823352
native_core,empirical,boxcar_independent,10,-4,5,streaming,-0.03514885682813579
native_core,empirical,boxcar_independent,10,-4,10,streaming,-0.01680454456632474
native_core,empirical,boxcar_independent,10,4,5,streaming,-0.029762661576115512
native_core,empirical,boxcar_independent,10,4,10,streaming,-0.01745799695042305
native_core,empirical,boxcar_independent,36,0,5,warp,0.0006285046383079362
native_core,empirical,boxcar_independent,36,0,10,warp,-0.000654581597328785
native_core,empirical,boxcar_independent,36,-4,5,warp,-0.008370505910064996
native_core,empirical,boxcar_independent,36,-4,10,warp,-0.00737764598253543
native_core,empirical,boxcar_independent,36,4,5,warp,-0.007029373771732461
native_core,empirical,boxcar_independent,36,4,10,warp,-0.0052916689097266545
native_core,empirical,boxcar_independent,36,0,5,streaming,-0.030372498865936293
native_core,empirical,boxcar_independent,36,0,10,streaming,-0.016064298843225466
native_core,empirical,boxcar_independent,36,-4,5,streaming,-0.03882037765044022
native_core,empirical,boxcar_independent,36,-4,10,streaming,-0.014368392798318919
native_core,empirical,boxcar_independent,36,4,5,streaming,-0.03410322515138331
native_core,empirical,boxcar_independent,36,4,10,streaming,-0.01895783952453811
native_core,empirical,boxcar_independent,61,0,5,warp,-0.0031102466476608526
native_core,empirical,boxcar_independent,61,0,10,warp,-0.006328209862340728
native_core,empirical,boxcar_independent,61,-4,5,warp,-0.0053678250222230495
native_core,empirical,boxcar_independent,61,-4,10,warp,-0.0036812453568504377
native_core,empirical,boxcar_independent,61,4,5,warp,-0.007540416303702946
native_core,empirical,boxcar_independent,61,4,10,warp,-0.004051214194573993
native_core,empirical,boxcar_independent,61,0,5,streaming,-0.030675989315532892
native_core,empirical,boxcar_independent,61,0,10,streaming,-0.01446473944870963
native_core,empirical,boxcar_independent,61,-4,5,streaming,-0.024951120930154724
native_core,empirical,boxcar_independent,61,-4,10,streaming,-0.01932412522474758
native_core,empirical,boxcar_independent,61,4,5,streaming,-0.04034074638992252
native_core,empirical,boxcar_independent,61,4,10,streaming,-0.012657281986090507
native_core,empirical,boxcar_hanning_full,10,0,5,warp,-0.009624539614960903
native_core,empirical,boxcar_hanning_full,10,0,10,warp,-0.003590456032914635
native_core,empirical,boxcar_hanning_full,10,-4,5,warp,-0.006619823096698008
native_core,empirical,boxcar_hanning_full,10,-4,10,warp,-0.007476239069049595
native_core,empirical,boxcar_hanning_full,10,4,5,warp,-0.005438883791642035
native_core,empirical,boxcar_hanning_full,10,4,10,warp,-0.0049454935924279075
native_core,empirical,boxcar_hanning_full,10,0,5,streaming,-0.036401225469263665
native_core,empirical,boxcar_hanning_full,10,0,10,streaming,-0.011891950689946085
native_core,empirical,boxcar_hanning_full,10,-4,5,streaming,-0.034309860147631654
native_core,empirical,boxcar_hanning_full,10,-4,10,streaming,-0.017192020600431457
native_core,empirical,boxcar_hanning_full,10,4,5,streaming,-0.028202474288614998
native_core,empirical,boxcar_hanning_full,10,4,10,streaming,-0.016683281965467756
native_core,empirical,boxcar_hanning_full,36,0,5,warp,-0.0048037632123329455
native_core,empirical,boxcar_hanning_full,36,0,10,warp,-0.0025363361425385644
native_core,empirical,boxcar_hanning_full,36,-4,5,warp,-0.0069047052241763
native_core,empirical,boxcar_hanning_full,36,-4,10,warp,-0.006249676778623314
native_core,empirical,boxcar_hanning_full,36,4,5,warp,-0.006792436985065375
