group,branch,center,amplitude,kind,mean_retention_difference,sd,minimum,maximum,transfer_gate_pass
empirical,boxcar_independent,10,5,warp,-0.013981366726290542,0.008085128516657257,-0.027353816836188982,-0.0019906727171742356,True
empirical,boxcar_independent,10,5,streaming,-0.07487857110100828,0.037719447573480946,-0.13121858368839467,-0.022164543174813645,False
empirical,boxcar_independent,10,10,warp,-0.004288586113421172,0.0033347492853482963,-0.011114509418316931,0.0011816919797459358,True
empirical,boxcar_independent,10,10,streaming,-0.017958902701999086,0.012208705437201758,-0.04424641318183631,0.005908246924483551,True
empirical,boxcar_independent,20,5,warp,-0.015879227745079678,0.009934392287010551,-0.027481813706570345,-3.293410577565048e-05,True
empirical,boxcar_independent,20,5,streaming,-0.06402040051938943,0.0723750759234215,-0.16099948018070664,0.103821888106675,False
empirical,boxcar_independent,20,10,warp,-0.0076951207769920815,0.0052860827681130975,-0.015555662115852131,0.00045017451544082654,True
empirical,boxcar_independent,20,10,streaming,-0.019883404871206756,0.027801777301363517,-0.06376459017115965,0.04686934349086891,True
empirical,boxcar_independent,30,5,warp,-0.012147300111439802,0.008632161905571334,-0.02547354899391896,0.004194997147490054,True
empirical,boxcar_independent,30,5,streaming,-0.054575525200990876,0.023650502148093302,-0.09034233085637455,-0.012316569055981774,False
empirical,boxcar_independent,30,10,warp,-0.003994262529812516,0.002732985801744221,-0.010660523060634142,-0.0003627953054680111,True
empirical,boxcar_independent,30,10,streaming,-0.008272615800129085,0.013587149179690129,-0.02926154408185122,0.015368304548401546,True
empirical,boxcar_hanning_full,10,5,warp,-0.013700535760047918,0.007937403808298393,-0.027290343140747853,-0.005459586938402539,True
empirical,boxcar_hanning_full,10,5,streaming,-0.07065102737015162,0.032673446592397855,-0.11745516302145498,-0.023314392671256012,False
empirical,boxcar_hanning_full,10,10,warp,-0.0032301205432191484,0.0037001210976866676,-0.009935841603611939,0.003542975476956367,True
empirical,boxcar_hanning_full,10,10,streaming,-0.016264412803687872,0.01744083274937819,-0.04851729902654156,0.015163490610447083,True
empirical,boxcar_hanning_full,20,5,warp,-0.012577401140393282,0.013937908312390331,-0.03711189398265594,0.011927630341183562,True
empirical,boxcar_hanning_full,20,5,streaming,-0.0548827931636806,0.06870640153477965,-0.1510839560480191,0.10832714101652456,False
empirical,boxcar_hanning_full,20,10,warp,-0.007345396270185212,0.005177214194423929,-0.01419817194889672,0.0029261095449373276,True
empirical,boxcar_hanning_full,20,10,streaming,-0.023438896352514466,0.02477807054255808,-0.06664673727864945,0.0251431993611424,True
empirical,boxcar_hanning_full,30,5,warp,-0.0106466735063707,0.008220287075808304,-0.02107881581887583,0.006204452594378407,True
empirical,boxcar_hanning_full,30,5,streaming,-0.05498310497508879,0.021699746845354615,-0.10431607721699432,-0.020991719988622703,False
empirical,boxcar_hanning_full,30,10,warp,-0.004521757824071493,0.0025881744787141494,-0.009735942629225947,-0.000611306285710711,True
empirical,boxcar_hanning_full,30,10,streaming,-0.011492298460917297,0.011939843222176245,-0.03171264152206621,0.010697257339453814,True
empirical,boxcar_hanning_decimated,10,5,warp,-0.013851955055707391,0.00847604106810291,-0.028066248048172926,-0.0015923866987980206,True
empirical,boxcar_hanning_decimated,10,5,streaming,-0.07411840618052287,0.03691246800493438,-0.1297523253452757,-0.023505743630758524,False
empirical,boxcar_hanning_decimated,10,10,warp,-0.004029987807788071,0.0030662309159526207,-0.009837984220799512,0.0002363419631864483,True
empirical,boxcar_hanning_decimated,10,10,streaming,-0.017740938405496547,0.012753727859058083,-0.04494216845238552,0.0065752810973684905,True
empirical,boxcar_hanning_decimated,20,5,warp,-0.015199922566453111,0.009407767593451815,-0.028893341779260263,-0.00043718993895169866,True
empirical,boxcar_hanning_decimated,20,5,streaming,-0.06263560793202118,0.07295843336527551,-0.15810144271552656,0.11016549775246882,False
empirical,boxcar_hanning_decimated,20,10,warp,-0.00766055134398938,0.0048356942064226634,-0.015138105005486513,0.00037043311815998514,True
empirical,boxcar_hanning_decimated,20,10,streaming,-0.020107978775175717,0.027641966988217335,-0.06408709642910815,0.04483670433892306,True
empirical,boxcar_hanning_decimated,30,5,warp,-0.011223839568344449,0.009446439980295806,-0.02838913411709798,0.009067571419911324,True
empirical,boxcar_hanning_decimated,30,5,streaming,-0.05427296675593774,0.02257402078229004,-0.09190113162863855,-0.015059781541670758,False
empirical,boxcar_hanning_decimated,30,10,warp,-0.004177266322541738,0.0025657877644821962,-0.010223938578428182,-0.0012501909869981898,True
empirical,boxcar_hanning_decimated,30,10,streaming,-0.008595195200841501,0.013104436368710646,-0.029891708664666616,0.011442669564804775,True
gaussian,boxcar_independent,10,5,warp,-0.014618516741679147,0.011432426714032088,-0.033797271658565164,0.004290529553317546,True
gaussian,boxcar_independent,10,5,streaming,-0.08047676904496472,0.04609324935197279,-0.15133141221435342,-0.024190134802231644,False
gaussian,boxcar_independent,10,10,warp,-0.0035161249253629484,0.003907827056750694,-0.013458781733670988,0.0017324497957924567,True
