group,branch,draw,center,kind,amplitude,peak_selected,true_flux_fraction_retained,reference_flux_jy_kms,post_continuum_flux_over_reference,selected_noisy_flux_over_reference,paired_selected_flux_difference_over_reference,selected_voxel_fraction
noiseless,boxcar_independent,0,10,rotation,5,True,0.8148591983636015,0.25948325725103355,0.999999999999415,0.8148591983635942,0.8148591983635942,0.009812673735856177
noiseless,boxcar_independent,0,10,rotation,10,True,0.9589419700084619,0.5189665145020671,0.999999999999415,0.9589419700084157,0.9589419700084157,0.02161763958746126
noiseless,boxcar_independent,0,10,warp,5,True,0.805922460777188,0.2594832572510335,0.999999999999415,0.8059224607771786,0.8059224607771786,0.009805415841081137
noiseless,boxcar_independent,0,10,warp,10,True,0.9554614950577799,0.518966514502067,0.999999999999415,0.9554614950577281,0.9554614950577281,0.021672073798274072
noiseless,boxcar_independent,0,10,streaming,5,True,0.7922785804262319,0.25948325725103305,0.9999999999810905,0.792278580426007,0.792278580426007,0.009671144787742867
noiseless,boxcar_independent,0,10,streaming,10,True,0.9356889210701879,0.5189665145020661,0.9999999999810905,0.9356889210683903,0.9356889210683903,0.022383347486228146
noiseless,boxcar_independent,0,20,rotation,5,True,0.6587802360203319,0.2594832572510335,1.0000000000000002,0.6587802360203319,0.6587802360203319,0.005447050028668685
noiseless,boxcar_independent,0,20,rotation,10,True,0.9495336607419961,0.518966514502067,1.0000000000000002,0.9495336607419961,0.9495336607419961,0.01764031325073849
noiseless,boxcar_independent,0,20,warp,5,True,0.6423861651365104,0.25948325725103355,1.0,0.6423861651365104,0.6423861651365104,0.005345439501818102
noiseless,boxcar_independent,0,20,warp,10,True,0.9435683307463789,0.5189665145020671,1.0,0.9435683307463789,0.9435683307463789,0.017553218513437992
noiseless,boxcar_independent,0,20,streaming,5,True,0.5998507888687284,0.25948325725103355,0.9999999999999997,0.5998507888687284,0.5998507888687284,0.0049970605526161085
noiseless,boxcar_independent,0,20,streaming,10,True,0.9182484069678037,0.5189665145020671,0.9999999999999997,0.9182484069678037,0.9182484069678037,0.01791248430480255
noiseless,boxcar_independent,0,30,rotation,5,True,0.8068340604841102,0.2594832572510335,1.0,0.8068340604841102,0.8068340604841102,0.00954413162917964
noiseless,boxcar_independent,0,30,rotation,10,True,0.9585788253398362,0.518966514502067,1.0,0.9585788253398362,0.9585788253398362,0.02131643695429704
noiseless,boxcar_independent,0,30,warp,5,True,0.8010622035972614,0.2594832572510335,1.0,0.8010622035972614,0.8010622035972614,0.009634855313867659
noiseless,boxcar_independent,0,30,warp,10,True,0.9550920723898304,0.518966514502067,1.0,0.9550920723898304,0.9550920723898304,0.02142167642853514
noiseless,boxcar_independent,0,30,streaming,5,True,0.7923285266374847,0.25948325725103355,0.9999999999999921,0.7923285266374845,0.7923285266374845,0.009417118470616413
noiseless,boxcar_independent,0,30,streaming,10,True,0.9338859655329779,0.5189665145020671,0.9999999999999921,0.9338859655329774,0.9338859655329774,0.02195150274711317
empirical,boxcar_independent,0,10,rotation,5,True,0.86673618123326,0.25948325725103355,0.999999999999415,1.236411002908971,1.236411002908971,0.01645727640240672
empirical,boxcar_independent,0,10,rotation,10,True,0.9557231727420213,0.5189665145020671,0.999999999999415,1.2347420398431914,1.2347420398431914,0.027474760670919793
empirical,boxcar_independent,0,10,warp,5,True,0.8568357537191004,0.2594832572510335,0.999999999999415,1.221072490182459,1.221072490182459,0.016348407980781094
empirical,boxcar_independent,0,10,warp,10,True,0.9569048647217673,0.518966514502067,0.999999999999415,1.2394263320757184,1.2394263320757184,0.027710642251108645
empirical,boxcar_independent,0,10,streaming,5,True,0.8245079233139861,0.25948325725103305,0.9999999999810905,1.1663300463335786,1.1663300463335786,0.01609801061104216
empirical,boxcar_independent,0,10,streaming,10,True,0.9501907572753028,0.5189665145020661,0.9999999999810905,1.2520662786012284,1.2520662786012284,0.029122302784854226
empirical,boxcar_independent,0,20,rotation,5,True,0.5235929579449313,0.2594832572510335,1.0000000000000002,0.575336707919798,0.575336707919798,0.004895450025765527
empirical,boxcar_independent,0,20,rotation,10,True,0.8990350055022919,0.518966514502067,1.0000000000000002,0.9591638396756687,0.9591638396756687,0.016453647455019198
empirical,boxcar_independent,0,20,warp,5,True,0.4985768566579929,0.25948325725103355,1.0,0.5518802868849437,0.5518802868849437,0.004931739499640734
empirical,boxcar_independent,0,20,warp,10,True,0.8934400584554746,0.5189665145020671,1.0,0.9648491673859352,0.9648491673859352,0.016714931666920695
empirical,boxcar_independent,0,20,streaming,5,True,0.3625934777642247,0.25948325725103355,0.9999999999999997,0.4754819800239014,0.4754819800239014,0.004358365812412452
empirical,boxcar_independent,0,20,streaming,10,True,0.9011518991513108,0.5189665145020671,0.9999999999999997,0.9731909350049017,0.9731909350049017,0.01721209745901104
empirical,boxcar_independent,0,30,rotation,5,True,0.8538365412751183,0.2594832572510335,1.0,1.0247247608430903,1.0247247608430903,0.012044476379181455
empirical,boxcar_independent,0,30,rotation,10,True,0.9619099914971877,0.518966514502067,1.0,1.132715705232028,1.132715705232028,0.02314179749021999
empirical,boxcar_independent,0,30,warp,5,True,0.848302299205443,0.2594832572510335,1.0,1.024338032988897,1.024338032988897,0.0120698790108941
empirical,boxcar_independent,0,30,warp,10,True,0.9600981074035733,0.518966514502067,1.0,1.1284403952809252,1.1284403952809252,0.02314179749021999
empirical,boxcar_independent,0,30,streaming,5,True,0.8185070047706494,0.25948325725103355,0.9999999999999921,1.000389107632688,1.000389107632688,0.011674323745654335
empirical,boxcar_independent,0,30,streaming,10,True,0.9369550380803796,0.5189665145020671,0.9999999999999921,1.1096508506913703,1.1096508506913703,0.023145426437607506
empirical,boxcar_independent,1,10,rotation,5,True,0.6013501021063128,0.25948325725103355,0.999999999999415,0.6039894254078306,0.6039894254078306,0.0059188131890463855
empirical,boxcar_independent,1,10,rotation,10,True,0.8850568914836003,0.5189665145020671,0.999999999999415,0.8563179741281903,0.8563179741281903,0.016428244823306553
empirical,boxcar_independent,1,10,warp,5,True,0.5866517059874703,0.2594832572510335,0.999999999999415,0.5964493995143867,0.5964493995143867,0.0057954289778706786
empirical,boxcar_independent,1,10,warp,10,True,0.8807522729580319,0.518966514502067,0.999999999999415,0.8501453536795925,0.8501453536795925,0.01641735798114399
empirical,boxcar_independent,1,10,streaming,5,True,0.47729773785208013,0.25948325725103305,0.9999999999810905,0.4874598371656324,0.4874598371656324,0.004684971077289321
empirical,boxcar_independent,1,10,streaming,10,True,0.869863399537474,0.5189665145020661,0.9999999999810905,0.8455726625069345,0.8455726625069345,0.015934707978603725
empirical,boxcar_independent,1,20,rotation,5,True,0.4920707604932035,0.2594832572510335,1.0000000000000002,0.5824416747057937,0.5824416747057937,0.004623278971701468
empirical,boxcar_independent,1,20,rotation,10,True,0.9331494808308731,0.518966514502067,1.0000000000000002,0.9713609583957493,0.9713609583957493,0.01764031325073849
empirical,boxcar_independent,1,20,warp,5,True,0.4698004245621594,0.25948325725103355,1.0,0.5616706794749644,0.5616706794749644,0.004434573707550388
empirical,boxcar_independent,1,20,warp,10,True,0.9288753150621772,0.5189665145020671,1.0,0.963421144321086,0.963421144321086,0.017647571145513533
empirical,boxcar_independent,1,20,streaming,5,True,0.3597886990346058,0.25948325725103355,0.9999999999999997,0.43146982419102387,0.43146982419102387,0.0032406500170560526
empirical,boxcar_independent,1,20,streaming,10,True,0.8953521457193317,0.5189665145020671,0.9999999999999997,0.925319511937951,0.925319511937951,0.016733076403858297
empirical,boxcar_independent,1,30,rotation,5,True,0.7499305566305001,0.2594832572510335,1.0,0.7005405340526648,0.7005405340526648,0.00767159477721892
empirical,boxcar_independent,1,30,rotation,10,True,0.9533444773915917,0.518966514502067,1.0,1.0205103033192227,1.0205103033192227,0.02311276591111982
empirical,boxcar_independent,1,30,warp,5,True,0.7244570076365812,0.2594832572510335,1.0,0.6468874401554746,0.6468874401554746,0.00696757898403989
empirical,boxcar_independent,1,30,warp,10,True,0.947687128465204,0.518966514502067,1.0,0.9930305145805113,0.9930305145805113,0.02231076853847773
empirical,boxcar_independent,1,30,streaming,5,True,0.6602404920428101,0.25948325725103355,0.9999999999999921,0.5809183607478101,0.5809183607478101,0.006045826347609613
empirical,boxcar_independent,1,30,streaming,10,True,0.9352417458581918,0.5189665145020671,0.9999999999999921,0.9677129085152633,0.9677129085152633,0.02226722116982748
empirical,boxcar_independent,2,10,rotation,5,True,0.7356016417725701,0.25948325725103355,0.999999999999415,0.8489741867549835,0.8086540963913152,0.007646192145506274
