galaxy,spatial_surrogate,spectral_surrogate,channels,replicates,observed_median_channel_mad_ratio,reference_q025,reference_median,reference_q975,upper_tail_reference_count,upper_tail_reference_fraction,observed_outside_reference_interval,native_correlation_filter_sigma_pixels,extra_filter_sigma_pixels,conditional_gaussian_surrogate_only,observational_p_value
IC2574,independent_native_pixels,independent_parent_channels,2,256,1.122131033730745,0.8919406086997752,1.0038834878531173,1.1290042331363395,12,0.05058365758754864,False,0.0,13.096012857470452,True,False
IC2574,independent_native_pixels,hanning_parent_channels,2,256,1.122131033730745,0.8770803968654052,0.9938219854504925,1.1421878596431265,9,0.038910505836575876,False,0.0,13.096012857470452,True,False
IC2574,circular_native_major_beam_filter,independent_parent_channels,2,256,1.122131033730745,0.863556868760408,0.985095932396586,1.1456479752334012,9,0.038910505836575876,False,3.6275892123428837,13.096012857470452,True,False
IC2574,circular_native_major_beam_filter,hanning_parent_channels,2,256,1.122131033730745,0.871179266428704,1.003072848611677,1.1591497326837445,14,0.058365758754863814,False,3.6275892123428837,13.096012857470452,True,False
NGC2903,independent_native_pixels,independent_parent_channels,6,256,1.16199085942834,0.9215115186711158,0.9973945839525376,1.0903994102786743,0,0.0038910505836575876,True,0.0,12.883164197385252,True,False
NGC2903,independent_native_pixels,hanning_parent_channels,6,256,1.16199085942834,0.9048132941843476,0.9923651522134704,1.0840724044603058,0,0.0038910505836575876,True,0.0,12.883164197385252,True,False
NGC2903,circular_native_major_beam_filter,independent_parent_channels,6,256,1.16199085942834,0.911783347375789,0.984721909250949,1.094214559696235,0,0.0038910505836575876,True,4.323081831257498,12.883164197385252,True,False
NGC2903,circular_native_major_beam_filter,hanning_parent_channels,6,256,1.16199085942834,0.8882325680177939,0.9934889296697719,1.09096593265867,0,0.0038910505836575876,True,4.323081831257498,12.883164197385252,True,False
NGC2976,independent_native_pixels,independent_parent_channels,2,256,0.9724423710683232,0.8743593128642876,0.9973936499966926,1.1513762065511666,163,0.6381322957198443,False,0.0,13.426378890759453,True,False
NGC2976,independent_native_pixels,hanning_parent_channels,2,256,0.9724423710683232,0.8835047096190878,1.00375906040507,1.119935431186525,171,0.669260700389105,False,0.0,13.426378890759453,True,False
NGC2976,circular_native_major_beam_filter,independent_parent_channels,2,256,0.9724423710683232,0.8727467632961532,1.0052781616150237,1.1494227368702854,173,0.6770428015564203,False,2.096975473940236,13.426378890759453,True,False
