plateifu,y,baseline,break,balmer,star_formation,all_population,crossing_proxy
10001-6103,2.1316411162161306,2.143527618483707,2.2504847714091345,2.2413350559592313,2.240160112714595,2.2734565554034045,2.1352311727928153
10001-9101,1.74719623867139,1.7655641962572959,1.7561176626033514,1.775832302874932,1.7672086342454918,1.7611718819725624,1.7632816806805942
10214-1902,1.884434755520393,1.9691254764443094,1.9119383320833654,1.886970050162252,1.9712362741205105,1.8646458484656465,1.9860610234918505
10218-6103,1.929735436574831,1.7843036591264019,1.7853932187113482,1.786151752352848,1.8056212127726636,1.816160907819304,1.7917823279849296
10220-1902,2.005726041848597,2.0686907753150745,2.024699411470171,2.017898396765422,2.0573899415857517,2.012012923126724,2.0667926335604463
10221-3703,2.1549632346143164,2.0566382630659215,2.1223780192546036,2.1285497244244995,2.1293036403773358,2.1167441253502193,2.0595677255099227
10494-6104,2.391865019284089,2.2334238938581716,2.296879395962413,2.3303804454154693,2.314769730895781,2.3109821534306763,2.251319276420838
10498-6101,2.1528827984623473,2.142516381691586,2.089652006411112,2.127399191318255,2.082375731991874,2.101194121517444,2.1285132432955134
10499-3703,1.8844317520252976,1.9024134363219134,1.896235615679953,1.897788605756087,1.9083918787014236,1.9038789476768838,1.9194634582870291
10499-6101,2.326292634185271,2.3638604361868087,2.355870390114313,2.346675948669948,2.373750145897736,2.3358848882932968,2.368845200461115
10503-1902,1.951749223244108,2.0002487951362986,1.9921354474862716,1.9744285496921181,2.024098052091698,1.9682364865969784,2.004265148251921
10504-6102,1.9171825832142928,1.8987809742702888,1.9030384797584514,1.908485449889004,1.9066755219971432,1.8807706871094456,1.9097812179688343
10506-6101,1.861590501118281,1.9240557468040382,1.930347872244009,1.9322041507434358,1.9311145753318868,1.9280155117465865,1.9234836933278296
10506-9101,1.800308566939198,1.8353913702528202,1.834850267223099,1.8395548040610297,1.844245674246019,1.841796400389932,1.830837114708999
10506-9102,1.986290699493137,1.9268688027457528,1.912035812445626,1.9060861397736297,1.9241577032917991,1.9084012747361991,1.9200513587458896
10507-12705,1.9718767636371328,2.0113223025046194,2.005015286121375,2.006211462413853,1.9958071125712926,2.013472456588226,2.0110025875481026
10507-6101,2.2427227605581783,2.1712074494523623,2.1440750004229914,2.126278605342954,2.2383649378078707,2.148079610157418,2.165721577671457
10507-6102,1.801206826396585,1.7815108091857887,1.781722407669647,1.7865928810559746,1.7771705100098367,1.7830889148384088,1.7775369545450883
10514-12703,1.723190909795157,1.7322405777466297,1.729356406853456,1.7361643956479766,1.7462703336160765,1.7437701528608303,1.7355819734280697
10514-1901,1.939453204883993,2.0179947941953205,1.9853416761761356,1.97201499304445,2.038113165889276,1.972505259671653,2.0120894878916773
10514-6103,1.939607101007604,1.9780531001500647,1.9691842260468384,1.9630428044613148,1.9740549485414403,1.9790768980698146,1.9802616041319245
10516-6104,1.927347364329845,1.885609339927231,1.8921511723584494,1.891971935378455,1.882122396062815,1.8885011886766034,1.8962748095143367
10516-9102,1.8300338673126635,1.7206398053595293,1.7339111007113137,1.7351961046430664,1.7374909129309446,1.7461509380696387,1.7294468099578786
10518-6104,1.9430963455774701,1.9486456287407483,1.9282576657356354,1.9248502104337748,1.9462705049086095,1.945927080483769,1.9672634566912348
10518-9102,1.9404664784229824,1.9517846368507366,1.9609627774534657,1.9621570705493216,1.953136501589748,1.9631165021264547,1.957863115667949
10519-9102,2.097128147764901,2.0945125732310665,2.0800584407533274,2.098072134779051,2.090187282443837,2.079531595947885,2.106858216376881
10837-3702,2.3550392524182486,2.3024872202830164,2.2980127968195867,2.275323530190226,2.2897983999508122,2.2795393374681048,2.3018998067014707
11004-1901,2.0459528357084866,2.079294435363748,2.0802834054812718,2.0725020767016957,2.090867362415398,2.085532009770691,2.080431510750803
11007-9101,1.6920314776645282,1.7777074324454902,1.782199869458691,1.785296418897751,1.7809028080951181,1.7711035902040877,1.7755486976675283
11010-9102,1.9530552641755674,2.0166735766324075,2.0012726631019633,2.009502704979984,1.995995490226457,2.002323822157847,2.013308510394572
11013-6102,1.7920792353377881,1.7160895417702053,1.7319399176906356,1.741867476036228,1.7312932412434439,1.744506818540511,1.7180846834605745
11017-6101,1.824301664793917,1.8494119622365934,1.8654147220722737,1.862238901089184,1.8466087596697884,1.8694777630743897,1.8504602381382094
11019-1901,2.0451030370680368,2.0530897243264103,2.000894165705177,1.9967573876396532,2.0420403409114565,2.0050900293249536,2.0500984039183936
11742-3703,2.3858892770324513,2.242365755592563,2.2944078957123617,2.2991085184267788,2.2560543655337177,2.3102957772673967,2.249405211013641
11743-6101,1.8595940972658402,1.9278389473003086,1.9401123351397938,1.9395590248686168,1.9345905933035326,1.9518459653301752,1.929625447544099
11743-6104,1.896482620512642,1.9357972993856103,1.9413010697762194,1.937739429880524,1.9426305443437522,1.9410250725097975,1.937495373346715
11744-6101,2.3314862107969203,2.2793808566914016,2.295068335038557,2.300002371254464,2.341025777561706,2.2851135894233265,2.278830665156012
11744-6104,2.37472708888233,2.403432372785954,2.3729774567582465,2.3757146079360205,2.3898905401628383,2.3598851288956983,2.4002062928380514
11750-3704,2.306170595872537,2.3302506919099404,2.3216719305523137,2.353015328528621,2.3517294048012944,2.328525148472182,2.3239812839948506
11751-3702,1.8033776925873493,1.8744499847405924,1.8350344016377527,1.8161147687725074,1.8763336627419278,1.8081358200976831,1.8867076625758805
11758-12701,2.252455676034925,2.2078022177805914,2.31401282272274,2.2706338567946243,2.2620080155288314,2.306060917738642,2.1977891989110634
11824-3701,1.9887278708216556,2.044676227661128,2.0101874254295033,1.9916570976767392,2.023060345592085,1.9986832829137533,2.041251600770843
11826-6103,1.893991051160008,1.9423339453730841,1.9297770840477388,1.9454850928696883,1.9370257928361712,1.9342581268270769,1.9403755650099377
11831-6103,1.6795929516603627,1.9247710515491359,1.8169200511418069,1.8055958640908667,1.8530721650406055,1.766422284462423,1.9075159089846516
11832-3704,1.9255199048074465,1.990615139553498,1.9753206794937697,1.9451114336819968,1.9792951988204273,1.9463183295157738,1.994371188397416
11833-12702,1.8014081009662226,1.8359486012603408,1.8379257738639274,1.8505707773128863,1.8382447648413758,1.8521703993747436,1.8310497246931086
11834-1901,1.8346375424355663,2.0030781298859615,1.958436819223577,1.956923024648595,2.0190144394376768,1.9605858183028233,2.0056000539458374
11835-6102,2.1156368015023705,2.10002139304568,2.209709575217922,2.2054054021646015,2.1403832245358254,2.2312882061261843,2.108734612538767
11835-9102,2.084705653396597,2.0573756187589787,2.1073609283272443,2.0897346277486473,2.1037597442556386,2.0956233436690908,2.0495203662447907
11942-3701,1.99567015608948,2.0225116615019507,2.058231033224354,2.0483021743792778,2.0631444636442735,2.054102842539533,2.019842690819823
11943-12702,1.8888598984391416,1.7688320622564766,1.7763491541277998,1.7846155645076647,1.766404002284884,1.7868340492897001,1.7613354803765682
11944-6101,2.2919038398169196,2.271481533097975,2.3049220357385005,2.282524611280135,2.3217855334096495,2.308690979711601,2.2624543002678257
11944-6103,1.7246280788695834,1.7763927502961545,1.7764984712257355,1.7712433179979574,1.7799926075880004,1.771165798552197,1.7812348073243505
