model,galaxy,rar_chi_square,candidate_chi_square,absolute_gain,fractional_gain
Acceleration-only adjustment,CamB,973.7369268584,860.2524923195,113.48443453890002,0.11654527152938386
Acceleration-only adjustment,D564-8,109.7939620361,46.6686772919,63.125284744199995,0.574943135064609
Acceleration-only adjustment,D631-7,480.808503893,484.5776420721,-3.7691381790999685,-0.007839167045886442
Acceleration-only adjustment,DDO064,5.584811063593,5.984320988241,-0.39950992464799917,-0.07153508329984105
Acceleration-only adjustment,DDO161,4637.528979521,3541.412079999,1096.116899522,0.23635796226015507
Acceleration-only adjustment,DDO168,300.5865260231,307.3056734549,-6.719147431799968,-0.02235345516213725
Acceleration-only adjustment,DDO170,1219.383837196,818.711096108,400.67274108800007,0.32858623254295044
Acceleration-only adjustment,ESO079-G014,119.8828027567,95.18937181494,24.69343094176,0.205979760015078
Acceleration-only adjustment,ESO116-G012,193.2659643065,169.1345454559,24.1314188506,0.12486119290166398
Acceleration-only adjustment,ESO563-G021,1606.162756172,1431.29500644,174.867749732,0.10887299500628804
Acceleration-only adjustment,F561-1,241.1836488739,240.078484508,1.1051643659000092,0.004582252449782909
Acceleration-only adjustment,F563-1,47.21975974153,59.49234490698,-12.272585165450003,-0.25990359189939305
Acceleration-only adjustment,F563-V1,206.2056864229,179.8114894377,26.394196985199983,0.12799936530881623
Acceleration-only adjustment,F565-V2,7.657242481903,12.98491090597,-5.327668424067,-0.6957685402621535
Acceleration-only adjustment,F567-2,28.21807210951,18.84629017337,9.37178193614,0.3321198521206394
Acceleration-only adjustment,F568-1,82.85374704761,88.97637664999,-6.122629602380002,-0.07389683412702835
Acceleration-only adjustment,F568-3,50.06045212275,48.71412174362,1.346330379130002,0.026894091484206982
Acceleration-only adjustment,F568-V1,141.000779343,146.3487450656,-5.347965722600009,-0.03792862527086102
Acceleration-only adjustment,F571-8,527.4028458951,554.1314769179,-26.728631022800073,-0.05067972467504731
Acceleration-only adjustment,F571-V1,5.483267645783,2.816938144623,2.66632950116,0.4862665245258611
Acceleration-only adjustment,F574-2,110.4533455871,99.69714967374,10.756195913360003,0.09738225543270673
Acceleration-only adjustment,F579-V1,48.80719418056,48.50831543006,0.2988787505000019,0.006123661798592918
Acceleration-only adjustment,F583-1,91.2206059779,136.3361948855,-45.1155889076,-0.4945767288427151
Acceleration-only adjustment,F583-4,15.72900775533,10.94160889825,4.787398857080001,0.3043675056653032
Acceleration-only adjustment,KK98-251,441.0991829173,381.8935999728,59.20558294450001,0.13422283522025982
Acceleration-only adjustment,NGC0024,303.3718060333,340.9922699726,-37.62046393930001,-0.12400777920401261
Acceleration-only adjustment,NGC0055,1073.667501403,1102.761873711,-29.094372307999947,-0.0270981214109408
Acceleration-only adjustment,NGC0100,39.23855494788,43.84520529014,-4.606650342260004,-0.11740112112637559
Acceleration-only adjustment,NGC0247,113.3398812574,107.1170276687,6.222853588699991,0.054904359521672774
Acceleration-only adjustment,NGC0289,325.2227604244,269.5325793176,55.690181106800026,0.17123703468394103
Acceleration-only adjustment,NGC0300,60.15162372022,82.54046017401,-22.38883645378999,-0.37220668485901526
Acceleration-only adjustment,NGC0801,1129.408274232,1316.796675359,-187.38840112699995,-0.16591732626930192
Acceleration-only adjustment,NGC0891,616.4199387508,794.6998510156,-178.27991226479992,-0.2892182764660264
Acceleration-only adjustment,NGC1003,470.8041584632,450.8875491489,19.91660931429999,0.042303384446118385
Acceleration-only adjustment,NGC1090,1061.504771615,1265.799496216,-204.2947246010001,-0.19245766016687893
Acceleration-only adjustment,NGC1705,203.6323834224,214.4901487992,-10.857765376799989,-0.053320425731488104
Acceleration-only adjustment,NGC2403,5521.535774968,5427.507150501,94.02862446699964,0.01702943316844571
Acceleration-only adjustment,NGC2683,23.51396650001,21.05632027615,2.4576462238599994,0.10451857298763075
Acceleration-only adjustment,NGC2841,4313.597529762,4102.030752678,211.56677708400002,0.0490464804897255
Acceleration-only adjustment,NGC2915,228.1974285668,310.9969311569,-82.79950259010002,-0.3628415232815045
Acceleration-only adjustment,NGC2955,190.982927747,214.8152591938,-23.832331446799998,-0.12478775840305109
Acceleration-only adjustment,NGC2976,82.05935852738,106.0709918413,-24.01163331392,-0.29261297851735285
Acceleration-only adjustment,NGC2998,201.0386719591,237.7335296678,-36.69485770870003,-0.18252636346585774
Acceleration-only adjustment,NGC3109,134.2820946685,180.5352500897,-46.253155421200006,-0.3444476758825099
Acceleration-only adjustment,NGC3198,576.5895799647,425.9548920679,150.63468789679996,0.26125114488892104
Acceleration-only adjustment,NGC3521,31.28067637541,27.45745250946,3.8232238659499984,0.12222318405350936
Acceleration-only adjustment,NGC3741,28.4044824385,179.5143343096,-151.1098518711,-5.319929775107703
Acceleration-only adjustment,NGC3769,55.84765145288,56.48287076672,-0.6352193138399969,-0.011374145506833829
Acceleration-only adjustment,NGC3877,170.4730589134,186.8087207024,-16.335661789,-0.09582547467103576
Acceleration-only adjustment,NGC3893,8.951497772099,6.656546273103,2.2949514989959994,0.25637625763022065
Acceleration-only adjustment,NGC3917,48.58982454101,46.53403616725,2.0557883737600022,0.04230903060835111
Acceleration-only adjustment,NGC3949,15.82016408348,19.17439696135,-3.3542328778699986,-0.2120226351743477
Acceleration-only adjustment,NGC3972,18.98828760911,14.18696776697,4.80131984214,0.2528569158514575
Acceleration-only adjustment,NGC3992,83.16918221687,60.39264627666,22.776535940209996,0.2738578802039731
Acceleration-only adjustment,NGC4010,47.82693776115,55.14961102773,-7.322673266580004,-0.1531077173108967
Acceleration-only adjustment,NGC4051,79.95580747237,89.39245941451,-9.436651942140003,-0.1180233461515724
Acceleration-only adjustment,NGC4068,146.9145231429,152.4581622944,-5.5436391515000025,-0.03773377221602418
Acceleration-only adjustment,NGC4085,91.88965454237,99.82196136474,-7.932306822370009,-0.08632426426973289
Acceleration-only adjustment,NGC4088,430.6106425553,472.8917665075,-42.281123952200005,-0.09818875748471582
Acceleration-only adjustment,NGC4100,81.42553115145,56.93018617454,24.495344976910005,0.30083125808966615
