#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T07:41:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T07:41:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/690/A52/tablec1&-out=Group,RAdeg,DEdeg,Nmemb,zsp,LR195,D10&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36900052
#Name: J/A+A/690/A52
#Title: AXES-SDSS galaxy groups (Damsted+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/690/a52	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/690/a52	    IVOID of underlying data collection
#INFO	creator=Damsted S.	    First author or institution
#INFO	cites=bibcode:2024A&A...690A..52D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/690/A52	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36900052	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-02-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_690_A52_tablec1:
#Name: J/A+A/690/A52/tablec1
#Title: Clean SDSS FoF groups
#Column	Group	(I5)	FoF group identification number (GROUP_ID)	[ucd=meta.id]
#Column	Nmemb	(I3)	Number of spectroscopic members after the cleaning (NMEM)	[ucd=meta.number]
#Column	zsp	(F11.9)	Group redshift, assigned using median value of clean members (ZSPEC)	[ucd=src.redshift]
#Column	LR195	(F10.6)	? Cleaned luminosity in r band, using Mr<-19.5 galaxy sample (z<0.06 groups) (L_R195_CLEAN)	[ucd=phys.luminosity;em.opt]
#Column	D10	(F11.8)	Large-scale density, in 0.01227*10^10^M_{sun}/Mpc^3^ units (D_10)	[ucd=phys.density]
Group	Nmemb	zsp	LR195	D10
 	 	 	Lsun	1022700000Msun/Mpc3
-----	---	-----------	----------	-----------
  148	 37	0.053314367	 94.194174	 3.79193917
  149	 25	0.047731438	 39.086703	 3.31223388
  150	  6	0.051263141	  6.505241	 4.06904170
  151	 20	0.048883751	 34.685134	 4.46843991
  192	 40	0.052276847	 76.933758	 3.73169431
  421	173	0.030999471	155.400987	18.03416672
  422	 83	0.028848247	 65.678864	10.46891313
  424	 95	0.031386211	 93.401146	16.54624988
  425	 83	0.029329070	 87.510073	13.53208937
  427	 18	0.029524734	 24.093658	14.71103266
  428	  9	0.029916876	  7.216220	14.51373969
  429	  7	0.034029958	  3.181253	 3.87641668
  431	 10	0.030700128	  9.721239	15.47863513
  433	 10	0.030549099	  6.138441	16.64475182
  434	  8	0.031062837	 10.052059	16.71564874
  435	  9	0.029055993	  2.971090	12.28860113
  440	  5	0.031951324	  3.222478	14.13852259
  485	 33	0.050856754	 63.559322	 6.70869242
  513	 34	0.051859348	 61.242603	 6.09416966
  514	  6	0.051866116	  4.233836	 5.38406062
  585	 16	0.053477720	 38.669653	 4.45055782
  631	 30	0.048359565	 45.378914	 2.22596490
  672	 71	0.058754803	121.297836	 7.50261272
  697	 91	0.041965868	108.840160	 6.58463777
  699	 13	0.040179346	 14.314376	 4.54482852
  755	 38	0.025332605	 43.075165	 5.80278614
  828	 55	0.046037045	 79.987136	 3.81554972
  885	 63	0.047243691	102.163385	 6.60666994
  886	 35	0.048363253	 43.756005	 5.30389866
  887	  5	0.052212912	  6.295012	 3.29611189
  967	 66	0.058313534	140.334640	 8.07094871
 1011	 12	0.045877104	 29.915359	 7.07795979
 1014	 46	0.044569460	 52.613712	 7.57926642
 1015	 17	0.045708124	 13.652386	 8.17404821
 1053	 29	0.050450683	 65.545798	 6.80288227
 1162	 23	0.043652076	 51.195119	 6.93110608
 1163	  6	0.044153175	  8.883222	 7.38213055
 1219	 61	0.054957962	116.162689	10.52999460
 1221	  9	0.054761864	  7.530944	10.43884165
 1222	  7	0.054897923	  1.540020	10.09119892
 1345	 14	0.041069247	 20.530947	 4.37477309
 1346	  5	0.041128143	  7.875709	 4.51214044
 1367	 19	0.047687090	 31.283152	 3.94464189
 1392	 13	0.055419396	 31.154027	 3.14417136
