#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T07:50:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T07:50:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/690/A52/tablec4&Group=13470&-out=Group,GalID,SpecObjID,RAJ2000,DEJ2000,zsp,Lr&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36900052
#Name: J/A+A/690/A52
#Title: AXES-SDSS galaxy groups (Damsted+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/690/a52	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/690/a52	    IVOID of underlying data collection
#INFO	creator=Damsted S.	    First author or institution
#INFO	cites=bibcode:2024A&A...690A..52D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/690/A52	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36900052	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-02-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_690_A52_tablec4:
#Name: J/A+A/690/A52/tablec4
#Title: Clean members of SDSS FoF groups
#Column	Group	(I5)	FoF group identification number (GROUP_ID)	[ucd=meta.id]
#Column	GalID	(I6)	FoF ID of the galaxy (GALID)	[ucd=meta.id;meta.main]
#Column	SpecObjID	(I19)	SDSS ID of the galaxy (specobjid)	[ucd=meta.id]
#Column	RAJ2000	(F13.9)	Right ascension (J2000) (RA_GAL)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	Declination (J2000) (DEC_GAL)	[ucd=pos.eq.dec;meta.main]
#Column	zsp	(F12.9)	Galaxy redshift (ZSPEC)	[ucd=src.redshift]
#Column	Lr	(E11.4)	r-band luminosity (L_R)	[ucd=phys.luminosity;em.opt]
Group	GalID	SpecObjID	RAJ2000	DEJ2000	zsp	Lr
 	 	 	deg	deg	 	Lsun
-----	------	-------------------	-------------	-------------	------------	-----------
13470	 24432	                  0	124.496831731	+47.387820000	 0.054230420	 7.8723e+00
13470	122218	4158062242799742976	124.426637984	+47.416800000	 0.054319654	 4.7541e+00
13470	247810	 496621396059777024	124.444350428	+47.329440000	 0.052482185	 3.1746e+00
13470	254796	 496642011902797824	124.541828900	+47.356440000	 0.054734552	 2.8362e+00
13470	322820	 496622770449311744	124.465057780	+47.289020000	 0.056683435	 2.0164e+00
13470	365587	4157020455163326464	124.484918729	+47.317510000	 0.053289848	 1.9149e+00
13470	455831	 496623045327218688	124.365929072	+47.263610000	 0.056110835	 1.0374e+00
13470	460424	 496642836536518656	124.414351945	+47.407520000	 0.055216057	 1.0427e+00
13470	475103	 496621670937683968	124.448926841	+47.273310000	 0.053658337	 1.0061e+00
13470	509423	 496641462146983936	124.595901324	+47.465940000	 0.054882665	 6.9829e-01
13470	524318	 496631841420240896	124.233476345	+47.423430000	 0.054369665	 5.8041e-01
13470	533896	 496623320205125632	124.514600822	+47.330900000	 0.054940713	 4.7903e-01
13470	535690	 496642286780704768	124.604793723	+47.497300000	 0.054187550	 4.8614e-01
13470	548694	 496640637513263104	124.447550617	+47.395570000	 0.053058779	 3.7328e-01

