#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table4&-out=Name,mue,e_mue,reff,e_reff,n,e_n,Class,mu0,e_mu0,hi,e_hi,ho,e_ho,rB,e_rB,alpha,e_alpha,ClassD,magPS,e_magPS&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table4:
#Name: J/MNRAS/453/2965/table4
#Title: Decomposition parameters for the GHASP sample in the Rc band obtained at the OHP observatory
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	mue	(F8.5)	? Sersic function surface brightness at the effective radius	[ucd=phot.mag.sb]
#Column	e_mue	(F8.5)	? Error on mue	[ucd=stat.error]
#Column	reff	(F9.5)	? Effective radius of Sersic function	[ucd=phys.angSize]
#Column	e_reff	(F8.5)	? Error on reff	[ucd=stat.error]
#Column	n	(F8.5)	? Sersic index n	[ucd=stat.fit.param]
#Column	e_n	(F8.5)	? Error on n	[ucd=stat.error]
#Column	Class	(a7)	Visual classification of the component	[ucd=src.class]
#Column	mu0	(F8.5)	? Central surface brightness of the disk	[ucd=phot.mag.sb]
#Column	e_mu0	(F8.5)	? Error on mu0	[ucd=stat.error]
#Column	hi	(F9.5)	? (Inner) Disk scale length	[ucd=src.morph.scLength]
#Column	e_hi	(F8.5)	? Error on hi	[ucd=stat.error]
#Column	ho	(F8.5)	? Outer disc scale length	[ucd=src.morph.scLength]
#Column	e_ho	(F9.5)	? Error on ho	[ucd=stat.error]
#Column	rB	(F9.5)	? Break radius	[ucd=stat.fit.param]
#Column	e_rB	(F8.5)	? Error on rB	[ucd=stat.error]
#Column	alpha	(F8.5)	? Smoothing parameter of the broken disk	[ucd=stat.fit.param]
#Column	e_alpha	(F8.5)	? Error on alpha	[ucd=stat.error;pos.eq.ra]
#Column	ClassD	(A8)	Classification of the disk according to breaks/truncation (1)	[ucd=meta.code.class]
#Column	magPS	(F8.5)	? Magnitude of the central point source	[ucd=phot.mag;em.opt.R]
#Column	e_magPS	(F8.5)	? Error on magPS	[ucd=stat.error]
Name	mue	e_mue	reff	e_reff	n	e_n	Class	mu0	e_mu0	hi	e_hi	ho	e_ho	rB	e_rB	alpha	e_alpha	ClassD	magPS	e_magPS
 	mag/arcsec	mag/arcsec	arcsec	arcsec	 	 	 	mag/arcsec	mag/arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	 	 	 	mag	mag
----------	--------	--------	---------	--------	--------	--------	-------	--------	--------	---------	--------	--------	---------	---------	--------	--------	--------	--------	--------	--------
UGC 89    	16.72700	 0.05000	  2.27360	 0.10000	 0.99568	 0.05001	bulge  	21.50000	 0.05426	 35.00000	 0.75924	        	         	         	        	        	        	Type I  	        	
UGC 89    	20.28800	 0.05025	 18.45200	 0.10041	 0.16955	 0.05024	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 89    	22.96100	 0.08584	 27.26400	 0.19952	 0.17633	 0.06366	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 94    	18.68900	 0.23654	  0.83883	 0.18034	 1.57020	 0.50438	bulge  	20.27600	 0.21427	 14.00400	 1.90662	        	         	         	        	        	        	Type I  	        	
UGC 94    	20.78600	 0.13097	  8.26800	 0.17439	 0.13615	 0.06450	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 508   	17.75000	 0.20217	  1.93380	 0.33197	 2.16350	 0.28314	bulge  	19.48900	 0.08979	 24.95500	 2.05643	        	         	         	        	        	        	Type I  	        	
UGC 508   	20.18200	 0.24063	  6.54580	 0.37943	 0.49166	 0.12806	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 528   	20.13100	 0.05002	 12.04900	 0.10045	 3.22470	 0.05004	bulge  	18.73000	 0.05302	 17.10700	 0.75539	        	         	         	        	        	        	Type I  	        	
UGC 528   	20.64500	 0.07658	 21.48900	 0.73287	 0.21503	 0.06617	lens   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 528   	21.39400	 0.06303	  6.25240	 0.33644	 0.01000	 0.05005	lens   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 763   	24.62500	 0.06810	 12.50700	 1.71711	 3.78760	 0.09923	bulge  	19.85800	 0.05392	 23.15900	 1.55502	        	         	         	        	        	        	Type I  	        	
UGC 763   	22.81100	 0.11996	 25.18600	 0.37671	 0.05088	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1013  	14.23300	 0.09445	  0.18580	 0.10063	 0.78117	 0.06484	bulge  	19.97500	 0.08112	 48.92900	 2.23704	13.77800	  0.96717	 28.25400	 0.88362	 0.17606	 0.10922	Type II 	        	
UGC 1013  	19.14300	 0.09598	  5.72630	 0.21738	 0.36000	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1117  	14.90800	 0.05017	  0.82142	 0.10002	 0.08027	 0.05039	nucleus	20.42400	 0.05040	245.84000	 8.02572	        	         	         	        	        	        	Type I  	        	
UGC 1117  	21.28900	 0.05117	 13.17700	 0.24647	 0.24475	 0.05298	lens   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1117  	21.02100	 0.05012	 73.82100	 0.94645	 0.62714	 0.05009	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1249  	22.64800	 0.19229	 42.20800	 1.48487	 0.09705	 0.05931	bar    	21.89200	 0.15228	 82.17500	 6.94192	        	         	         	        	        	        	Type I  	        	
UGC 1249  	22.30900	 0.14038	 19.73200	 0.19219	 0.05085	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1256  	22.45100	 0.05000	 21.39200	 0.10000	 0.22525	 0.05000	bar    	19.60300	 0.05000	 48.52500	 0.10000	35.35000	  0.10000	 89.86700	 0.10000	 8.33530	 0.10000	Type II 	16.22600	 0.10000
