#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:59:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:59:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/488/3745/tablea1&-out=Name,zl,zs,Survey&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74883745
#Name: J/MNRAS/488/3745
#Title: Galaxy-scale strong gravitational lensing sample (Chen+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/488/3745	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/488/3745	    IVOID of underlying data collection
#INFO	creator=Chen Y.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.488.3745C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/488/3745	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74883745	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_488_3745_tablea1:
#Name: J/MNRAS/488/3745/tablea1
#Title: The selected galaxy-scale SGL systems
#Column	Name	(a18)	Lens name	[ucd=meta.id;meta.main]
#Column	zl	(F7.4)	Lens redshift	[ucd=src.redshift;pos.heliocentric]
#Column	zs	(F7.4)	Source redshift	[ucd=src.redshift;pos.heliocentric]
#Column	Survey	(a13)	Survey name (2)	[ucd=meta.id]
Name	zl	zs	Survey
 	 	 	
------------------	-------	-------	-------------
MG2016+112        	 1.0040	 3.2630	LSD
0047-281          	 0.4850	 3.5950	LSD
CFRS03.1077       	 0.9380	 2.9410	LSD
HST14176+5226     	 0.8100	 3.3990	LSD
HSTT15433+5352    	 0.4970	 2.0920	LSD
SL2SJ020524-93023 	 0.5570	 1.3300	SL2S
SL2SJ021247-055552	 0.7500	 2.7400	SL2S
SL2SJ021325-074355	 0.7170	 3.4800	SL2S
SL2SJ021411-040502	 0.6090	 1.8800	SL2S
SL2SJ021737-051329	 0.6460	 1.8500	SL2S
SL2SJ021801-080247	 0.8840	 2.0600	SL2S
SL2SJ021902-082934	 0.3890	 2.1500	SL2S
SL2SJ022046-094927	 0.5720	 2.6100	SL2S
SL2SJ022511-045433	 0.2380	 1.2000	SL2S
SL2SJ022610-042011	 0.4940	 1.2300	SL2S
SL2SJ023251-040823	 0.3520	 2.3400	SL2S
SL2SJ084847-035103	 0.6820	 1.5500	SL2S
SL2SJ084909-041226	 0.7220	 1.5400	SL2S
SL2SJ084959-025142	 0.2740	 2.0900	SL2S
SL2SJ085540-014730	 0.3650	 3.3900	SL2S
SL2SJ090407-005952	 0.6110	 2.3600	SL2S
SL2SJ095921+020638	 0.5520	 3.3500	SL2S
SL2SJ135949+553550	 0.7830	 2.7700	SL2S
SL2SJ140454+520024	 0.4560	 1.5900	SL2S
SL2SJ140546+524311	 0.5260	 3.0100	SL2S
SL2SJ140650+522619	 0.7160	 1.4700	SL2S
SL2SJ141137+565119	 0.3220	 1.4200	SL2S
SL2SJ142059+563007	 0.4830	 3.1200	SL2S
SL2SJ220329+020518	 0.4000	 2.1500	SL2S
SL2SJ220506+014703	 0.4760	 2.5300	SL2S
SL2SJ222148+011542	 0.3250	 2.3500	SL2S
SDSSJ0008-0004    	 0.4400	 1.1920	SLACS
SDSSJ0029-0055    	 0.2270	 0.9310	SLACS
SDSSJ0037-0942    	 0.1950	 0.6320	SLACS
