#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:22:15 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:22:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/534/A109/mcxc&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	AName	(a54)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	Cat	(a12)	Catalogue name	[ucd=meta.id;meta.table]
#Column	Sub-Cat	(a12)	Sub-catalogue name	[ucd=meta.id;meta.dataset]
#Column	Scale	(F6.3)	Scale	[ucd=instr.scale]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Cat1	(a12)	First overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat2	(a12)	Second overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat3	(a12)	Third overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat4	(a12)	Fourth overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	L500r1	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for first catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r2	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for second catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r3	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for third catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r4	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for fourth catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MCXC	OName	AName	RAJ2000	DEJ2000	z	Cat	Sub-Cat	Scale	L500	M500	R500	Notes	Cat1	Cat2	Cat3	Cat4	L500r1	L500r2	L500r3	L500r4	Simbad
 	 	 	 	"h:m:s"	"d:m:s"	 	 	 	kpc/arcsec	10+37W	10+14Msun	Mpc	 	 	 	 	 	 	 	 	 	
--------	------------	------------------	------------------------------------------------------	----------	---------	-------	------------	------------	------	---------	-------	-------	------------------------------------------	------------	------------	------------	------------	------	------	------	------	------
       1	J0000.1+0816	RXC J0000.1+0816  	UGC 12890                                             	00 00 07.1	+08 16 28	 0.0396	NORAS/REFLEX	NORAS       	 0.784	 0.196280	 0.7373	 0.6296	                                          	BCS         	            	            	            	 1.084	      	      	      	Simbad
       2	J0000.4-0237	RXC J0000.4-0237  	                                                      	00 00 24.7	-02 37 30	 0.0379	SGP         	SGP         	 0.752	 0.052338	 0.3297	 0.4817	                                          	            	            	            	            	      	      	      	      	Simbad
       3	J0001.6-1540	RXC J0001.6-1540  	                                                      	00 01 39.0	-15 40 52	 0.1246	SGP         	SGP         	 2.234	 0.814902	 1.6557	 0.8021	                                          	            	            	            	            	      	      	      	      	Simbad
       4	J0001.9+1204	RXC J0001.9+1204  	A2692                                                 	00 01 57.0	+12 04 23	 0.2033	NORAS/REFLEX	NORAS       	 3.342	 1.990205	 2.6927	 0.9178	                                          	            	            	            	            	      	      	      	      	Simbad
       5	J0003.1-0605	RXCJ0003.1-0605   	A2697                                                 	00 03 11.8	-06 05 10	 0.2320	NORAS/REFLEX	REFLEX      	 3.698	 6.107094	 5.2188	 1.1326	                                          	SGP         	            	            	            	 0.952	      	      	      	Simbad
       6	J0003.2-3555	RXCJ0003.2-3555   	A2717                                                 	00 03 12.1	-35 55 38	 0.0490	NORAS/REFLEX	REFLEX      	 0.959	 0.441862	 1.2016	 0.7388	losStr                                    	SGP         	            	            	            	 0.886	      	      	      	Simbad
       7	J0003.8+0203	RXCJ0003.8+0203   	A2700                                                 	00 03 50.6	+02 03 48	 0.0924	NORAS/REFLEX	REFLEX      	 1.719	 0.846881	 1.7342	 0.8233	                                          	eBCS        	SGP         	            	            	 0.920	 0.922	      	      	Simbad
       8	J0004.9+1142	RXC J0004.9+1142  	UGC 00032                                             	00 04 59.4	+11 42 02	 0.0761	NORAS/REFLEX	NORAS       	 1.443	 0.518795	 1.3009	 0.7520	                                          	eBCS        	            	            	            	 0.967	      	      	      	Simbad
       9	J0005.3+1612	RXC J0005.3+1612  	A2703                                                 	00 05 22.6	+16 12 38	 0.1164	NORAS/REFLEX	NORAS       	 2.107	 1.579007	 2.4929	 0.9218	B                                         	EMSS_1994   	            	            	            	 0.533	      	      	      	Simbad
      10	J0006.0-3443	RXCJ0006.0-3443   	A2721                                                 	00 06 03.0	-34 43 27	 0.1147	NORAS/REFLEX	REFLEX      	 2.080	 1.809494	 2.7122	 0.9486	                                          	SGP         	            	            	            	 0.949	      	      	      	Simbad
      11	J0006.3+1052	RXC J0006.3+1052  	ZwCl15                                                	00 06 21.7	+10 52 04	 0.1698	NORAS/REFLEX	NORAS       	 2.895	 2.272747	 2.9941	 0.9621	                                          	eBCS        	            	            	            	 0.933	      	      	      	Simbad
      12	J0008.9+4110	ZwCl28            	ZwCl28                                                	00 08 56.9	+41 10 37	 0.1537	BCS         	eBCS        	 2.668	 2.110832	 2.8963	 0.9569	                                          	            	            	            	            	      	      	      	      	Simbad
      13	J0009.7-3516	MS0007.2-3532     	                                                      	00 09 46.5	-35 16 30	 0.0500	EMSS        	EMSS_1994   	 0.977	 0.261854	 0.8728	 0.6639	                                          	            	            	            	            	      	      	      	      	Simbad
      14	J0011.3-2851	RXCJ0011.3-2851   	A2734                                                 	00 11 20.7	-28 51 18	 0.0620	NORAS/REFLEX	REFLEX      	 1.195	 1.086002	 2.0611	 0.8807	losStr                                    	SGP         	            	            	            	 0.914	      	      	      	Simbad
      15	J0011.7-1523	MACSJ0011.7-1523  	                                                      	00 11 42.8	-15 23 22	 0.3780	MACS        	MACS_BRIGHT 	 5.188	 8.900000	 7.2000	 1.1900	                                          	            	            	            	            	      	      	      	      	Simbad
      16	J0011.7+3225	RXC J0011.7+3225  	A0007                                                 	00 11 44.4	+32 25 01	 0.1073	NORAS/REFLEX	NORAS       	 1.962	 2.571958	 3.3785	 1.0232	                                          	BCS         	            	            	            	 1.042	      	      	      	Simbad
      17	J0013.6-1930	RXCJ0013.6-1930   	A0013                                                 	00 13 38.3	-19 30 08	 0.0940	NORAS/REFLEX	REFLEX      	 1.746	 1.236332	 2.1818	 0.8883	losStr                                    	SGP         	            	            	            	 0.955	      	      	      	Simbad
      18	J0014.3-6604	RXCJ0014.3-6604   	A2746                                                 	00 14 18.4	-66 04 39	 0.1599	NORAS/REFLEX	REFLEX      	 2.756	 2.827248	 3.4455	 1.0117	X                                         	            	            	            	            	      	      	      	      	Simbad
      19	J0014.3-3023	RXCJ0014.3-3023   	A2744                                                 	00 14 18.8	-30 23 00	 0.3066	NORAS/REFLEX	REFLEX      	 4.522	11.818114	 7.3614	 1.2359	                                          	SGP         	MACS_BRIGHT 	            	            	 0.985	 1.139	      	      	Simbad
      20	J0014.3+0854	MS0011.7+0837     	                                                      	00 14 19.8	+08 54 00	 0.1630	EMSS        	EMSS_1994   	 2.800	 1.927804	 2.7218	 0.9342	                                          	            	            	            	            	      	      	      	      	Simbad
      21	J0015.4-2350	RXCJ0015.4-2350   	A0014                                                 	00 15 24.0	-23 50 42	 0.0645	NORAS/REFLEX	REFLEX      	 1.240	 0.326305	 0.9884	 0.6888	X                                         	SGP         	            	            	            	 0.956	      	      	      	Simbad
      22	J0015.9+1614	MS0013.4+1558     	                                                      	00 15 55.9	+16 14 58	 0.0830	EMSS        	EMSS_1994   	 1.561	 0.319693	 0.9638	 0.6790	                                          	            	            	            	            	      	      	      	      	Simbad
      23	J0016.3-3121	RXC J0016.3-3121  	A2751                                                 	00 16 19.8	-31 21 55	 0.0805	SGP         	SGP         	 1.518	 0.495174	 1.2607	 0.7431	                                          	            	            	            	            	      	      	      	      	Simbad
      24	J0016.7+0646	RXC J0016.7+0646  	A0016                                                 	00 16 45.5	+06 46 25	 0.0833	NORAS/REFLEX	NORAS       	 1.566	 0.319327	 0.9629	 0.6787	                                          	eBCS        	            	            	            	 1.385	      	      	      	Simbad
      25	J0017.5-3509	RXCJ0017.5-3509   	A2755                                                 	00 17 33.7	-35 09 54	 0.0968	NORAS/REFLEX	REFLEX      	 1.792	 0.692442	 1.5291	 0.7883	losStr                                    	SGP         	            	            	            	 0.964	      	      	      	Simbad
