#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/871/129/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18710129
#Name: J/ApJ/871/129
#Title: A redshift catalog of the galaxy cluster A2029 (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/871/129	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/871/129	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...871..129S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/871/129	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18710129	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-07-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_871_129_table1:
#Name: J/ApJ/871/129/table1
#Title: The redshift galaxy catalog of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I19)	Object identifier from SDSS (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[227/229] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[5.1/6.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F5.2)	[13.5/22.5] Composite model r band magnitude (G1)	[ucd=phot.mag;em.opt.R]
#Column	z	(F8.5)	[0.004/6.4] Redshift	[ucd=src.redshift]
#Column	e_z	(F8.5)	[1e-05/1]? Error in z	[ucd=stat.error;src.redshift]
#Column	r_z	(A3)	Reference code(s) for z (2)	[ucd=meta.ref;pos.frame]
#Column	Mm	(A1)	[N/Y] Membership determined based on the caustics (Y)es (1054 occurrences); or (N)o	[ucd=meta.code.member]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 if any	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR12 or DR7 data for this object	[ucd=meta.ref.url]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
recno	objID	RAJ2000	DEJ2000	rmag	z	e_z	r_z	Mm	T13	Sloan	SimbadName
 	 	deg	deg	mag	 	 	 	 	 	 	
--------	-------------------	----------	----------	-----	--------	--------	---	-	---	-----	------------------------
       1	1237658780557836308	227.740259	+05.766147	16.44	 0.07731	 0.00010	2,3	Y	  1	Sloan	SDSS J151057.66+054558.1
       2	1237658780557836317	227.750323	+05.756988	17.63	 0.08463	 0.00009	2  	N	  1	Sloan	SDSS J151100.07+054525.1
       3	1237658780557836338	227.737793	+05.762320	19.07	 0.07593	 0.00007	2  	Y	  1	Sloan	SDSS J151057.07+054544.3
       4	1237658780557836305	227.744635	+05.770809	16.45	 0.07455	 0.00007	2,3	Y	  1	Sloan	SDSS J151058.71+054614.9
       5	1237658780557836311	227.738249	+05.754465	17.90	 0.07726	 0.00009	2  	Y	  1	Sloan	SDSS J151057.17+054516.0
       6	1237658780557836336	227.732202	+05.761856	18.47	 0.08085	 0.00014	1  	Y	  1	Sloan	SDSS J151055.72+054542.6
       7	1237658780557836342	227.749463	+05.769346	18.83	 0.07828	 0.00007	2  	Y	  1	Sloan	SDSS J151059.87+054609.6
       8	1237658780557836316	227.735039	+05.751555	17.46	 0.07921	 0.00008	1,2	Y	  1	Sloan	SDSS J151056.40+054505.5
       9	1237658780557836337	227.732491	+05.765348	19.37	 0.07899	 0.00006	2  	Y	  1	Sloan	SDSS J151055.79+054555.2
      10	1237658780557836369	227.731678	+05.764879	20.01	 0.07735	 0.00015	1  	Y	  0	Sloan	SDSS J151055.60+054553.5
      11	1237662268074033390	227.757924	+05.753485	17.02	 0.06688	 0.00004	2  	N	  1	Sloan	SDSS J151101.90+054512.5
      12	1237662268074033401	227.760456	+05.760579	17.22	 0.07358	 0.00005	2,3	N	  1	Sloan	SDSS J151102.50+054538.0
      13	1237658780557836303	227.750338	+05.782786	15.23	 0.07827	 0.00008	2,3	Y	  1	Sloan	SDSS J151100.08+054658.0
      14	1237658780557836306	227.746067	+05.743888	15.88	 0.08912	 0.00007	2,3	N	  1	Sloan	SDSS J151059.05+054437.9
      15	1237658780557836313	227.735860	+05.775843	16.91	 0.08133	 0.00008	2,3	Y	  1	Sloan	SDSS J151056.60+054633.0
      16	1237658780557836318	227.733208	+05.741536	15.54	 0.07351	 0.00009	2  	N	  1	Sloan	SDSS J151055.96+054429.5
      17	1237658780557836320	227.728122	+05.756973	17.68	 0.08012	 0.00009	2,3	Y	  1	Sloan	SDSS J151054.74+054525.1
      18	1237658780557836322	227.733751	+05.744775	13.59	 0.07780	 0.00010	1  	Y	  1	Sloan	SDSS J151056.10+054441.1
      19	1237658780557836332	227.724321	+05.766815	18.91	 0.08167	 0.00009	2  	Y	  1	Sloan	SDSS J151053.83+054600.5
      20	1237658780557836847	227.732615	+05.780177	18.11	 0.06998	 0.00006	2  	N	  1	Sloan	SDSS J151055.82+054648.6
      21	1237658780557837142	227.735158	+05.780374	21.29	 0.54715	 0.00014	3  	N	  0	Sloan	SDSS J151056.43+054649.3
      22	1237662268074033398	227.761860	+05.777460	17.63	 0.09517	 0.00008	2  	N	  0	Sloan	SDSS J151102.84+054638.8
      23	1237662268074033737	227.762156	+05.751119	19.26	 0.07947	 0.00009	1  	Y	  0	Sloan	SDSS J151102.91+054504.0
      24	1237662268074033934	227.755298	+05.742890	20.60	 0.54633	 0.00009	1  	N	  0	Sloan	SDSS J151101.27+054434.4
      25	1237655744020021358	227.730114	+05.734841	17.68	 0.07135	 0.00004	2  	N	  1	Sloan	SDSS J151055.22+054405.4
      26	1237655744020021363	227.741889	+05.731091	18.42	 0.08579	 0.00005	1  	N	  0	Sloan	SDSS J151058.05+054351.9
      27	1237655744020021370	227.737633	+05.731478	20.56	 0.55418	 0.00019	1  	N	  0	Sloan	SDSS J151057.03+054353.3
      28	1237658780557836310	227.727094	+05.742861	17.11	 0.07101	 0.00006	2  	N	  1	Sloan	SDSS J151054.50+054434.2
      29	1237658780557836324	227.717044	+05.753034	16.96	 0.07456	 0.00008	2  	Y	  1	Sloan	SDSS J151052.09+054510.9
      30	1237658780557836372	227.713579	+05.752799	20.51	 0.07962	 0.00021	1  	Y	  0	Sloan	SDSS J151051.25+054510.0
      31	1237658780557837127	227.719419	+05.775027	20.21	 0.07459	 0.00023	1  	Y	  0	Sloan	SDSS J151052.66+054630.0
      32	1237658780557837145	227.738882	+05.793978	20.32	 0.08524	 0.00012	1  	N	  0	Sloan	SDSS J151057.33+054738.3
      33	1237658780557837149	227.742082	+05.791842	20.23	 0.08335	 0.00019	1  	N	  0	Sloan	SDSS J151058.09+054730.6
      34	1237662268074033179	227.776630	+05.756340	19.07	 0.08122	 0.00013	2  	Y	  1	Sloan	SDSS J151106.39+054522.8
      35	1237662268074033922	227.757141	+05.787100	20.06	 0.54524	 0.00009	3  	N	  0	Sloan	SDSS J151101.71+054713.5
      36	1237662268074033978	227.767762	+05.778451	20.85	 0.54270	 0.00014	3  	N	  0	Sloan	SDSS J151104.26+054642.4
      37	1237662268074034020	227.776943	+05.759003	21.03	 0.45305	 0.00007	1  	N	  0	Sloan	SDSS J151106.46+054532.4
      38	1237655744020021357	227.719973	+05.724844	16.34	 0.07170	 0.00011	2,3	N	  1	Sloan	SDSS J151052.79+054329.4
      39	1237655744020021361	227.727555	+05.720767	17.58	 0.02149	 0.00001	4  	N	  0	Sloan	SDSS J151054.61+054314.7
      40	1237655744020021364	227.727961	+05.730356	19.50	 0.07252	 0.00007	1  	N	  1	Sloan	SDSS J151054.71+054349.2
      41	1237655744020021366	227.724699	+05.726324	19.05	 0.08184	 0.00007	1  	Y	  0	Sloan	SDSS J151053.92+054334.7
      42	1237655744020021368	227.731557	+05.727877	19.38	 0.39123	 0.00009	2  	N	  0	Sloan	SDSS J151055.57+054340.3
      43	1237655744020022298	227.712458	+05.734498	21.01	 0.54677	 0.00018	1  	N	  0	Sloan	SDSS J151050.98+054404.1
      44	1237655744020087422	227.742881	+05.717036	19.74	 0.08091	 0.00010	2  	Y	  1	Sloan	SDSS J151058.29+054301.3
      45	1237655744020087460	227.752795	+05.723118	19.64	 0.07631	 0.00008	2  	Y	  1	Sloan	SDSS J151100.67+054323.2
      46	1237655744020087926	227.744923	+05.721961	21.15	 0.55790	 0.00023	1  	N	  0	Sloan	SDSS J151058.78+054319.0
