sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237658780557836308,227.740259,+05.766147,0.07731,16.44,Y,1,0.092,0,587736546849063143,0.0857,-1,1.607,17.38,16.40,2.90,2.60,2.90,2.60,0.23,0.01,164.47,1.49,4.20,0.05
1237658780557836317,227.750323,+05.756988,0.08463,17.63,N,1,0.135,0,587736546849063552,0.0887,-1,1.657,18.58,17.58,1.15,1.12,1.15,1.12,0.21,0.02,154.47,3.75,4.66,0.35
1237658780557836338,227.737793,+05.762320,0.07593,19.07,Y,0,16.277,,,,,,,,,,,,,,,,,
1237658780557836305,227.744635,+05.770809,0.07455,16.45,Y,1,0.113,0,587736546849063140,0.0919,-1,1.712,17.47,16.48,2.07,1.59,2.07,1.59,0.53,0.01,61.43,0.57,3.10,0.08
1237658780557836311,227.738249,+05.754465,0.07726,17.90,Y,1,0.087,0,587736546849063145,0.1670,-1,2.857,17.57,16.64,10.49,9.70,10.49,9.70,0.21,0.02,66.25,3.26,8.00,0.01
1237658780557836336,227.732202,+05.761856,0.08085,18.47,Y,0,22.946,,,,,,,,,,,,,,,,,
1237658780557836342,227.749463,+05.769346,0.07828,18.83,Y,0,18.143,,,,,,,,,,,,,,,,,
1237658780557836316,227.735039,+05.751555,0.07921,17.46,Y,1,0.070,0,587736546849063146,0.0917,-1,1.708,16.84,15.88,21.50,20.09,21.50,20.09,0.14,0.03,170.37,4.58,8.00,0.01
1237658780557836337,227.732491,+05.765348,0.07899,19.37,Y,0,27.898,,,,,,,,,,,,,,,,,
1237658780557836369,227.731678,+05.764879,0.07735,20.01,Y,0,30.996,,,,,,,,,,,,,,,,,
1237662268074033390,227.757924,+05.753485,0.06688,17.02,N,1,0.023,0,587736546849128703,0.0673,-1,1.288,17.86,16.96,2.07,1.54,2.07,1.54,0.58,0.01,105.13,0.99,4.94,0.15
1237662268074033401,227.760456,+05.760579,0.07358,17.22,N,1,0.022,0,587736546849128715,0.0736,2,1.400,18.13,17.19,1.24,1.06,1.24,1.06,0.35,0.01,146.91,2.06,3.87,0.19
1237658780557836303,227.750338,+05.782786,0.07827,15.23,Y,1,0.116,0,587736546849063532,0.0783,2,1.481,16.12,15.17,7.25,6.22,7.25,6.22,0.29,0.00,33.46,0.09,4.69,0.00
1237658780557836306,227.746067,+05.743888,0.08912,15.88,N,1,0.101,0,587736546849063141,0.0893,2,1.667,16.35,15.69,7.10,5.59,7.10,5.59,0.44,0.01,39.33,0.33,5.13,0.07
1237658780557836313,227.735860,+05.775843,0.08133,16.91,Y,1,0.072,0,587736546849063171,0.0816,2,1.538,17.54,16.62,4.31,3.40,4.31,3.40,0.48,0.01,8.46,0.81,6.80,0.18
1237658780557836318,227.733208,+05.741536,0.07351,15.54,N,0,22.427,,,,,,,,,,,,,,,,,
