#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/224/33/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22240033
#Name: J/ApJS/224/33
#Title: CLASH-VLT: the FF cluster MACS J0416.1-2403 (Balestra+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	creator=Balestra I.	    First author or institution
#INFO	cites=bibcode:2016ApJS..224...33B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/224/33	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22240033	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_224_33_table2:
#Name: J/ApJS/224/33/table2
#Title: CLASH-VLT spectroscopic redshift catalog of MACS J0416.1-2403
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	CLASHVLT identifier (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[63.8/64.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-24.3/-23.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0/4.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	q_z	(I1)	[2/9] Quality flag on z (1)	[ucd=meta.code.qual;src.redshift]
#Column	r_z	(I1)	[1/5] Reference code for z (2)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F5.2)	[15.2/25.7]? Subaru/Suprime Cam Kron R-band AB magnitude	[ucd=phot.mag;em.opt.R]
#Column	f_ID	(A3)	Flag(s) on ID (3)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	z	q_z	r_z	Rmag	f_ID	Simbad
 	 	deg	deg	 	 	 	mag	 	
--------	----------------	----------	----------	-------	-	-	-----	---	------
       1	J041531.2-241516	063.879843	-24.254507	 0.4648	3	1	19.32	   	Simbad
       2	J041615.9-241539	064.066112	-24.261057	 0.3448	3	1	19.92	   	Simbad
       3	J041614.3-241542	064.059571	-24.261808	 0.3021	3	1	20.93	   	Simbad
       4	J041654.3-241545	064.226374	-24.262606	 0.3078	3	1	21.94	   	Simbad
       5	J041521.3-241510	063.838858	-24.252900	 0.3009	3	1	19.60	   	Simbad
       6	J041610.1-241543	064.041928	-24.262141	 0.7231	3	1	21.95	   	Simbad
       7	J041543.4-241517	063.930875	-24.254946	 0.1902	3	1	19.56	   	Simbad
       8	J041614.1-241547	064.058570	-24.263075	 0.3009	3	1	22.61	   	Simbad
       9	J041632.5-241547	064.135563	-24.263133	 0.5082	3	1	23.06	   	Simbad
      10	J041619.0-241545	064.079154	-24.262658	 0.2999	2	1	22.37	   	Simbad
      11	J041651.3-241545	064.213629	-24.262702	 0.8318	3	1	23.23	   	Simbad
      12	J041607.6-241540	064.031720	-24.261184	 0.4768	3	1	21.81	   	Simbad
      13	J041703.9-241541	064.266216	-24.261450	 0.4347	3	2	20.96	   	Simbad
      14	J041621.4-241536	064.089356	-24.260085	 0.4662	3	1	21.96	   	Simbad
      15	J041603.5-241542	064.014516	-24.261907	 0.4676	3	1	23.08	   	Simbad
      16	J041636.6-241542	064.152689	-24.261884	 0.7914	9	1	23.36	   	Simbad
      17	J041554.6-241544	063.977335	-24.262383	 0.4558	2	1	22.81	   	Simbad
      18	J041618.2-241516	064.075836	-24.254521	 0.3857	3	1	19.40	   	Simbad
      19	J041655.5-241530	064.231110	-24.258611	 0.3053	3	1	20.67	   	Simbad
      20	J041619.8-241540	064.082391	-24.261361	 0.5615	9	1	23.90	   	Simbad
      21	J041653.6-241532	064.223279	-24.259070	 0.3030	3	1	23.07	   	Simbad
      22	J041549.8-241535	063.957547	-24.259960	 0.4188	2	1	22.16	   	Simbad
      23	J041651.5-241533	064.214519	-24.259369	 0.2672	3	1	20.38	   	Simbad
      24	J041655.4-241536	064.230992	-24.260113	 0.4834	3	2	22.89	   	Simbad
      25	J041554.0-241539	063.974799	-24.260944	 0.4650	3	2	22.82	   	Simbad
      26	J041607.9-241539	064.032889	-24.260857	 0.3950	9	1	23.58	   	Simbad
      27	J041616.1-241505	064.067191	-24.251639	 0.3888	3	1	19.76	   	Simbad
      28	J041618.9-241524	064.078927	-24.256714	 0.2332	3	1	21.15	   	Simbad
      29	J041705.0-241530	064.270757	-24.258588	 0.3045	3	1	20.45	   	Simbad
      30	J041615.0-241529	064.062482	-24.258250	 0.5374	3	1	21.18	   	Simbad
      31	J041548.8-241535	063.953355	-24.259852	 0.3829	3	1	21.32	   	Simbad
      32	J041541.8-241530	063.924130	-24.258411	 0.3560	3	1	21.60	   	Simbad
      33	J041605.0-241514	064.021030	-24.253957	 0.4633	3	1	20.62	   	Simbad
      34	J041616.6-241509	064.069189	-24.252768	 0.4848	2	1	20.04	   	Simbad
      35	J041642.9-241535	064.178611	-24.259920	 0.5107	3	1	22.88	   	Simbad
      36	J041537.2-241517	063.905150	-24.254903	 0.1377	3	1	21.17	   	Simbad
      37	J041610.3-241535	064.043067	-24.259773	 0.4356	3	2	23.05	   	Simbad
      38	J041704.8-241529	064.270204	-24.258291	 0.0000	2	1	21.17	   	Simbad
      39	J041543.2-241530	063.930163	-24.258448	 0.4318	3	1	21.88	   	Simbad
      40	J041651.3-241530	064.213769	-24.258484	 0.3041	3	1	23.34	   	Simbad
      41	J041633.4-241533	064.138983	-24.259169	 0.1355	3	1	23.64	   	Simbad
      42	J041603.2-241529	064.013525	-24.258239	 0.1766	3	1	22.49	   	Simbad
      43	J041535.8-241522	063.899018	-24.256145	 0.2665	3	1	21.52	   	Simbad
      44	J041552.8-241526	063.969911	-24.257490	 0.6345	3	1	21.73	   	Simbad
      45	J041559.7-241531	063.998671	-24.258648	 0.4207	2	1	22.49	   	Simbad
      46	J041604.3-241523	064.017793	-24.256467	 0.2760	3	1	21.40	   	Simbad
      47	J041652.4-241531	064.218174	-24.258629	 0.3072	3	2	22.76	   	Simbad
      48	J041556.0-241509	063.983157	-24.252706	 0.4193	3	2	20.43	1  	Simbad
      49	J041554.7-241527	063.978063	-24.257701	 0.4663	3	1	21.57	   	Simbad
      50	J041702.1-241529	064.258807	-24.258061	 0.3066	2	1	23.22	   	Simbad
      51	J041614.9-241516	064.062140	-24.254527	 0.3894	3	1	21.63	   	Simbad
      52	J041559.0-241520	063.995763	-24.255826	 0.2996	3	1	21.50	   	Simbad
      53	J041545.1-241529	063.937919	-24.258062	 0.4325	3	1	22.37	   	Simbad
      54	J041537.5-241521	063.906053	-24.255957	 0.3955	2	1	21.92	   	Simbad
      55	J041546.0-241524	063.941785	-24.256805	 1.0612	9	2	23.33	   	Simbad
      56	J041536.0-241530	063.899894	-24.258370	 0.3856	9	1	24.02	   	Simbad
      57	J041649.8-241525	064.207294	-24.257205	 0.3014	2	1	23.03	   	Simbad
      58	J041620.5-241524	064.085358	-24.256812	 0.2329	3	1	22.81	   	Simbad
      59	J041524.8-241501	063.853172	-24.250486	 0.4480	3	1	21.16	   	Simbad
      60	J041702.4-241503	064.260055	-24.250966	 0.3063	3	1	19.08	   	Simbad
      61	J041703.6-241517	064.264800	-24.254757	 0.3072	2	1	21.90	   	Simbad
      62	J041518.6-241526	063.827391	-24.257458	 0.3557	3	1	23.33	   	Simbad
      63	J041612.9-241524	064.053928	-24.256759	 0.6354	9	1	23.71	   	Simbad
      64	J041537.3-241513	063.905521	-24.253730	 0.3825	3	1	20.71	   	Simbad
      65	J041636.5-241522	064.151972	-24.256332	 0.3505	3	1	23.04	   	Simbad
      66	J041519.7-241525	063.832194	-24.257113	 2.9910	2	1	24.03	   	Simbad
      67	J041548.7-241518	063.952933	-24.255047	 0.4209	3	1	20.95	   	Simbad
      68	J041641.3-241522	064.172147	-24.256156	 0.6155	9	1	24.50	   	Simbad
      69	J041600.1-241524	064.000488	-24.256919	 0.4213	3	1	23.83	   	Simbad
      70	J041701.5-241519	064.256103	-24.255553	 0.3021	3	1	22.51	   	Simbad
      71	J041558.6-241523	063.994219	-24.256489	 0.5699	3	1	23.23	   	Simbad
