#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:13:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:13:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/607/A30/m0717cla&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36070030
#Name: J/A+A/607/A30
#Title: ASTRODEEP Frontier Fields Catalogues (Di Criscienzo+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	creator=Di Criscienzo M.	    First author or institution
#INFO	cites=bibcode:2017A&A...607A..30D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/607/A30	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-jz/lda	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_607_A30_m0717cla:
#Name: J/A+A/607/A30/m0717cla
#Title: Photometric catalogue (magnitudes) of MACSJ-0717 cluster
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	ID Source identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_B435	(A1)	[-] "-' for upper limit flag on B435	[ucd=meta.code.error]
#Column	B435	(F9.6)	? Magnitude in B435 band (AB)	[ucd=phot.mag;em.opt.B]
#Column	l_V606	(A1)	[-] "-' for upper limit flag on V606	[ucd=meta.code.error]
#Column	V606	(F9.6)	? Magnitude in V606 band (AB)	[ucd=phot.mag;em.opt.R]
#Column	l_I814	(A1)	[-] "-' for upper limit flag on I814	[ucd=meta.code.error]
#Column	I814	(F9.6)	? Magnitude in I814 band (AB)	[ucd=phot.mag;em.opt.I]
#Column	Y105	(D12.5)	? Magnitude in Y105 band (AB) (negative values are upper limit)	[ucd=phot.mag;em.IR.J]
#Column	l_J125	(A1)	[-] "-' for upper limit flag on J125	[ucd=meta.code.error]
#Column	J125	(F9.6)	? Magnitude in J125 band (AB)	[ucd=phot.mag;em.IR.J]
#Column	l_JH140	(A1)	[-] "-' for upper limit flag on JH140	[ucd=meta.code.error]
#Column	JH140	(F9.6)	? Magnitude in JH140 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_H160	(A1)	[-] "-' for upper limit flag on H160	[ucd=meta.code.error]
#Column	H160	(F9.6)	? Magnitude in H160 band (AB)	[ucd=phot.mag;em.IR.H]
#Column	l_Ks	(A1)	[-] "-' for upper limit flag on Ks	[ucd=meta.code.error]
#Column	Ks	(F9.6)	? Magnitude in Ks band (AB)	[ucd=phot.mag;em.IR.K]
#Column	l_IRAC1	(A1)	[-] "-' for upper limit flag on IRAC1	[ucd=meta.code.error]
#Column	IRAC1	(F9.6)	? Magnitude in IRAC1 band (AB)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	l_IRAC2	(A1)	[-] "-' for upper limit flag on IRAC2	[ucd=meta.code.error]
#Column	IRAC2	(F9.6)	? Magnitude in IRAC2 band (AB)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_B435	(F9.6)	? Magnitude error on B435 band (AB)	[ucd=stat.error]
#Column	e_V606	(D12.5)	? Magnitude error on V606 band (AB)	[ucd=stat.error]
#Column	e_I814	(D12.5)	? Magnitude error on I814 band (AB)	[ucd=stat.error]
#Column	e_Y105	(D12.5)	? Magnitude error on Y105 band (AB)	[ucd=stat.error]
#Column	e_J125	(D12.5)	? Magnitude error on J125 band (AB)	[ucd=stat.error]
#Column	e_JH140	(D12.5)	? Magnitude error on JH140 band (AB)	[ucd=stat.error]
#Column	e_H160	(D12.5)	? Magnitude error on H160 band (AB)	[ucd=stat.error]
#Column	e_Ks	(D15.8)	? Magnitude error on Ks band (AB)	[ucd=stat.error]
#Column	e_IRAC1	(D15.8)	? Magnitude error on IRAC1 band (AB)	[ucd=stat.error]
#Column	e_IRAC2	(F12.9)	? Magnitude error on IRAC2 band (AB)	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	l_B435	B435	l_V606	V606	l_I814	I814	Y105	l_J125	J125	l_JH140	JH140	l_H160	H160	l_Ks	Ks	l_IRAC1	IRAC1	l_IRAC2	IRAC2	e_B435	e_V606	e_I814	e_Y105	e_J125	e_JH140	e_H160	e_Ks	e_IRAC1	e_IRAC2
 	 	deg	deg	 	mag	 	mag	 	mag	mag	 	mag	 	mag	 	mag	 	mag	 	mag	 	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag
--------	------	----------	----------	-	---------	-	---------	-	---------	------------	-	---------	-	---------	-	---------	-	---------	-	---------	-	---------	---------	------------	------------	------------	------------	------------	------------	---------------	---------------	------------
       1	     1	109.387245	+37.719746	 	25.901100	 	24.468300	 	23.632000	 2.34072e+01	 	 0.516200	 	23.101200	 	23.025300	 	23.697863	 	23.050657	 	22.813705	 0.302200	 7.14700e-02	 2.40700e-02	 4.52600e-02	 1.08600e+00	 6.19300e-02	 6.16300e-01	 1.18108300e-01	 8.46687000e-02	 0.081692670
       2	     2	109.387138	+37.721004	 	24.977500	 	23.580900	 	22.736300	 2.22432e+01	 	22.051300	 	21.908500	 	21.726900	 	21.463814	 	21.665909	 	21.762804	 0.069510	 1.75500e-02	 5.70400e-03	 3.05600e-03	 4.77100e-03	 3.10600e-03	 2.20000e-03	 1.45231800e-02	 1.56585200e-02	 0.017635680
       3	     3	109.393417	+37.722450	 	25.325700	 	23.199100	 	20.647000	 1.96058e+01	 	19.371500	 	19.329800	 	19.301400	 	19.426868	 	20.144218	 	20.342220	 0.142000	 1.84200e-02	 1.34200e-03	 5.08500e-04	 5.90200e-04	 5.23500e-04	 3.00000e-04	 1.90846300e-03	 2.28947000e-02	 0.019085550
       4	     4	109.388443	+37.719391	 	25.590200	 	25.358900	 	24.603300	 2.19931e+01	 	 1.853500	 	 1.622400	-	21.981200	 	25.551458	 	23.886417	 	23.426310	 0.224400	 1.56700e-01	 5.75600e-02	 1.69000e-02	 1.08600e+00	 1.08600e+00	 1.08600e+00	 8.10117900e-01	 9.77048500e-01	 0.649828400
       5	     5	109.386948	+37.719604	 	25.187900	 	25.790600	 	24.640200	-2.57816e+01	 	 2.656700	 	23.234500	-	22.258900	-	23.976704	 	22.589960	 	22.532362	 0.270300	 3.87400e-01	 1.01900e-01	 1.08600e+00	 1.08600e+00	 1.46200e-01	 1.08600e+00	 1.08570000e+00	 1.70276300e-01	 0.164235400
       6	     6	109.387856	+37.720364	-	27.878200	 	26.348700	 	25.594200	 2.51495e+01	 	25.135400	 	24.783600	 	24.395100	-	24.136690	-	28.993071	 	25.486382	 1.086000	 2.28100e-01	 8.58800e-02	 5.99400e-02	 8.86700e-02	 5.88900e-02	 5.37000e-02	 1.08570000e+00	 1.08570000e+00	 0.461372100
       7	     7	109.388321	+37.720005	-	27.894500	 	26.470200	 	25.621500	 2.56711e+01	 	25.504300	 	25.163800	 	25.319300	-	24.379522	-	29.049715	-	28.770596	 1.086000	 2.53500e-01	 8.50800e-02	 1.51500e-01	 2.46500e-01	 1.88200e-01	 8.45000e-02	 1.08570000e+00	 1.08570000e+00	 1.085700000
       8	     8	109.387222	+37.720009	 	27.897400	 	27.008000	 	26.637700	 2.67947e+01	 	25.683400	 	26.190900	 	25.429400	-	24.329409	-	28.560120	-	28.453598	 0.863900	 3.27500e-01	 1.73000e-01	 3.50400e-01	 2.21400e-01	 3.02600e-01	 9.55000e-02	 1.08570000e+00	 1.08570000e+00	 1.085700000
       9	     9	109.389626	+37.720024	 	27.322100	 	26.596200	 	26.272800	 2.59580e+01	 	25.706500	 	25.377600	 	25.315600	-	24.304207	 	25.534031	-	29.009077	 0.414600	 1.88000e-01	 1.01500e-01	 1.20000e-01	 1.56900e-01	 9.29400e-02	 2.30500e-01	 1.08570000e+00	 2.57285000e-01	 1.085700000
      10	    10	109.385223	+37.721447	 	27.371800	 	25.437600	 	24.560900	 2.37979e+01	 	23.596500	 	23.464500	 	23.406500	 	23.436111	-	28.012575	-	28.038315	 0.643700	 9.39700e-02	 3.15300e-02	 1.23200e-02	 1.11800e-02	 1.22600e-02	 1.30000e-02	 9.75825900e-02	 1.08570000e+00	 1.085700000
      11	    11	109.384995	+37.722145	 	25.335600	 	24.144000	 	22.274900	 2.14835e+01	 	21.184700	 	21.029900	 	20.876300	 	20.375086	 	20.106665	 	20.127447	 0.151200	 4.39000e-02	 6.00800e-03	 2.22600e-03	 2.16300e-03	 1.99100e-03	 1.60000e-03	 7.92164300e-03	 1.51731600e-02	 0.012124290
      12	    12	109.388855	+37.720863	-	29.131700	-	29.305900	 	28.275500	 2.86276e+01	 	28.225700	 	28.190100	 	27.784000	-	24.519854	 	25.789858	 	26.225195	 1.086000	 1.08600e+00	 3.27800e-01	 3.42200e-01	 4.03900e-01	 3.20600e-01	 2.28500e-01	 1.08570000e+00	 4.58378400e-01	 0.949310300
      13	    13	109.387764	+37.721695	 	26.203300	 	24.827500	 	24.553400	 2.41923e+01	 	24.087200	 	24.027000	 	23.886900	 	24.822607	-	28.989742	-	28.738588	 0.202500	 5.04000e-02	 2.90200e-02	 1.67000e-02	 1.85900e-02	 1.98500e-02	 2.48000e-02	 4.43325500e-01	 1.08570000e+00	 1.085700000
