#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:13:20 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:13:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/607/A30/m0717clz&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36070030
#Name: J/A+A/607/A30
#Title: ASTRODEEP Frontier Fields Catalogues (Di Criscienzo+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/607/a30	    IVOID of underlying data collection
#INFO	creator=Di Criscienzo M.	    First author or institution
#INFO	cites=bibcode:2017A&A...607A..30D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/607/A30	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-jz/lda	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_607_A30_m0717clz:
#Name: J/A+A/607/A30/m0717clz
#Title: Multi wavelength catalog and photometric redshift information of the MACSJ-0717 cluster
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	Identification number input photometric catalog (ID)	[ucd=meta.id;meta.main]
#Column	zbest	(F20.17)	? Reference (median) photo-z value except when a match with a publicly available high-quality spectroscopic source is found within 1 arcsec (ZBEST)	[ucd=src.redshift.phot]
#Column	e_zbest	(D12.5)	? Median photometric redshift uncertainty range (equal to = for spectroscopic sources) (ZBEST_SIQR)	[ucd=stat.error]
#Column	magnif	(F14.11)	? Median magnification (cluster fields), or magnification from the Merten model (parallel fields) (MAGNIF)	[ucd=phot.flux;arith.ratio]
#Column	f_zbest	(F4.1)	[0/1]? the value is set =1 for sources with spectroscopic redshift, =0 otherwise (ZSPECFLAG)	[ucd=meta.code]
#Column	chi2	(D13.6)	chi^2^ of the SED fitting with stellar only templates at redshift fixed to ZBEST (chi2)	[ucd=stat.fit.chi2;stat.fit]
#Column	Mstar	(D12.5)	Stellar mass (assuming Salpeter IMF) and relevant uncertainty range. (MSTAR)	[ucd=stat.error;phys.mass]
#Column	e_Mstar	(D13.6)	Lower uncertainty on Mstar (MASTAR_MIN)	[ucd=stat.error]
#Column	E_Mstar	(D12.5)	Upper uncertainty on Mstar (MSTAR_MAX)	[ucd=stat.error;stat.max]
#Column	SFR	(D12.5)	Star-formation rate (SFR)	[ucd=phys.SFR]
#Column	e_SFR	(D12.5)	Lower uncertainty on SFR (SFR_MIN)	[ucd=stat.error;phys.SFR]
#Column	E_SFR	(D12.5)	Upper uncertainty on SFRX (SFR_MA)	[ucd=stat.error;stat.max]
#Column	chi2Neb	(D13.6)	chi^2^ of the SED fitting with stellar plus nebular models at redshift fixed to ZBEST (chi2_NEB)	[ucd=stat.fit.chi2;stat.fit]
#Column	MstarNeb	(D12.5)	Stellar mass estimated from stellar plus nebular fits. (MASTAR_NEB)	[ucd=phys.mass]
#Column	e_MstarNeb	(D12.5)	Lower uncertainty on MstarNeb (MASS_MIN_NEB)	[ucd=stat.error]
#Column	E_MstarNeb	(D12.5)	Upper uncertainty on MstarNeb (MASS_MAX_NEB)	[ucd=stat.error;stat.max]
#Column	SFRNeb	(D12.5)	star-formation rate estimated from the stellar plus nebular fits (SFR_NEB)	[ucd=phys.SFR]
#Column	e_SFRNeb	(D12.5)	Lower uncertainty on SFRNbeb (SFR_MIN_NEB)	[ucd=stat.error]
#Column	E_SFRNeb	(D12.5)	Upper uncertainty on SFRNbeb (SFR_MAX_NEB)	[ucd=stat.error;stat.max]
#Column	relFlag	(F14.11)	[0/1]? This flag is meant to provide a combined indication of the robustness of photometric and photo-z estimates (RELFLAG) (1)	[ucd=meta.code]
recno	ID	zbest	e_zbest	magnif	f_zbest	chi2	Mstar	e_Mstar	E_Mstar	SFR	e_SFR	E_SFR	chi2Neb	MstarNeb	e_MstarNeb	E_MstarNeb	SFRNeb	e_SFRNeb	E_SFRNeb	relFlag
 	 	 	 	 	 	 	10+9Msun	10+9Msun	10+9Msun	 	 	 	 	10+9Msun	10+9Msun	10+9Msun	Msun/yr	Msun/yr	Msun/yr	
--------	------	--------------------	------------	--------------	----	-------------	------------	-------------	------------	------------	------------	------------	-------------	------------	------------	------------	------------	------------	------------	--------------
       1	     1	 0.01000000000000000	 0.00000e+00	 1.00000000000	 0.0	 1.000000e+31	 0.00000e+00	 3.818000e-03	 9.43400e-01	 0.00000e+00	 0.00000e+00	 4.02200e-01	 1.000000e+31	 0.00000e+00	 3.81800e-03	 9.43400e-01	 0.00000e+00	 0.00000e+00	 4.02200e-01	 0.00000000000
       2	     2	 0.48199999999999998	 2.70000e-02	 1.00000000000	 0.0	 1.422900e+00	 4.40600e+00	 2.542000e+00	 5.36300e+00	 2.34800e+00	 1.79800e+00	 4.59600e+00	 9.235500e-01	 3.47800e+00	 0.00000e+00	 0.00000e+00	 4.75800e+00	 0.00000e+00	 0.00000e+00	 1.00000000000
       3	     3	 5.75499999999999989	 9.66500e-02	 2.43119600000	 0.0	 2.263100e+01	 9.09800e+01	 7.820000e+01	 4.73000e+02	 9.37400e+03	 5.09200e+03	 2.16300e+04	 3.443700e+01	 5.78000e+01	 5.75500e+01	 7.70700e+02	 5.16500e+03	 2.18200e+03	 2.31800e+04	 1.00000000000
       4	     4	 6.31715099999999996	 1.00000e-02	 2.01169200000	 0.0	 2.651400e+01	 3.80100e+00	 3.093000e+00	 2.06900e+01	 3.89100e+02	 1.65800e+02	 7.47300e+02	 3.109000e+01	 5.13400e+00	 2.56800e+00	 6.05300e+01	 2.45600e+02	 9.78500e+01	 1.06100e+03	 0.00000000000
       5	     5	 3.68699999999999983	 1.36750e+00	 1.86065900000	 0.0	 1.275000e+01	 6.44700e+00	 4.696000e-01	 4.98600e+01	 1.44300e+02	 7.79500e+00	 7.07700e+02	 1.309800e+01	 4.02800e+00	 3.95400e-01	 5.44800e+01	 9.01300e+01	 5.49500e+00	 7.83200e+02	 0.00000000000
       6	     6	 0.01000000000000000	 0.00000e+00	 1.00000000000	 0.0	 1.000000e+30	 0.00000e+00	 1.109000e-03	 3.48400e-01	 0.00000e+00	 0.00000e+00	 1.27100e-01	 1.000000e+30	 0.00000e+00	 1.10900e-03	 3.48400e-01	 0.00000e+00	 0.00000e+00	 1.27100e-01	 1.00000000000
       7	     7	 0.55000000000000004	 2.35000e-02	 1.00535500000	 0.0	 1.833800e+00	 2.85100e-02	 1.156000e-02	 2.96800e-01	 2.92100e+00	 6.94100e-03	 5.10000e+00	 1.628100e+00	 1.29100e-02	 2.85900e-02	 2.15600e-01	 1.33100e+00	 3.72200e-02	 4.53900e+00	 0.00000000000
       8	     8	 2.40099999999999980	 4.75000e-01	 1.75360000000	 0.0	 2.107500e+00	 1.87600e+00	 7.936000e-01	 5.38000e+00	 2.19600e+00	 1.79900e-01	 9.77200e+00	 2.219900e+00	 1.67100e+00	 7.30800e-01	 6.58600e+00	 1.58700e+00	 1.79900e-01	 9.78800e+01	 0.00000000000
       9	     9	 0.01000000000000000	 0.00000e+00	 1.00000000000	 0.0	 1.000000e+30	 0.00000e+00	 5.206000e-04	 1.71300e-01	 0.00000e+00	 0.00000e+00	 6.57500e-02	 1.000000e+30	 0.00000e+00	 5.20600e-04	 1.71300e-01	 0.00000e+00	 0.00000e+00	 6.57500e-02	 0.00000000000
      10	    10	 0.10500000000000000	 3.85000e-02	 1.00000000000	 0.0	 3.958400e-01	 1.53300e-01	 9.727000e-03	 4.22300e-01	 0.00000e+00	 0.00000e+00	 8.52400e+00	 4.049900e-01	 1.53200e-01	 9.72700e-03	 4.22300e-01	 0.00000e+00	 0.00000e+00	 8.52400e+00	 1.00000000000
      11	    11	 0.96384999999999998	 5.50000e-02	 1.31636000000	 0.0	 1.990700e+00	 8.62400e+01	 5.492000e+01	 1.14400e+02	 5.86100e-01	 1.87400e-01	 7.92500e+00	 1.911000e+00	 9.49100e+01	 5.95500e+01	 1.14400e+02	 4.26300e-01	 2.28800e-01	 2.02900e+00	 1.00000000000
      12	    12	 4.34900000000000020	 1.62500e-01	 1.96919600000	 0.0	 3.797000e-01	 4.29400e+00	 3.610000e-02	 1.87800e+01	 6.67300e-01	 2.09600e-03	 3.58500e+02	 3.687900e-01	 3.38400e-01	 3.61000e-02	 1.87800e+01	 3.46800e+01	 2.09600e-03	 3.58500e+02	 1.00000000000
