#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:34:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:34:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/211/21/zspec&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22110021
#Name: J/ApJS/211/21
#Title: Spectroscopic redshifts of galaxies in MACS (Ebeling+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/apjs/211/21	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/211/21	    IVOID of underlying data collection
#INFO	creator=Ebeling H.	    First author or institution
#INFO	cites=bibcode:2014ApJS..211...21E	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/211/21	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22110021	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-07-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_211_21_zspec:
#Name: J/ApJS/211/21/zspec
#Title: Combined table from original tables
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MACSg	(A19)	Galaxy identifier (JHHMMSS.ss+DDMMSS.s) <MACSg JHHHMMSS.ss+DDMMSS.s> in Simbad	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascention in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	EmLT	(A3)	Spectral type (1)	[ucd=src.spType]
#Column	Inst	(A1)	Instrument (2)	[ucd=meta.id;instr]
#Column	CXO	(A3)	X-ray counterpart flag (XPS = Chandra X-ray point source)	[ucd=meta.code]
#Column	MACS	(A12)	Massive galaxy cluster name (<MCS JHHMM.m+DDMM> in SIMBAD)	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
 	 	deg	deg	 	 	 	 	 	 	
--------	-------------------	----------	----------	-------	-------	---	-	---	------------	------
       1	J041628.08-240441.1	063.955627	-24.086828	 0.3050	 0.0010	A  	 	   	J0416.1-2403	Simbad
       2	J041549.59-240250.2	063.956627	-24.047287	 0.3965	 0.0003	A  	 	   	J0416.1-2403	Simbad
       3	J041550.24-240257.6	063.959328	-24.049345	 0.2817	 0.0005	A  	 	   	J0416.1-2403	Simbad
       4	J041550.35-240710.5	063.959797	-24.119589	 0.3761	 0.0005	A  	 	   	J0416.1-2403	Simbad
       5	J041552.15-240430.1	063.967289	-24.075041	 0.4031	 0.0010	A  	 	   	J0416.1-2403	Simbad
       6	J041553.00-240717.0	063.970829	-24.121374	 0.3560	 0.0003	A  	 	   	J0416.1-2403	Simbad
       7	J041553.98-240418.6	063.974934	-24.071848	 0.4002	 0.0010	A  	 	   	J0416.1-2403	Simbad
       8	J041554.27-240715.0	063.976131	-24.120829	 0.3553	 0.0003	A  	 	   	J0416.1-2403	Simbad
       9	J041555.36-240643.6	063.980652	-24.112108	 0.3937	 0.0003	A  	 	   	J0416.1-2403	Simbad
      10	J041555.94-240526.3	063.983093	-24.090635	 0.3965	 0.0003	A  	 	   	J0416.1-2403	Simbad
      11	J041557.83-240452.0	063.990978	-24.081121	 0.4002	 0.0010	A  	 	   	J0416.1-2403	Simbad
      12	J041558.16-240525.8	063.992317	-24.090488	 0.3761	 0.0010	A  	 	   	J0416.1-2403	Simbad
      13	J041558.98-240630.1	063.995758	-24.108376	 0.4089	 0.0010	A  	 	   	J0416.1-2403	Simbad
      14	J041559.10-240321.3	063.996231	-24.055914	 0.3904	 0.0003	A  	 	   	J0416.1-2403	Simbad
      15	J041559.78-240511.0	063.999062	-24.086397	 0.3070	 0.0003	A  	 	   	J0416.1-2403	Simbad
      16	J041600.38-240503.7	064.001572	-24.084352	 0.3072	 0.0003	A  	 	   	J0416.1-2403	Simbad
      17	J041601.39-240443.6	064.005798	-24.078766	 0.3945	 0.0003	A  	 	   	J0416.1-2403	Simbad
      18	J041602.02-240458.3	064.008415	-24.082867	 0.4016	 0.0005	A  	 	   	J0416.1-2403	Simbad
      19	J041602.70-240509.6	064.011269	-24.085991	 0.3962	 0.0003	A  	 	   	J0416.1-2403	Simbad
      20	J041603.57-240553.5	064.014862	-24.098206	 0.4000	 0.0003	A  	 	   	J0416.1-2403	Simbad
      21	J041604.07-240522.7	064.016968	-24.089649	 0.3960	 0.0003	A  	 	   	J0416.1-2403	Simbad
      22	J041604.39-240140.2	064.018280	-24.027819	 0.3967	 0.0003	A  	 	   	J0416.1-2403	Simbad
      23	J041604.82-240538.8	064.020096	-24.094109	 0.3844	 0.0005	A  	 	   	J0416.1-2403	Simbad
      24	J041605.26-240520.7	064.021919	-24.089087	 0.3944	 0.0003	A  	 	   	J0416.1-2403	Simbad
      25	J041605.53-240736.0	064.023041	-24.126678	 0.3902	 0.0003	A  	 	   	J0416.1-2403	Simbad
      26	J041605.95-240420.1	064.024773	-24.072264	 0.3976	 0.0003	A  	 	   	J0416.1-2403	Simbad
      27	J041606.06-240649.9	064.025230	-24.113859	 0.3961	 0.0003	A  	 	   	J0416.1-2403	Simbad
