ID,RA_deg,Dec_deg,ID_MUSE,sigma_kms,e_sigma_kms,SN
2,177.40645,22.38958,3908,266.8,3.5,54.3
3,177.40369,22.38911,4772,117.7,6.7,15.3
4,177.39168,22.39062,5057,125.9,3.7,28.9
5,177.39855,22.38979,5353,108.9,7.7,11.0
8,177.39869,22.39230,4814,129.5,8.9,19.9
9,177.40366,22.39194,5589,205.2,9.2,27.2
10,177.39266,22.39273,5503,205.4,3.7,38.7
12,177.39123,22.39272,4969,130.0,8.2,18.1
16,177.38945,22.39391,5388,199.4,7.0,22.8
17,177.39583,22.39350,5701,160.4,11.9,24.0
18,177.39288,22.39710,6445,136.1,5.5,19.7
20,177.39269,22.39436,6124,144.0,8.0,13.6
21,177.40358,22.39638,6006,250.4,4.0,45.8
22,177.39778,22.39545,5810,236.7,6.6,29.0
24,177.39278,22.39809,6132,166.3,3.7,30.9
26,177.39875,22.39854,5480,271.2,4.4,47.5
27,177.40262,22.39619,5620,140.0,7.6,15.4
30,177.39983,22.39726,6338,172.8,5.6,28.2
32,177.40103,22.39788,6340,303.8,7.1,32.5
35,177.40544,22.39787,6670,187.0,4.3,26.9
38,177.40752,22.40305,7342,299.4,5.0,44.5
42,177.40226,22.39975,7170,166.9,6.5,18.8
44,177.40120,22.40033,7207,188.9,4.1,31.1
45,177.39752,22.39954,6752,191.1,9.8,19.2
46,177.39965,22.39961,7070,74.8,7.3,11.5
47,177.39796,22.40105,6697,182.5,3.8,36.6
49,177.39097,22.40168,7566,106.4,3.3,25.1
55,177.39886,22.40181,7463,147.4,7.7,13.2
61,177.40372,22.40458,10247,193.5,5.0,26.6
62,177.39015,22.40390,13114,174.0,9.8,13.6
63,177.39109,22.40491,10466,254.7,4.5,40.9
66,177.39183,22.40529,10542,225.6,5.4,29.6
169,177.39815,22.40741,12242,212.0,5.2,31.3
177,177.39900,22.41839,10144,116.1,4.8,19.0
197,177.39826,22.41079,11671,170.5,3.3,36.0
220,177.38947,22.40638,12900,121.7,4.5,22.5
226,177.38811,22.40841,12169,218.8,4.3,36.0
234,177.38390,22.41028,11759,136.6,4.3,24.5
246,177.38354,22.41494,10943,56.1,5.7,23.1
247,177.39524,22.41493,10946,122.3,5.7,17.1
248,177.38887,22.41415,11033,111.6,7.0,14.6
250,177.39772,22.41521,10838,133.7,12.6,10.4
252,177.39383,22.41169,11372,182.4,3.6,38.7
254,177.39472,22.41441,11038,106.5,5.1,17.4
255,177.38811,22.41376,11009,207.7,6.4,23.1
258,177.39659,22.41333,11151,177.4,3.5,33.8
262,177.38275,22.41310,10891,107.6,7.0,12.9
268,177.39703,22.41156,11618,153.8,7.8,13.9
274,177.39405,22.40844,12377,132.1,5.9,18.8
276,177.39427,22.40756,12443,93.8,7.2,16.2
279,177.39683,22.41746,10217,191.6,4.6,29.5
