#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/477/648/tablea2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74770648
#Name: J/MNRAS/477/648
#Title: Abell S1063 and MACS J1149.5+2223 photometry (Tortorelli+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/477/648	    IVOID of underlying data collection
#INFO	creator=Tortorelli L.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.477..648T	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/477/648	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74770648	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_477_648_tablea2:
#Name: J/MNRAS/477/648/tablea2
#Title: *Photometric catalog (produced 2017-07-21) for MACSJ1149.5+2223 (z=0.542)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I2)	Object ID number within the table	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	F814Wmag	(F5.2)	F814W total magnitude (AB)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(F5.2)	1{sigma} standard deviation error on F814W total magnitude	[ucd=stat.error]
#Column	Re	(F5.2)	Circularized effective radius	[ucd=phys.size.radius]
#Column	e_Re	(F5.2)	1{sigma} standard deviation error on circularized effective radius	[ucd=stat.error]
#Column	mue	(F5.2)	Mean surface brightness within effective radius (1)	[ucd=phot.mag.sb]
#Column	e_mue	(F5.2)	1{sigma} standard deviation error on mean surface brightness within effective radius	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	1{sigma} standard deviation error on Sersic index	[ucd=stat.error]
recno	ID	RAJ2000	DEJ2000	F814Wmag	e_F814Wmag	Re	e_Re	mue	e_mue	n	e_n
 	 	deg	deg	mag	mag	kpc	kpc	mag/arcsec+2	mag/arcsec+2	 	
--------	--	---------	---------	-----	-----	-----	-----	-----	-----	----	----
       1	 1	177.38945	+22.39391	19.68	 0.08	 3.15	 0.46	18.32	 0.40	 4.8	 0.4
       2	 2	177.38970	+22.39271	20.35	 0.02	 3.24	 0.30	19.05	 0.22	 3.7	 0.2
       3	 3	177.39015	+22.40389	21.81	 0.02	 0.98	 0.09	17.91	 0.23	 4.4	 0.3
       4	 4	177.39097	+22.40168	20.94	 0.03	 1.49	 0.17	17.96	 0.28	 4.8	 0.4
       5	 5	177.39110	+22.40491	20.42	 0.04	 2.26	 0.33	18.33	 0.36	 6.5	 0.5
       6	 6	177.39120	+22.39271	20.82	 0.12	 5.96	 0.83	20.84	 0.43	 1.3	 0.3
       7	 7	177.39138	+22.40107	22.49	 0.06	 0.67	 0.08	17.75	 0.33	 2.4	 0.3
       8	 8	177.39168	+22.39062	20.54	 0.03	 3.04	 0.25	19.10	 0.21	 2.8	 0.2
       9	 9	177.39183	+22.40529	21.19	 0.01	 1.01	 0.08	17.35	 0.19	 3.7	 0.4
      10	10	177.39217	+22.40128	22.80	 0.02	 0.54	 0.04	17.60	 0.20	 2.6	 0.5
      11	11	177.39266	+22.39273	20.26	 0.03	 1.99	 0.36	17.90	 0.42	 2.9	 0.3
      12	12	177.39269	+22.39436	21.61	 0.05	 1.37	 0.13	18.43	 0.26	 3.4	 0.2
      13	13	177.39278	+22.39810	20.52	 0.04	 1.92	 0.17	18.09	 0.23	 2.3	 0.2
      14	14	177.39288	+22.39710	21.13	 0.01	 1.79	 0.13	18.54	 0.17	 3.7	 0.2
      15	15	177.39381	+22.40231	22.66	 0.06	 1.27	 0.12	19.33	 0.25	 4.0	 0.3
      16	16	177.39416	+22.39503	23.61	 0.18	 1.39	 0.34	20.46	 0.72	 2.3	 0.6
      17	17	177.39453	+22.40063	22.29	 0.04	 2.76	 0.16	20.64	 0.17	 3.1	 0.1
      18	18	177.39484	+22.39292	23.06	 0.06	 1.22	 0.16	19.63	 0.34	 3.6	 0.5
      19	19	177.39503	+22.39602	22.62	 0.09	 1.10	 0.15	18.97	 0.39	 2.0	 0.1
      20	20	177.39507	+22.38985	22.77	 0.29	 0.77	 0.48	18.36	 1.60	 6.0	 3.8
      21	21	177.39527	+22.40105	22.07	 0.03	 1.19	 0.08	18.58	 0.18	 3.6	 0.2
      22	22	177.39584	+22.39350	21.31	 0.01	 2.38	 0.08	19.34	 0.08	 7.0	 0.1
      23	23	177.39688	+22.39231	22.53	 0.12	 3.14	 0.30	21.16	 0.33	 4.5	 0.4
      24	24	177.39694	+22.39297	20.55	 0.01	 2.89	 0.07	19.00	 0.06	 4.2	 0.1
      25	25	177.39726	+22.40029	22.71	 0.45	 3.90	 1.70	21.81	 1.40	 2.5	 0.8
