cluster	image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
Abell 2744	1.1	1	3.5975417	-30.4039167	1.72	model	0.07	0.07	[0.6-6.0]	orig_sexagesimal=00 14 23.41 -30 24 14.10
Abell 2744	1.2	1	3.5959583	-30.4068222	1.72	model_sys	0.07	0.07		orig_sexagesimal=00 14 23.03 -30 24 24.56;z propagated from same system
Abell 2744	1.3	1	3.5862083	-30.4099861	1.72	model_sys	0.07	0.07		orig_sexagesimal=00 14 20.69 -30 24 35.95;z propagated from same system
Abell 2744	2.1	2	3.5832500	-30.4033500	2.33	model	0.12	0.12	[0.6-6.0]	orig_sexagesimal=00 14 19.98 -30 24 12.06
Abell 2744	2.2	2	3.5972917	-30.3967250	2.33	model_sys	0.12	0.12		orig_sexagesimal=00 14 23.35 -30 23 48.21;z propagated from same system
Abell 2744	2.3	2	3.5854167	-30.3998972	2.33	model_sys	0.12	0.12		orig_sexagesimal=00 14 20.50 -30 23 59.63;z propagated from same system
Abell 2744	2.4	2	3.5864167	-30.4021278	2.33	model_sys	0.12	0.12		orig_sexagesimal=00 14 20.74 -30 24 07.66;z propagated from same system
Abell 2744	3.1	3	3.5893750	-30.3938750	2.34	model	0.13	0.13	[0.6-6.0]	orig_sexagesimal=00 14 21.45 -30 23 37.95
Abell 2744	3.2	3	3.5887917	-30.3938028	2.34	model_sys	0.13	0.13		orig_sexagesimal=00 14 21.31 -30 23 37.69;z propagated from same system
Abell 2744	3.3	3	3.5775000	-30.3995667	2.34	model_sys	0.13	0.13		orig_sexagesimal=00 14 18.60 -30 23 58.44;z propagated from same system
Abell 2744	4.1	4	3.5921250	-30.4026333	3.5800	spec				orig_sexagesimal=00 14 22.11 -30 24 09.48
Abell 2744	4.2	4	3.5956250	-30.4016222	3.5800	spec				orig_sexagesimal=00 14 22.95 -30 24 05.84
Abell 2744	4.3	4	3.5804167	-30.4089250	3.5800	spec				orig_sexagesimal=00 14 19.30 -30 24 32.13
Abell 2744	4.4	4	3.5932083	-30.4049139	3.5800	spec				orig_sexagesimal=00 14 22.37 -30 24 17.69
Abell 2744	4.5	4	3.5935833	-30.4051056	3.5800	spec				orig_sexagesimal=00 14 22.46 -30 24 18.38
Abell 2744	5.1	5	3.5834167	-30.3920694	3.50	model	0.47	0.47	[0.6-6.0]	orig_sexagesimal=00 14 20.02 -30 23 31.45
Abell 2744	5.2	5	3.5850000	-30.3913750	3.50	model_sys	0.47	0.47		orig_sexagesimal=00 14 20.40 -30 23 28.95;z propagated from same system
Abell 2744	5.3	5	3.5799583	-30.3947611	3.50	model_sys	0.47	0.47		orig_sexagesimal=00 14 19.19 -30 23 41.14;z propagated from same system
Abell 2744	6.1	6	3.5985417	-30.4018000	2.0190	spec				orig_sexagesimal=00 14 23.65 -30 24 06.48
Abell 2744	6.2	6	3.5940417	-30.4080111	2.0190	spec				orig_sexagesimal=00 14 22.57 -30 24 28.84
Abell 2744	6.3	6	3.5864167	-30.4093722	2.0190	spec				orig_sexagesimal=00 14 20.74 -30 24 33.74
Abell 2744	7.1	7	3.5982500	-30.4023194	2.63	model	0.17	0.17	[0.6-6.0]	orig_sexagesimal=00 14 23.58 -30 24 08.35
Abell 2744	7.2	7	3.5952083	-30.4074250	2.63	model_sys	0.17	0.17		orig_sexagesimal=00 14 22.85 -30 24 26.73;z propagated from same system
Abell 2744	7.3	7	3.5845833	-30.4098139	2.63	model_sys	0.17	0.17		orig_sexagesimal=00 14 20.30 -30 24 35.33;z propagated from same system
Abell 2744	8.1	8	3.5897083	-30.3943389	5.12	model	0.79	0.79	[0.6-6.0]	orig_sexagesimal=00 14 21.53 -30 23 39.62
Abell 2744	8.2	8	3.5888333	-30.3942222	5.12	model_sys	0.79	0.79		orig_sexagesimal=00 14 21.32 -30 23 39.20;z propagated from same system
Abell 2744	9.1	9	3.5883750	-30.4052722	4.60	model	0.35	0.35	[0.6-6.0]	orig_sexagesimal=00 14 21.21 -30 24 18.98
