image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
12.1b	12	064.036838	-24.067456	0.940	spec				comment=-
12.1c	12	064.036504	-24.067024	0.940	spec				comment=-
12.2b	12	064.036658	-24.067316	0.940	spec				comment=b
12.2c	12	064.036592	-24.067231	0.940	spec				comment=b
12.3b	12	064.036567	-24.067368	0.940	spec				comment=b
12.3c	12	064.036496	-24.067272	0.940	spec				comment=b
12.4b	12	064.036283	-24.067485	0.940	spec				comment=b
12.4c	12	064.036267	-24.067462	0.940	spec				comment=b
12.5b	12	064.036904	-24.067201	0.940	spec				comment=b
12.5c	12	064.036833	-24.067101	0.940	spec				comment=b
12.6b	12	064.036608	-24.067572	0.940	spec				comment=b
12.6c	12	064.036292	-24.067157	0.940	spec				comment=b
13a	13	064.039245	-24.070383	1.005	spec				comment=-
13b	13	064.038301	-24.069728	1.005	spec				comment=-
13c	13	064.034234	-24.066016	1.005	spec				comment=-
201a	201	064.040364	-24.073056	1.147	spec				comment=a
201c	201	064.033270	-24.067470	1.147	spec				comment=a
24a	24	064.035833	-24.081321	1.637	spec				comment=-
24b	24	064.031039	-24.078953	1.637	spec				comment=-
24c	24	064.026239	-24.074337	1.637	spec				comment=-
5.1a	5	064.047367	-24.068671	1.893	spec				comment=-
5.1b	5	064.043479	-24.063523	1.893	spec				comment=-
5.1c	5	064.040783	-24.061609	1.893	spec				comment=-
5.2a	5	064.047462	-24.068823	1.893	spec				comment=b
5.2b	5	064.043075	-24.063084	1.893	spec				comment=b
5.2c	5	064.041083	-24.061802	1.893	spec				comment=b
5.3a	5	064.047483	-24.068851	1.893	spec				comment=-
5.3b	5	064.043021	-24.063021	1.893	spec				comment=-
5.3c	5	064.041162	-24.061848	1.893	spec				comment=-
5.4a	5	064.047583	-24.068884	1.893	spec				comment=b
5.4b	5	064.042908	-24.062865	1.893	spec				comment=b
5.4c	5	064.041479	-24.061979	1.893	spec				comment=b
5.5a	5	064.047650	-24.068971	1.893	spec				comment=b
5.5b	5	064.042762	-24.062771	1.893	spec				comment=b
5.5c	5	064.041704	-24.062128	1.893	spec				comment=b
5.6a	5	064.047737	-24.069012	1.893	spec				comment=b
5.6b	5	064.042571	-24.062628	1.893	spec				comment=b
5.6c	5	064.042071	-24.062319	1.893	spec				comment=b
36a	36	064.031620	-24.085769	1.964	spec				comment=-
36b	36	064.028335	-24.084550	1.964	spec				comment=-
36c	36	064.024074	-24.080895	1.964	spec				comment=-
15.1a	15	064.041804	-24.075731	1.990	spec				comment=-
15.1b	15	064.035250	-24.070988	1.990	spec				comment=-
15.1c	15	064.030771	-24.067126	1.990	spec				comment=-
15.2a	15	064.041833	-24.075826	1.990	spec				comment=-
15.2b	15	064.035171	-24.071002	1.990	spec				comment=-
15.2c	15	064.030771	-24.067217	1.990	spec				comment=-
15.4a	15	064.042096	-24.075976	1.990	spec				comment=b
15.4b	15	064.035008	-24.070843	1.990	spec				comment=b
15.4c	15	064.030996	-24.067308	1.990	spec				comment=b
7a	7	064.047102	-24.071107	2.085	spec				comment=-
7b	7	064.040664	-24.063586	2.085	spec				comment=-
7c	7	064.039795	-24.063081	2.085	spec				comment=-
202.1b	202	064.036933	-24.066478	2.091	spec				comment=ab
202.1c	202	064.036406	-24.066004	2.091	spec				comment=ab
202.2b	202	064.036847	-24.066341	2.091	spec				comment=ac
202.2c	202	064.036601	-24.066122	2.091	spec				comment=ac
10a	10	064.044564	-24.072092	2.093	spec				comment=-
10b	10	064.039576	-24.066623	2.093	spec				comment=-
10c	10	064.034336	-24.063734	2.093	spec				comment=-
16.1a	16	064.033608	-24.069504	2.095	spec				comment=b
16.1b	16	064.032596	-24.068608	2.095	spec				comment=b
16.1c	16	064.032372	-24.068368	2.095	spec				comment=abd
16.2a	16	064.033525	-24.069450	2.095	spec				comment=-
16.2b	16	064.032655	-24.068662	2.095	spec				comment=-
16.2c	16	064.032415	-24.068415	2.095	spec				comment=d
16.2d	16	064.032450	-24.068436	2.095	spec				comment=bd
16.2e	16	064.032426	-24.068486	2.095	spec				comment=abd
4a	4	064.048126	-24.066957	2.107	spec				comment=-
4b	4	064.047468	-24.066039	2.107	spec				comment=-
4c	4	064.042209	-24.060541	2.107	spec				comment=-
37a	37	064.029809	-24.086363	2.218	spec				comment=-
37b	37	064.028610	-24.085973	2.218	spec				comment=-
37c	37	064.023345	-24.081580	2.218	spec				comment=-
203b	203	064.041082	-24.063064	2.245	spec				comment=a
203c	203	064.040921	-24.062958	2.245	spec				comment=a
8a	8	064.044624	-24.071488	2.282	spec				comment=-
8b	8	064.040485	-24.066330	2.282	spec				comment=-
8c	8	064.034256	-24.063003	2.282	spec				comment=-
29a	29	064.036696	-24.083910	2.298	spec				comment=-
29b	29	064.028408	-24.079743	2.298	spec				comment=-
29c	29	064.026054	-24.077252	2.298	spec				comment=-
23a	23	064.035668	-24.079920	2.542	spec				comment=-
