id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	227.740259	5.766147	0.077310	0.000097	T13		1.343	0.1179
	227.737793	5.762320	0.075929	0.000073	T13		1.083	0.0951
	227.744635	5.770809	0.074208	0.000013	SDSS		1.695	0.1488
	227.738249	5.754465	0.077260	0.000087	T13		0.643	0.0565
	227.749463	5.769346	0.078281	0.000073	T13		1.750	0.1537
	227.735039	5.751555	0.079378	0.000117	MMT		0.417	0.0366
	227.732491	5.765348	0.078985	0.000060	T13		1.240	0.1089
	227.750338	5.782786	0.078267	0.000080	T13		2.489	0.2186
	227.735860	5.775843	0.081326	0.000080	T13		1.872	0.1644
	227.728122	5.756973	0.080119	0.000087	T13		0.808	0.0710
	227.733751	5.744775	0.078054	0.000027	NED		0.003	0.0003
	227.724321	5.766815	0.081673	0.000087	T13		1.440	0.1265
	227.762156	5.751119	0.079465	0.000090	MMT		1.739	0.1527
	227.717044	5.753034	0.074562	0.000073	T13		1.115	0.0979
	227.776630	5.756340	0.081216	0.000123	T13		2.653	0.2330
	227.724699	5.726324	0.081840	0.000067	MMT		1.229	0.1079
	227.742881	5.717036	0.080913	0.000103	T13		1.748	0.1535
	227.752795	5.723118	0.076309	0.000080	T13		1.724	0.1514
	227.699795	5.757562	0.075736	0.000073	T13		2.169	0.1904
	227.710599	5.760976	0.081957	0.000087	T13		1.692	0.1485
	227.754692	5.795860	0.079799	0.000137	T13		3.313	0.2909
	227.704789	5.769446	0.073634	0.000160	MMT		2.278	0.2001
	227.715743	5.778881	0.080145	0.000110	T13		2.314	0.2032
	227.739638	5.801346	0.075629	0.000130	MMT		3.416	0.2999
	227.745328	5.806815	0.077901	0.000017	T13		3.789	0.3327
	227.773031	5.730126	0.074825	0.000080	T13		2.503	0.2198
	227.761628	5.802167	0.074365	0.000050	T13		3.828	0.3361
	227.765850	5.733974	0.076473	0.000090	T13		2.022	0.1775
	227.770761	5.737997	0.074231	0.000133	T13		2.246	0.1972
	227.773808	5.744911	0.080102	0.000127	T13		2.391	0.2100
	227.776939	5.737470	0.082167	0.000120	T13		2.615	0.2296
	227.717858	5.721447	0.079972	0.000060	MMT		1.688	0.1482
	227.704297	5.733846	0.073114	0.000067	T13		1.875	0.1647
	227.712836	5.716754	0.073988	0.000047	T13		2.092	0.1837
	227.714055	5.714024	0.076900	0.000077	MMT		2.185	0.1919
	227.778031	5.727659	0.080416	0.000070	T13		2.835	0.2489
	227.748590	5.714486	0.082557	0.000097	T13		2.019	0.1773
	227.760987	5.702899	0.081276	0.000083	T13		2.990	0.2626
	227.769822	5.717389	0.085212	0.000237	MMT		2.707	0.2377
	227.780006	5.712316	0.080976	0.000070	T13		3.377	0.2966
	227.695122	5.794563	0.074672	0.000073	T13		3.776	0.3316
	227.693072	5.798840	0.079205	0.000077	T13		4.055	0.3561
	227.689597	5.761984	0.077313	0.000183	MMT		2.832	0.2487
	227.712637	5.800867	0.074371	0.000077	T13		3.597	0.3158
	227.711906	5.802839	0.076023	0.000193	T13		3.723	0.3269
	227.752958	5.819182	0.085839	0.000077	T13		4.613	0.4050
	227.705282	5.790096	0.075726	0.000067	MMT		3.209	0.2818
	227.745869	5.818277	0.073651	0.000070	T13		4.472	0.3927
	227.766094	5.813073	0.073668	0.000163	MMT		4.533	0.3980
	227.789366	5.796049	0.074205	0.000053	T13		4.529	0.3977
	227.792295	5.796344	0.076763	0.000050	T13		4.670	0.4101
	227.790167	5.754511	0.080676	0.000077	T13		3.419	0.3002
	227.655041	5.725204	0.077357	0.000080	MMT		4.843	0.4252
	227.667414	5.740278	0.069568	0.000073	T13		3.969	0.3485
	227.676988	5.718882	0.073244	0.000070	T13		3.726	0.3272
	227.694560	5.695429	0.076493	0.000053	T13		3.771	0.3311
	227.722525	5.699576	0.082737	0.000093	T13		2.790	0.2450
	227.730497	5.694237	0.079865	0.000050	T13		3.035	0.2665
	227.736738	5.676912	0.081520	0.000040	T13		4.072	0.3576
	227.694392	5.690502	0.078031	0.000080	T13		4.013	0.3524
	227.697034	5.678503	0.081033	0.000097	T13		4.538	0.3985
	227.744896	5.691886	0.072524	0.000057	T13		3.239	0.2844
	227.765694	5.687283	0.084342	0.000107	T13		3.939	0.3459
	227.767377	5.687688	0.072527	0.000017	T13		3.967	0.3484
	227.776750	5.689700	0.080672	0.000050	T13		4.182	0.3672
	227.786009	5.708915	0.076897	0.000077	T13		3.788	0.3326
	227.808073	5.717376	0.082113	0.000100	T13		4.731	0.4154
	227.816648	5.696620	0.083501	0.000097	T13		5.729	0.5031
	227.819432	5.722711	0.073868	0.000080	T13		5.283	0.4639
	227.768014	5.677406	0.083371	0.000157	MMT		4.527	0.3976
	227.677171	5.747531	0.078024	0.000117	T13		3.382	0.2970
	227.675964	5.805156	0.072280	0.000100	T13		5.005	0.4395
	227.656617	5.791334	0.076833	0.000060	T13		5.387	0.4731
	227.670577	5.820753	0.073017	0.000070	T13		5.919	0.5197
	227.672433	5.820231	0.076119	0.000197	T13		5.824	0.5115
	227.686506	5.836255	0.076900	0.000080	T13		6.174	0.5421
	227.676928	5.778149	0.077227	0.000070	T13		3.941	0.3460
	227.658658	5.788322	0.076800	0.000133	MMT		5.190	0.4558
	227.654517	5.755559	0.069565	0.000150	T13		4.775	0.4193
	227.658285	5.756101	0.087167	0.000113	T13		4.557	0.4001
	227.661397	5.776636	0.075265	0.000150	T13		4.725	0.4149
	227.679889	5.812976	0.078004	0.000057	T13		5.207	0.4572
	227.678538	5.741383	0.074215	0.000087	T13		3.302	0.2900
	227.688477	5.825774	0.079335	0.000110	T13		5.564	0.4886
	227.707440	5.815711	0.079425	0.000080	T13		4.540	0.3986
	227.712532	5.840239	0.073858	0.000060	MMT		5.869	0.5154
	227.711262	5.840753	0.077103	0.000087	T13		5.916	0.5195
	227.718145	5.821869	0.076086	0.000083	T13		4.722	0.4146
	227.722312	5.833553	0.073844	0.000047	T13		5.374	0.4719
	227.756252	5.827165	0.072063	0.000113	MMT		5.126	0.4501
	227.792303	5.823225	0.076800	0.000010	SDSS		5.865	0.5151
	227.762751	5.830590	0.083004	0.000057	T13		5.435	0.4773
	227.770122	5.829326	0.084108	0.000063	T13		5.521	0.4848
	227.794366	5.832441	0.074211	0.000047	T13		6.387	0.5609
	227.797576	5.812311	0.076813	0.000053	T13		5.564	0.4886
	227.793123	5.814369	0.079872	0.000013	SDSS		5.480	0.4812
	227.791039	5.813705	0.080029	0.000080	T13		5.369	0.4715
	227.810618	5.822241	0.076736	0.000063	T13		6.534	0.5737
	227.818872	5.764542	0.079021	0.000077	T13		5.219	0.4583
	227.820061	5.751223	0.080606	0.000080	MMT		5.167	0.4538
	227.832568	5.744460	0.078067	0.000063	T13		5.899	0.5180
	227.767220	5.848005	0.080656	0.000123	MMT		6.511	0.5718
	227.803834	5.826025	0.078805	0.000110	T13		6.427	0.5643
	227.817017	5.775886	0.073317	0.000020	T13		5.311	0.4664
	227.836149	5.771201	0.073948	0.000073	T13		6.316	0.5546
	227.646261	5.656846	0.081016	0.000103	T13		7.422	0.6517
	227.661659	5.674413	0.082811	0.000027	T13		6.027	0.5292
	227.658157	5.672311	0.084915	0.000087	T13		6.264	0.5501
	227.666369	5.655278	0.076676	0.000067	T13		6.707	0.5890
	227.673884	5.667212	0.078401	0.000057	T13		5.865	0.5150
	227.680923	5.676043	0.077290	0.000053	T13		5.189	0.4557
	227.682419	5.671538	0.081176	0.000023	T13		5.355	0.4702
	227.698109	5.649094	0.085359	0.000047	T13		6.119	0.5374
	227.695092	5.647554	0.074668	0.000057	T13		6.270	0.5506
	227.707360	5.655485	0.080839	0.000077	T13		5.581	0.4901
	227.710364	5.624756	0.078354	0.000090	T13		7.332	0.6438
	227.717156	5.657484	0.074845	0.000113	T13		5.327	0.4678
	227.717168	5.624486	0.084015	0.000043	MMT		7.282	0.6394
	227.733444	5.649088	0.084051	0.000050	T13		5.738	0.5039
	227.733056	5.631971	0.078017	0.000053	T13		6.765	0.5941
	227.627433	5.730344	0.077120	0.000027	MMT		6.405	0.5625
	227.633845	5.714656	0.084025	0.000080	T13		6.231	0.5472
	227.651992	5.673718	0.074979	0.000150	MMT		6.479	0.5689
	227.692369	5.631109	0.079021	0.000077	MMT		7.251	0.6367
	227.723414	5.630618	0.075436	0.000050	MMT		6.874	0.6036
	227.740840	5.645011	0.078808	0.000167	MMT		5.997	0.5267
	227.825090	5.686826	0.068954	0.000083	T13		6.466	0.5678
	227.754356	5.632483	0.079108	0.000067	T13		6.846	0.6011
	227.753609	5.661349	0.080999	0.000097	T13		5.141	0.4514
	227.756037	5.659424	0.085866	0.000027	T13		5.288	0.4643
	227.774337	5.645055	0.073371	0.000050	T13		6.452	0.5666
	227.797515	5.674171	0.068221	0.000090	T13		5.693	0.4999
	227.799896	5.653831	0.084165	0.000160	T13		6.733	0.5912
	227.810869	5.646764	0.080025	0.000120	T13		7.466	0.6556
	227.811962	5.653905	0.079969	0.000067	T13		7.176	0.6301
	227.839657	5.688951	0.072303	0.000047	T13		7.154	0.6282
	227.848807	5.688612	0.080579	0.000103	T13		7.650	0.6717
