id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	227.595950	5.641540	0.076800				10.296	0.9041
	227.468860	5.679730	0.080800				16.288	1.4303
	227.585810	5.855020	0.081200				11.036	0.9691
	227.325470	5.516330	0.079300				27.966	2.4558
	227.343910	5.503990	0.075200				27.395	2.4056
	227.383760	5.558290	0.073100				23.703	2.0814
	227.357870	5.532410	0.073900				25.807	2.2661
	227.410700	5.622290	0.079900				20.639	1.8124
	227.548000	5.477630	0.078600				19.489	1.7114
	227.445000	5.660500	0.083500				17.965	1.5775
	227.430880	5.670020	0.083800				18.629	1.6359
	227.531860	5.663040	0.084200				13.012	1.1426
	227.543180	5.571140	0.076500				15.425	1.3545
	227.499770	5.678730	0.073200				14.519	1.2750
	227.572290	5.701190	0.078200				9.987	0.8770
	227.563560	5.634790	0.083100				12.114	1.0638
	227.551890	5.771320	0.086900				10.973	0.9636
	227.526120	5.843650	0.077800				13.742	1.2067
	227.667400	5.740260	0.069500				3.970	0.3486
	227.643530	5.859980	0.086400				8.765	0.7697
	227.675940	5.805160	0.072500				5.006	0.4396
	227.619670	5.687600	0.077500				7.624	0.6695
	227.651720	5.834370	0.079100				7.274	0.6387
	227.619550	5.638180	0.078100				9.346	0.8207
	227.677160	5.747530	0.078400				3.383	0.2970
	227.750290	5.756980	0.084700				1.231	0.1081
	227.718120	5.821870	0.076100				4.722	0.4147
	227.738230	5.754450	0.077500				0.642	0.0564
	227.699790	5.757560	0.075800				2.169	0.1904
	227.754660	5.795860	0.080000				3.313	0.2909
	227.728100	5.756970	0.080200				0.809	0.0710
	227.704300	5.733840	0.073200				1.875	0.1647
	227.848790	5.688620	0.080500				7.649	0.6716
	227.710370	5.624760	0.078400				7.332	0.6438
	227.799880	5.653830	0.084400				6.733	0.5912
	227.765690	5.687280	0.084400				3.939	0.3459
	227.825080	5.686830	0.069100				6.465	0.5677
	227.776750	5.689700	0.080700				4.182	0.3672
	227.797510	5.674170	0.068300				5.693	0.4999
	227.819420	5.722720	0.073900				5.282	0.4638
	227.728640	5.605660	0.078900				8.349	0.7332
	227.810850	5.646770	0.080300				7.465	0.6555
	227.937380	5.657770	0.078500				13.229	1.1617
	227.949360	5.756120	0.077700				12.890	1.1319
	227.806480	5.596630	0.079200				9.890	0.8684
	227.729620	5.558790	0.079400				11.159	0.9799
	227.804750	5.605050	0.073700				9.391	0.8247
	227.658420	5.495400	0.080200				15.621	1.3717
	227.845530	5.518850	0.075100				15.107	1.3265
	227.788450	5.519670	0.083400				13.892	1.2199
	227.681410	5.480900	0.073800				16.135	1.4168
	227.722960	5.455240	0.084100				17.381	1.5262
	227.810210	5.492150	0.079800				15.827	1.3898
	227.703400	5.406400	0.077800				20.380	1.7896
	227.743200	5.425330	0.082100				19.172	1.6835
	227.661230	5.431480	0.082800				19.287	1.6936
	227.785300	5.391300	0.079200				21.427	1.8816
	227.771350	5.360580	0.082300				23.158	2.0335
	227.744190	5.318090	0.080700				25.605	2.2485
	227.585680	5.404840	0.083700				22.227	1.9518
	227.568730	5.400710	0.077600				22.872	2.0085
	227.558420	5.417440	0.075500				22.254	1.9541
	227.722530	5.699570	0.082900				2.791	0.2450
	227.748580	5.714480	0.082700				2.019	0.1773
	227.781070	5.549910	0.085100				12.025	1.0560
	227.717160	5.657480	0.075000				5.327	0.4678
	227.819020	5.575440	0.081600				11.361	0.9977
	227.773060	5.730120	0.074900				2.505	0.2200
	227.760990	5.702900	0.081400				2.990	0.2626
	227.732220	5.336810	0.073500				24.475	2.1492
	227.754720	5.449360	0.075900				17.766	1.5601
	227.660010	6.040920	0.081800				18.309	1.6077
	227.606050	5.841120	0.074600				9.569	0.8403
	227.705500	5.947630	0.080000				12.291	1.0793
	227.651970	6.025550	0.081300				17.542	1.5404
	227.779750	6.148370	0.076000				24.374	2.1403
	227.831880	6.117170	0.084400				23.102	2.0286
	227.646200	5.960130	0.076300				13.941	1.2242
	227.641950	5.929910	0.078700				12.389	1.0879
	227.682250	5.970620	0.080400				13.898	1.2204
	227.668330	5.956030	0.078100				13.266	1.1649
	227.565540	5.893280	0.084300				13.426	1.1790
	227.632280	6.001960	0.080200				16.580	1.4559
	227.677620	5.990900	0.080700				15.146	1.3300
	227.604320	6.000890	0.081000				17.202	1.5106
	227.570720	5.946460	0.085800				15.531	1.3638
	227.577120	5.974720	0.075800				16.668	1.4637
	227.632630	5.977860	0.073400				15.235	1.3378
	227.648430	5.990620	0.084500				15.608	1.3706
	227.596660	6.037160	0.077500				19.360	1.7001
	227.620840	6.070690	0.081800				20.687	1.8165
	227.745420	6.111580	0.075700				22.023	1.9339
	227.711960	6.204300	0.077800				27.605	2.4241
	227.679880	6.198120	0.073500				27.393	2.4055
	227.733060	6.225930	0.085400				28.873	2.5354
	227.740600	6.260990	0.077300				30.979	2.7203
	227.819380	6.121680	0.077300				23.188	2.0362
	227.796360	6.237480	0.078900				29.801	2.6169
	227.792800	6.209390	0.075800				28.102	2.4677
	227.850730	6.182490	0.076800				27.178	2.3866
	227.844770	6.214910	0.075600				28.979	2.5447
	227.842400	6.169990	0.079300				26.327	2.3118
	227.872880	6.193150	0.081600				28.158	2.4726
	227.902800	6.181270	0.081900				28.069	2.4648
	227.893870	6.129260	0.080300				24.973	2.1929
	227.948830	6.125510	0.076700				26.206	2.3012
	227.918500	6.121050	0.077000				25.128	2.2065
	227.885350	6.089850	0.076400				22.598	1.9844
	227.965310	6.085010	0.072700				24.655	2.1650
	228.001910	6.060650	0.076400				24.808	2.1785
	228.018770	6.046940	0.078600				24.863	2.1833
	227.834900	6.065710	0.077800				20.183	1.7723
	227.931330	6.034330	0.078000				21.000	1.8441
	227.932390	5.993040	0.082300				19.041	1.6720
	228.045750	5.930410	0.083100				21.701	1.9056
	227.923020	5.937540	0.079700				16.170	1.4199
	227.979520	5.794010	0.075200				14.967	1.3142
	227.901510	5.910750	0.073800				14.125	1.2403
	227.928860	5.888640	0.084200				14.498	1.2731
	227.843300	5.818400	0.074700				7.894	0.6932
	227.843300	5.596490	0.074400				11.040	0.9694
	227.876650	5.780760	0.081200				8.800	0.7728
	227.855360	5.809860	0.080900				8.245	0.7240
	227.765850	5.733970	0.076600				2.022	0.1776
	227.832570	5.744460	0.078100				5.899	0.5180
	227.813350	5.621910	0.072700				8.768	0.7700
	227.818870	5.764540	0.079200				5.219	0.4583
	227.786010	5.708920	0.077000				3.788	0.3326
	227.808070	5.717380	0.082400				4.730	0.4154
	227.827950	5.962360	0.075600				14.217	1.2485
	227.688460	5.825760	0.079500				5.563	0.4885
	227.727080	5.742860	0.071200				0.414	0.0363
	227.717030	5.753020	0.074800				1.115	0.0980
	227.676920	5.778150	0.077300				3.941	0.3461
	227.666370	5.655280	0.076800				6.707	0.5889
	227.695100	5.794560	0.074700				3.777	0.3317
	227.661650	5.674420	0.082900				6.027	0.5292
	227.712610	5.800860	0.074500				3.597	0.3159
	227.676990	5.718880	0.073400				3.726	0.3272
	227.581590	5.786520	0.078800				9.423	0.8275
	227.656600	5.791330	0.077000				5.388	0.4731
	227.706740	5.914350	0.078100				10.305	0.9049
	227.670570	5.820750	0.073100				5.919	0.5198
	227.659350	5.853820	0.068300				7.910	0.6946
	227.759530	5.957160	0.075800				12.839	1.1274
	227.636830	5.816610	0.076300				7.217	0.6337
	227.633740	5.799650	0.081400				6.819	0.5988
	227.942990	5.960420	0.078300				17.985	1.5793
	227.967800	6.029860	0.081800				22.087	1.9395
	227.733210	5.741510	0.073600				0.195	0.0171
	227.746040	5.743890	0.089400				0.735	0.0646
	227.935050	5.696780	0.071000				12.357	1.0851
	227.757930	5.753490	0.067000				1.536	0.1349
	227.923060	5.703750	0.080500				11.566	1.0157
	227.744900	5.691880	0.072700				3.240	0.2845
	227.779950	6.057310	0.079700				18.957	1.6647
	227.736240	6.235900	0.080500				29.471	2.5879
	227.595860	6.024510	0.080000				18.696	1.6417
	227.620950	6.046710	0.082500				19.330	1.6974
	227.747800	6.108790	0.074800				21.860	1.9196
	227.816550	6.173260	0.080000				26.183	2.2992
	227.857460	6.135410	0.074800				24.576	2.1581
	227.803420	6.055050	0.077900				19.078	1.6753
	227.989650	6.083120	0.080200				25.407	2.2310
	227.916800	5.922020	0.077800				15.249	1.3391
	227.892640	5.792840	0.082400				9.915	0.8706
	227.893100	5.884670	0.079000				12.688	1.1142
	227.931170	5.675110	0.076500				12.505	1.0981
	227.813320	5.872160	0.073000				9.001	0.7904
	227.820050	5.751220	0.080700				5.167	0.4537
	227.870880	5.771370	0.071400				8.341	0.7324
	227.821220	5.828290	0.072600				7.239	0.6357
	227.848730	5.882250	0.076800				10.733	0.9425
	227.853210	5.633020	0.071900				9.787	0.8594
	227.684440	5.657400	0.078500				6.010	0.5277
	227.789700	5.864940	0.078100				7.949	0.6980
	227.717490	5.741780	0.071200				0.987	0.0866
	227.717860	5.721440	0.080100				1.688	0.1483
	227.735030	5.751560	0.079500				0.417	0.0367
	227.744610	5.770800	0.074700				1.694	0.1487
	227.658630	5.788360	0.077100				5.193	0.4560
	227.756180	5.866360	0.071200				7.420	0.6516
	227.705250	5.790090	0.075800				3.210	0.2819
	227.712490	5.840240	0.074000				5.870	0.5155
	227.655030	5.725210	0.077400				4.843	0.4253
	227.748860	6.012020	0.080000				16.063	1.4106
	227.551830	5.798310	0.080500				11.326	0.9945
	227.646430	5.892870	0.076000				10.304	0.9049
	227.585150	5.941860	0.077900				14.785	1.2983
	227.645120	5.947550	0.077600				13.270	1.1653
	227.762790	6.040410	0.077900				17.826	1.5653
	227.899420	5.905810	0.081100				13.828	1.2143
	227.840750	6.035150	0.078500				18.559	1.6297
	227.802820	5.847840	0.078600				7.435	0.6529
	227.701990	5.899590	0.081900				9.484	0.8328
	227.793120	5.814370	0.080000				5.479	0.4812
	227.648630	5.615650	0.079600				9.263	0.8134
	227.606750	5.579060	0.080500				12.502	1.0978
	227.542920	5.664410	0.079000				12.370	1.0863
	227.642040	5.857390	0.073400				8.699	0.7639
	227.789930	5.875940	0.075500				8.558	0.7515
	227.780260	5.861810	0.073800				7.554	0.6633
	227.709680	5.958480	0.081400				12.906	1.1333
	227.686640	6.048110	0.076600				18.419	1.6174
	227.728210	5.938850	0.075500				11.652	1.0232
	227.562630	5.605330	0.077600				13.203	1.1594
