id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	3.296875	-30.391694	1.337496	0.001050	4		14.978	4.0762
	3.303542	-30.358722	0.000331	0.000380	6		14.744	4.0124
	3.303875	-30.404806	0.186829	0.000070	5		14.646	3.9858
	3.304125	-30.367528	0.000782	0.000220	6		14.658	3.9891
	3.305000	-30.431861	0.000347	0.000220	6		14.783	4.0231
	3.305750	-30.351361	0.096313	0.000070	3		14.692	3.9982
	3.305833	-30.339167	0.308658	0.000080	5		14.817	4.0324
	3.306250	-30.380945	0.212795	0.000921	3		14.500	3.9460
	3.308583	-30.363083	0.260752	0.000080	5		14.454	3.9337
	3.310292	-30.324250	0.311670	0.000250	4		14.800	4.0278
	3.313542	-30.398889	0.305320	0.000080	5		14.127	3.8447
	3.314292	-30.344611	0.308470	0.000380	4		14.324	3.8983
	3.314583	-30.472861	0.308180	0.000290	4		14.936	4.0648
	3.317500	-30.462029	0.728595	0.000921	3		14.586	3.9694
	3.317583	-30.467250	0.444695	0.000090	5		14.679	3.9948
	3.318333	-30.333083	-0.000063	0.001070	6		14.265	3.8821
	3.318667	-30.349306	0.306518	0.000080	5		14.051	3.8240
	3.318875	-30.351611	0.308207	0.000080	5		14.018	3.8149
	3.320333	-30.467278	0.000207	0.000240	6		14.545	3.9583
	3.321667	-30.468882	0.560795	0.000921	3		14.511	3.9491
	3.322083	-30.353083	0.304849	0.000080	5		13.840	3.7665
	3.324000	-30.340417	0.309247	0.000080	4		13.881	3.7777
	3.324708	-30.370611	0.316048	0.000290	4		13.581	3.6960
	3.325000	-30.440582	0.584095	0.000921	3		13.873	3.7754
	3.325417	-30.458139	0.268695	0.000921	3		14.125	3.8441
	3.326250	-30.387306	0.138695	0.000921	3		13.457	3.6623
	3.326667	-30.324528	0.335995	0.000921	3		13.979	3.8043
	3.327083	-30.413277	0.139495	0.000921	3		13.493	3.6722
	3.328750	-30.391388	0.606195	0.000921	3		13.328	3.6272
	3.328917	-30.368194	0.476263	0.000400	4		13.376	3.6403
	3.330083	-30.486667	0.000960	0.001030	6		14.499	3.9459
	3.331667	-30.454584	0.107995	0.000921	3		13.754	3.7431
	3.331708	-30.393694	0.000521	0.000370	6		13.177	3.5862
	3.332542	-30.350000	0.306669	0.000220	4		13.336	3.6295
	3.332542	-30.338917	0.307500	0.000310	5		13.469	3.6654
	3.332833	-30.302222	0.434477	0.000090	4		14.108	3.8396
	3.333625	-30.424139	0.408979	0.000090	5		13.245	3.6047
	3.334583	-30.416388	0.606095	0.000921	3		13.130	3.5732
	3.335750	-30.353250	0.262364	0.000180	5		13.140	3.5759
	3.337833	-30.379556	0.562554	0.000320	4		12.869	3.5023
	3.338667	-30.322000	0.309608	0.000080	5		13.427	3.6541
	3.339125	-30.305722	0.497790	0.000480	3		13.728	3.7361
	3.339750	-30.287500	1.687563	0.002390	5		14.133	3.8462
	3.342917	-30.301533	0.206995	0.000921	3		13.640	3.7121
	3.343708	-30.372917	0.314010	0.000290	5		12.589	3.4262
	3.344167	-30.305637	0.497295	0.000921	3		13.487	3.6705
	3.344708	-30.396806	0.222216	0.000080	5		12.511	3.4047
	3.345042	-30.482972	0.199511	0.000070	5		13.703	3.7291
	3.345167	-30.346417	0.000332	0.000930	6		12.735	3.4656
	3.345333	-30.470778	0.105657	0.000210	5		13.403	3.6477
	3.345625	-30.494667	0.203130	0.000080	5		13.980	3.8045
	3.345833	-30.261583	0.776459	0.000370	4		14.599	3.9730
	3.346375	-30.377000	0.314418	0.000250	3		12.435	3.3842
	3.347125	-30.466611	0.000341	0.000910	6		13.227	3.5997
	3.348167	-30.356111	0.304715	0.000090	5		12.478	3.3958
	3.348750	-30.461889	0.106995	0.000921	3		13.051	3.5516
	3.348750	-30.318718	0.649595	0.000921	3		12.992	3.5357
	3.351167	-30.340778	0.259697	0.000080	5		12.504	3.4029
	3.351333	-30.362833	0.000511	0.000970	6		12.258	3.3360
	3.351417	-30.379361	0.258467	0.000080	5		12.167	3.3113
	3.351667	-30.288027	0.521695	0.000921	3		13.564	3.6914
	3.352250	-30.377500	0.314657	0.000360	3		12.130	3.3012
	3.352250	-30.256583	0.386634	0.000090	5		14.479	3.9403
	3.353000	-30.358472	0.000360	0.000400	6		12.209	3.3226
	3.353042	-30.412611	0.000070	0.000150	6		12.154	3.3077
	3.355500	-30.500389	0.539289	0.000220	4		13.691	3.7260
	3.356625	-30.341917	0.310050	0.000200	3		12.213	3.3238
	3.356917	-30.345278	0.311058	0.000370	4		12.154	3.3075
	3.357917	-30.399529	0.730095	0.000921	3		11.835	3.2209
	3.359250	-30.378889	0.000149	0.000230	6		11.764	3.2015
	3.359292	-30.527250	0.303748	0.000080	5		14.387	3.9153
	3.359750	-30.539139	0.091948	0.000070	5		14.791	4.0254
	3.360042	-30.294222	0.407594	0.000090	5		13.011	3.5408
	3.360833	-30.439943	0.108295	0.000921	3		12.064	3.2831
	3.360958	-30.300583	1.049815	0.002440	4		12.806	3.4850
	3.361792	-30.420472	0.360652	0.000470	3		11.772	3.2036
	3.363333	-30.278889	0.496695	0.000921	3		13.289	3.6166
	3.363542	-30.509361	0.426299	0.000090	4		13.608	3.7035
	3.363750	-30.296694	0.650795	0.000921	3		12.773	3.4762
	3.364958	-30.553000	0.358281	0.000090	4		15.108	4.1115
	3.365000	-30.541472	0.750812	0.000320	3		14.664	3.9908
	3.366000	-30.545111	0.274972	0.000080	5		14.762	4.0174
	3.367167	-30.291444	0.000659	0.000570	6		12.755	3.4712
	3.367667	-30.554167	0.261684	0.000080	5		15.048	4.0952
	3.368000	-30.545611	0.092783	0.000070	5		14.701	4.0009
	3.368333	-30.465307	0.108095	0.000921	3		12.177	3.3140
	3.368417	-30.478833	0.072038	0.000130	5		12.502	3.4023
	3.368500	-30.402361	0.573074	0.000720	3		11.299	3.0751
	3.368625	-30.447833	0.311800	0.000080	4		11.808	3.2134
	3.368667	-30.436361	0.186280	0.000070	5		11.617	3.1616
	3.368833	-30.239500	0.000282	0.000310	6		14.383	3.9142
	3.368958	-30.500500	0.000501	0.000510	6		13.092	3.5630
	3.369292	-30.244528	0.001390	0.000300	6		14.178	3.8584
	3.369583	-30.390583	0.131295	0.000921	3		11.215	3.0520
	3.369625	-30.464500	0.000087	0.000360	6		12.097	3.2922
	3.369875	-30.300083	0.309950	0.000340	4		12.399	3.3744
	3.370875	-30.532750	0.000890	0.001070	6		14.102	3.8378
	3.370958	-30.322389	0.310760	0.000080	5		11.834	3.2205
	3.371833	-30.323972	0.309598	0.000080	4		11.759	3.2002
	3.372083	-30.475945	0.125295	0.000921	3		12.256	3.3355
	3.372417	-30.404028	0.001299	0.001000	6		11.105	3.0222
	3.373375	-30.276111	0.315359	0.000300	4		12.926	3.5179
	3.374417	-30.279778	0.309474	0.000190	4		12.766	3.4743
	3.374583	-30.452972	0.104795	0.000921	3		11.613	3.1603
	3.374750	-30.562278	0.318387	0.000090	3		15.106	4.1110
	3.375000	-30.389111	0.360795	0.000921	3		10.934	2.9755
	3.375375	-30.317528	0.311749	0.000250	4		11.722	3.1900
	3.375833	-30.532694	0.104967	0.000230	5		13.898	3.7824
	3.376458	-30.269806	0.472788	0.000340	4		12.994	3.5364
	3.376875	-30.284861	0.310227	0.000320	3		12.502	3.4024
	3.377500	-30.432667	0.571995	0.000921	3		11.121	3.0264
	3.377500	-30.448944	0.572295	0.000921	3		11.391	3.1001
	3.377792	-30.274556	0.308100	0.000330	4		12.782	3.4785
	3.377958	-30.346472	0.308538	0.000280	4		11.075	3.0141
	3.378000	-30.558972	0.000137	0.000367	6		14.848	4.0407
	3.378333	-30.273306	0.310538	0.000080	5		12.798	3.4830
	3.378417	-30.476556	0.000197	0.000210	6		11.977	3.2595
	3.378875	-30.554306	0.105704	0.000070	5		14.623	3.9797
	3.379167	-30.369750	0.305908	0.000080	5		10.779	2.9333
	3.380083	-30.286806	0.308270	0.000340	4		12.300	3.3474
	3.380625	-30.363111	0.000272	0.001010	6		10.753	2.9265
	3.380792	-30.346167	0.431266	0.000090	5		10.937	2.9764
	3.380875	-30.236806	0.253378	0.000320	4		14.004	3.8112
	3.381250	-30.223557	0.450895	0.000921	3		14.520	3.9516
	3.381667	-30.411055	0.305695	0.000921	3		10.673	2.9045
	3.382208	-30.318722	0.472602	0.000100	4		11.366	3.0932
	3.383167	-30.306250	0.748627	0.000390	4		11.619	3.1619
	3.383792	-30.457306	0.605765	0.000100	5		11.257	3.0634
	3.384500	-30.236778	0.310184	0.000200	4		13.863	3.7729
	3.385625	-30.244250	0.307797	0.000080	4		13.528	3.6816
	3.385708	-30.283111	0.308807	0.000230	4		12.162	3.3099
	3.386042	-30.519056	0.000220	0.000380	6		12.980	3.5325
	3.386083	-30.529361	0.358973	0.000300	3		13.360	3.6359
	3.386833	-30.470361	0.001019	0.000980	6		11.424	3.1089
	3.387333	-30.319139	0.435606	0.000310	4		11.111	3.0237
	3.387500	-30.417875	0.605895	0.000921	3		10.434	2.8395
	3.388458	-30.407528	0.000710	0.000780	6		10.299	2.8028
	3.389292	-30.432472	0.306288	0.000080	5		10.526	2.8646
	3.389417	-30.218056	0.302849	0.000080	5		14.446	3.9314
	3.389583	-30.269413	0.307195	0.000921	3		12.445	3.3869
	3.390917	-30.571750	0.275032	0.000210	5		14.925	4.0618
	3.391417	-30.382750	0.137267	0.000070	5		10.090	2.7460
	3.391708	-30.440528	0.306430	0.000080	5		10.537	2.8676
	3.392500	-30.314777	0.122195	0.000921	3		10.966	2.9844
	3.392833	-30.505778	0.671501	0.000110	4		12.228	3.3277
	3.393875	-30.507556	0.305615	0.000210	4		12.245	3.3325
	3.394292	-30.491833	0.252234	0.000080	5		11.703	3.1849
	3.394583	-30.262778	0.262057	0.000180	5		12.471	3.3940
	3.395375	-30.549556	0.365123	0.000100	4		13.809	3.7581
	3.395833	-30.292444	0.726795	0.000921	3		11.424	3.1091
	3.396167	-30.572889	0.274479	0.000410	4		14.794	4.0261
	3.396875	-30.560139	0.261977	0.000210	4		14.206	3.8662
	3.396917	-30.348944	0.499405	0.000110	4		10.086	2.7449
	3.398125	-30.488083	0.302029	0.000080	5		11.416	3.1069
	3.398208	-30.513611	0.106833	0.000070	5		12.282	3.3425
	3.399167	-30.293917	0.099795	0.000921	3		11.231	3.0564
	3.399167	-30.301985	0.307095	0.000921	3		10.993	2.9918
	3.399208	-30.353306	0.187446	0.000070	5		9.911	2.6974
	3.399583	-30.315722	0.750495	0.000921	3		10.608	2.8870
	3.399708	-30.513583	0.309330	0.000220	4		12.220	3.3255
	3.400833	-30.278473	0.328695	0.000921	3		11.656	3.1722
